# _root_ Come padre Pietro Turati , bresciano , accoltellato nel febbraio 1991 nel villaggio somalo in cui dirigeva un lebbrosario .
#goldHeads=0,1,4,2,4,4,6,2,8,9,10,8,12,13,17,15,13,19,17,19,
#predictedHeads=4,1,4,17,4,4,6,4,8,9,10,8,12,13,17,15,0,19,17,19,
(0,1),-0.758271 # DEPENDENCYPART_ARC
(0,2),0.179291 # DEPENDENCYPART_ARC
(0,3),0.940402 # DEPENDENCYPART_ARC
(0,4),0.534261 # DEPENDENCYPART_ARC
(0,5),-0.570011 # DEPENDENCYPART_ARC
(0,6),-0.276664 # DEPENDENCYPART_ARC
(0,7),-0.26299 # DEPENDENCYPART_ARC
(0,8),0.65816 # DEPENDENCYPART_ARC
(0,9),-1.011 # DEPENDENCYPART_ARC
(0,10),0.333278 # DEPENDENCYPART_ARC
(0,11),-1.04722 # DEPENDENCYPART_ARC
(0,12),-1.25973 # DEPENDENCYPART_ARC
(0,13),0.260904 # DEPENDENCYPART_ARC
(0,14),-0.585408 # DEPENDENCYPART_ARC
(0,15),-2.64802 # DEPENDENCYPART_ARC
(0,16),-1.12775 # DEPENDENCYPART_ARC
(0,17),0.901486 # DEPENDENCYPART_ARC
(0,18),-1.46635 # DEPENDENCYPART_ARC
(0,19),-0.231925 # DEPENDENCYPART_ARC
(0,20),-1.25186 # DEPENDENCYPART_ARC
(1,2),3.6233 # DEPENDENCYPART_ARC
(1,3),1.50211 # DEPENDENCYPART_ARC
(1,4),0.0656434 # DEPENDENCYPART_ARC
(1,5),0.0567939 # DEPENDENCYPART_ARC
(1,6),0.0604028 # DEPENDENCYPART_ARC
(1,7),0.306855 # DEPENDENCYPART_ARC
(1,8),-0.5651 # DEPENDENCYPART_ARC
(1,9),-1.03892 # DEPENDENCYPART_ARC
(1,10),-2.36459 # DEPENDENCYPART_ARC
(1,11),-0.818253 # DEPENDENCYPART_ARC
(1,12),-1.29966 # DEPENDENCYPART_ARC
(1,13),-3.26398 # DEPENDENCYPART_ARC
(1,14),-0.796445 # DEPENDENCYPART_ARC
(1,15),-2.56513 # DEPENDENCYPART_ARC
(1,16),-1.09008 # DEPENDENCYPART_ARC
(1,17),-2.16978 # DEPENDENCYPART_ARC
(1,18),-1.51134 # DEPENDENCYPART_ARC
(1,19),-5.40352 # DEPENDENCYPART_ARC
(1,20),-1.73893 # DEPENDENCYPART_ARC
(2,1),0.869177 # DEPENDENCYPART_ARC
(2,3),1.80582 # DEPENDENCYPART_ARC
(2,4),1.76474 # DEPENDENCYPART_ARC
(2,5),0.315247 # DEPENDENCYPART_ARC
(2,6),0.637381 # DEPENDENCYPART_ARC
(2,7),-0.304031 # DEPENDENCYPART_ARC
(2,8),0.894257 # DEPENDENCYPART_ARC
(2,9),-0.812728 # DEPENDENCYPART_ARC
(2,10),-0.141476 # DEPENDENCYPART_ARC
(2,11),-0.80147 # DEPENDENCYPART_ARC
(2,12),-0.709173 # DEPENDENCYPART_ARC
(2,13),-0.568167 # DEPENDENCYPART_ARC
(2,14),-0.60095 # DEPENDENCYPART_ARC
(2,15),-0.9824 # DEPENDENCYPART_ARC
(2,16),-1.46286 # DEPENDENCYPART_ARC
(2,17),-1.27449 # DEPENDENCYPART_ARC
(2,18),-1.01882 # DEPENDENCYPART_ARC
(2,19),-1.45281 # DEPENDENCYPART_ARC
(2,20),-3.50906 # DEPENDENCYPART_ARC
(3,1),0.515084 # DEPENDENCYPART_ARC
(3,2),2.97776 # DEPENDENCYPART_ARC
(3,4),2.54856 # DEPENDENCYPART_ARC
(3,5),0.220008 # DEPENDENCYPART_ARC
(3,6),0.185544 # DEPENDENCYPART_ARC
(3,7),-0.317974 # DEPENDENCYPART_ARC
(3,8),0.599153 # DEPENDENCYPART_ARC
(3,9),-1.39463 # DEPENDENCYPART_ARC
(3,10),-0.637188 # DEPENDENCYPART_ARC
(3,11),-1.04889 # DEPENDENCYPART_ARC
(3,12),-1.34833 # DEPENDENCYPART_ARC
(3,13),-0.78494 # DEPENDENCYPART_ARC
(3,14),-1.17179 # DEPENDENCYPART_ARC
(3,15),-1.45504 # DEPENDENCYPART_ARC
(3,16),-1.83667 # DEPENDENCYPART_ARC
(3,17),-1.70135 # DEPENDENCYPART_ARC
(3,18),-1.47019 # DEPENDENCYPART_ARC
(3,19),-1.64128 # DEPENDENCYPART_ARC
(3,20),-3.43099 # DEPENDENCYPART_ARC
(4,1),0.779022 # DEPENDENCYPART_ARC
(4,2),3.16443 # DEPENDENCYPART_ARC
(4,3),3.42055 # DEPENDENCYPART_ARC
(4,5),2.52344 # DEPENDENCYPART_ARC
(4,6),1.18414 # DEPENDENCYPART_ARC
(4,7),0.638917 # DEPENDENCYPART_ARC
(4,8),1.24991 # DEPENDENCYPART_ARC
(4,9),-0.848757 # DEPENDENCYPART_ARC
(4,10),0.0344367 # DEPENDENCYPART_ARC
(4,11),-0.295455 # DEPENDENCYPART_ARC
(4,12),-0.797999 # DEPENDENCYPART_ARC
(4,13),-0.084758 # DEPENDENCYPART_ARC
(4,14),-0.570703 # DEPENDENCYPART_ARC
(4,15),-0.730218 # DEPENDENCYPART_ARC
(4,16),-1.1703 # DEPENDENCYPART_ARC
(4,17),-1.36105 # DEPENDENCYPART_ARC
(4,18),-0.694937 # DEPENDENCYPART_ARC
(4,19),-1.00115 # DEPENDENCYPART_ARC
(4,20),-1.84967 # DEPENDENCYPART_ARC
(5,1),-1.29137 # DEPENDENCYPART_ARC
(5,2),-1.54177 # DEPENDENCYPART_ARC
(5,3),-1.36601 # DEPENDENCYPART_ARC
(5,4),-0.505615 # DEPENDENCYPART_ARC
(5,6),-0.83995 # DEPENDENCYPART_ARC
(5,7),-0.424031 # DEPENDENCYPART_ARC
(5,8),-1.57952 # DEPENDENCYPART_ARC
(5,9),-2.21282 # DEPENDENCYPART_ARC
(5,10),-2.22525 # DEPENDENCYPART_ARC
(5,11),-2.08801 # DEPENDENCYPART_ARC
(5,12),-2.41629 # DEPENDENCYPART_ARC
(5,13),-2.42934 # DEPENDENCYPART_ARC
(5,14),-2.65898 # DEPENDENCYPART_ARC
(5,15),-2.47057 # DEPENDENCYPART_ARC
(5,16),-2.53509 # DEPENDENCYPART_ARC
(5,17),-2.36344 # DEPENDENCYPART_ARC
(5,18),-2.50422 # DEPENDENCYPART_ARC
(5,19),-2.62757 # DEPENDENCYPART_ARC
(5,20),-1.83846 # DEPENDENCYPART_ARC
(6,1),-0.927916 # DEPENDENCYPART_ARC
(6,2),-1.51564 # DEPENDENCYPART_ARC
