# _root_ DAL NOSTRO INVIATO GOTEBORG ­ Piccola marcia antica , semplice e puntuale come la gente per_bene , come la gente che sa esaltar- la .
#goldHeads=3,1,0,0,4,7,0,7,8,7,10,10,10,15,13,15,16,12,20,18,22,20,22,23,24,
#predictedHeads=0,3,1,3,4,7,0,7,8,7,10,10,12,15,13,15,16,15,20,18,23,20,22,23,24,
(0,1),-0.286136 # DEPENDENCYPART_ARC
(0,2),-0.172381 # DEPENDENCYPART_ARC
(0,3),1.00822 # DEPENDENCYPART_ARC
(0,4),0.898863 # DEPENDENCYPART_ARC
(0,5),-0.377254 # DEPENDENCYPART_ARC
(0,6),-0.357172 # DEPENDENCYPART_ARC
(0,7),0.837932 # DEPENDENCYPART_ARC
(0,8),-0.510369 # DEPENDENCYPART_ARC
(0,9),-0.397143 # DEPENDENCYPART_ARC
(0,10),-0.65988 # DEPENDENCYPART_ARC
(0,11),-1.00088 # DEPENDENCYPART_ARC
(0,12),-0.635776 # DEPENDENCYPART_ARC
(0,13),-1.79333 # DEPENDENCYPART_ARC
(0,14),-1.13975 # DEPENDENCYPART_ARC
(0,15),-0.186576 # DEPENDENCYPART_ARC
(0,16),-0.91958 # DEPENDENCYPART_ARC
(0,17),-0.625605 # DEPENDENCYPART_ARC
(0,18),-1.88963 # DEPENDENCYPART_ARC
(0,19),-1.467 # DEPENDENCYPART_ARC
(0,20),-0.0521528 # DEPENDENCYPART_ARC
(0,21),-1.26457 # DEPENDENCYPART_ARC
(0,22),0.203276 # DEPENDENCYPART_ARC
(0,23),0.781702 # DEPENDENCYPART_ARC
(0,24),-1.95172 # DEPENDENCYPART_ARC
(0,25),-1.50672 # DEPENDENCYPART_ARC
(1,2),2.36297 # DEPENDENCYPART_ARC
(1,3),2.2697 # DEPENDENCYPART_ARC
(1,4),0.924654 # DEPENDENCYPART_ARC
(1,5),0.355922 # DEPENDENCYPART_ARC
(1,6),-0.346486 # DEPENDENCYPART_ARC
(1,7),-0.813993 # DEPENDENCYPART_ARC
(1,8),-0.349322 # DEPENDENCYPART_ARC
(1,9),0.912457 # DEPENDENCYPART_ARC
(1,10),0.0644342 # DEPENDENCYPART_ARC
(1,11),1.06148 # DEPENDENCYPART_ARC
(1,12),0.171315 # DEPENDENCYPART_ARC
(1,13),-0.374439 # DEPENDENCYPART_ARC
(1,14),-1.07026 # DEPENDENCYPART_ARC
(1,15),-3.15516 # DEPENDENCYPART_ARC
(1,16),-0.634585 # DEPENDENCYPART_ARC
(1,17),0.699232 # DEPENDENCYPART_ARC
(1,18),-0.659617 # DEPENDENCYPART_ARC
(1,19),-1.14714 # DEPENDENCYPART_ARC
(1,20),-4.77778 # DEPENDENCYPART_ARC
(1,21),-2.37845 # DEPENDENCYPART_ARC
(1,22),-2.59482 # DEPENDENCYPART_ARC
(1,23),-1.83857 # DEPENDENCYPART_ARC
(1,24),-2.30553 # DEPENDENCYPART_ARC
(1,25),-1.59301 # DEPENDENCYPART_ARC
(2,1),-0.195935 # DEPENDENCYPART_ARC
(2,3),0.925211 # DEPENDENCYPART_ARC
(2,4),0.409315 # DEPENDENCYPART_ARC
(2,5),-0.454531 # DEPENDENCYPART_ARC
(2,6),-0.22739 # DEPENDENCYPART_ARC
(2,7),-0.82637 # DEPENDENCYPART_ARC
(2,8),-0.995574 # DEPENDENCYPART_ARC
(2,9),-0.57142 # DEPENDENCYPART_ARC
(2,10),-0.729571 # DEPENDENCYPART_ARC
(2,11),-0.138458 # DEPENDENCYPART_ARC
(2,12),-0.0380123 # DEPENDENCYPART_ARC
(2,13),-0.866147 # DEPENDENCYPART_ARC
(2,14),-1.5842 # DEPENDENCYPART_ARC
(2,15),-1.44162 # DEPENDENCYPART_ARC
(2,16),-1.48537 # DEPENDENCYPART_ARC
(2,17),-1.06442 # DEPENDENCYPART_ARC
(2,18),-1.17132 # DEPENDENCYPART_ARC
(2,19),-1.66412 # DEPENDENCYPART_ARC
(2,20),-1.54111 # DEPENDENCYPART_ARC
(2,21),-2.76215 # DEPENDENCYPART_ARC
(2,22),-2.56231 # DEPENDENCYPART_ARC
(2,23),-3.09228 # DEPENDENCYPART_ARC
(2,24),-2.39275 # DEPENDENCYPART_ARC
(2,25),-2.94177 # DEPENDENCYPART_ARC
(3,1),0.917462 # DEPENDENCYPART_ARC
(3,2),2.8074 # DEPENDENCYPART_ARC
(3,4),1.87271 # DEPENDENCYPART_ARC
(3,5),-0.0514738 # DEPENDENCYPART_ARC
(3,6),0.118525 # DEPENDENCYPART_ARC
(3,7),-0.10487 # DEPENDENCYPART_ARC
(3,8),0.189851 # DEPENDENCYPART_ARC
(3,9),0.0470017 # DEPENDENCYPART_ARC
(3,10),0.141838 # DEPENDENCYPART_ARC
(3,11),0.0706428 # DEPENDENCYPART_ARC
(3,12),-0.343048 # DEPENDENCYPART_ARC
(3,13),0.294064 # DEPENDENCYPART_ARC
(3,14),-1.16059 # DEPENDENCYPART_ARC
(3,15),-1.01876 # DEPENDENCYPART_ARC
(3,16),-1.56406 # DEPENDENCYPART_ARC
(3,17),-0.671408 # DEPENDENCYPART_ARC
(3,18),-0.141859 # DEPENDENCYPART_ARC
(3,19),-1.11207 # DEPENDENCYPART_ARC
(3,20),-1.10325 # DEPENDENCYPART_ARC
(3,21),-2.91529 # DEPENDENCYPART_ARC
(3,22),-0.617838 # DEPENDENCYPART_ARC
(3,23),-1.73283 # DEPENDENCYPART_ARC
(3,24),-2.13714 # DEPENDENCYPART_ARC
(3,25),-3.91823 # DEPENDENCYPART_ARC
(4,1),-0.19381 # DEPENDENCYPART_ARC
(4,2),0.979863 # DEPENDENCYPART_ARC
(4,3),0.546879 # DEPENDENCYPART_ARC
(4,5),1.84939 # DEPENDENCYPART_ARC
(4,6),0.373021 # DEPENDENCYPART_ARC
(4,7),0.535218 # DEPENDENCYPART_ARC
(4,8),-0.0195855 # DEPENDENCYPART_ARC
(4,9),-0.171892 # DEPENDENCYPART_ARC
(4,10),-0.319264 # DEPENDENCYPART_ARC
(4,11),-0.0979228 # DEPENDENCYPART_ARC
(4,12),-0.746503 # DEPENDENCYPART_ARC
(4,13),-0.436459 # DEPENDENCYPART_ARC
(4,14),-0.665953 # DEPENDENCYPART_ARC
(4,15),-0.682952 # DEPENDENCYPART_ARC
(4,16),-1.66374 # DEPENDENCYPART_ARC
