# _root_ C' è vita , c' è contatto con la gente , le sorprese non mancano .
#goldHeads=2,0,2,2,6,2,6,7,10,8,2,13,15,15,2,15,
#predictedHeads=2,0,2,3,6,0,6,6,10,8,10,13,15,15,0,15,
(0,1),-0.851831 # DEPENDENCYPART_ARC
(0,2),1.18145 # DEPENDENCYPART_ARC
(0,3),-0.302462 # DEPENDENCYPART_ARC
(0,4),-0.873311 # DEPENDENCYPART_ARC
(0,5),-1.71687 # DEPENDENCYPART_ARC
(0,6),1.17038 # DEPENDENCYPART_ARC
(0,7),-0.351738 # DEPENDENCYPART_ARC
(0,8),-2.37054 # DEPENDENCYPART_ARC
(0,10),-0.961504 # DEPENDENCYPART_ARC
(0,11),-0.864241 # DEPENDENCYPART_ARC
(0,13),-0.527756 # DEPENDENCYPART_ARC
(0,14),-1.46527 # DEPENDENCYPART_ARC
(0,15),0.254253 # DEPENDENCYPART_ARC
(0,16),-1.32768 # DEPENDENCYPART_ARC
(1,2),-0.298414 # DEPENDENCYPART_ARC
(1,3),-1.10288 # DEPENDENCYPART_ARC
(1,4),-0.74097 # DEPENDENCYPART_ARC
(1,5),-1.75657 # DEPENDENCYPART_ARC
(1,6),-1.64009 # DEPENDENCYPART_ARC
(1,7),-2.29325 # DEPENDENCYPART_ARC
(1,8),-2.12597 # DEPENDENCYPART_ARC
(1,9),-1.92799 # DEPENDENCYPART_ARC
(1,10),-2.58079 # DEPENDENCYPART_ARC
(1,11),-1.61213 # DEPENDENCYPART_ARC
(1,12),-1.96391 # DEPENDENCYPART_ARC
(1,13),-2.81454 # DEPENDENCYPART_ARC
(1,14),-2.33391 # DEPENDENCYPART_ARC
(1,15),-2.538 # DEPENDENCYPART_ARC
(1,16),-2.5751 # DEPENDENCYPART_ARC
(2,1),2.81441 # DEPENDENCYPART_ARC
(2,3),3.04429 # DEPENDENCYPART_ARC
(2,4),1.13613 # DEPENDENCYPART_ARC
(2,5),0.0531206 # DEPENDENCYPART_ARC
(2,6),1.05307 # DEPENDENCYPART_ARC
(2,7),-0.20892 # DEPENDENCYPART_ARC
(2,8),0.123634 # DEPENDENCYPART_ARC
(2,9),-1.98267 # DEPENDENCYPART_ARC
(2,10),-0.851281 # DEPENDENCYPART_ARC
(2,11),0.0141695 # DEPENDENCYPART_ARC
(2,12),-1.61622 # DEPENDENCYPART_ARC
(2,13),-1.14276 # DEPENDENCYPART_ARC
(2,14),-1.48233 # DEPENDENCYPART_ARC
(2,15),-0.558178 # DEPENDENCYPART_ARC
(2,16),-1.88963 # DEPENDENCYPART_ARC
(3,1),1.00087 # DEPENDENCYPART_ARC
(3,2),0.931396 # DEPENDENCYPART_ARC
(3,4),2.29066 # DEPENDENCYPART_ARC
(3,5),0.272087 # DEPENDENCYPART_ARC
(3,6),0.42087 # DEPENDENCYPART_ARC
(3,7),0.0847868 # DEPENDENCYPART_ARC
(3,8),-0.0169458 # DEPENDENCYPART_ARC
(3,9),-0.333094 # DEPENDENCYPART_ARC
(3,10),-0.119907 # DEPENDENCYPART_ARC
(3,11),1.09395 # DEPENDENCYPART_ARC
(3,12),-0.703743 # DEPENDENCYPART_ARC
(3,13),-0.435601 # DEPENDENCYPART_ARC
(3,14),-1.38902 # DEPENDENCYPART_ARC
(3,15),-1.74965 # DEPENDENCYPART_ARC
(3,16),-1.42968 # DEPENDENCYPART_ARC
(4,9),-1.41564 # DEPENDENCYPART_ARC
(4,11),-1.1194 # DEPENDENCYPART_ARC
(4,12),-1.55878 # DEPENDENCYPART_ARC
(4,16),-1.39266 # DEPENDENCYPART_ARC
(5,1),-1.48349 # DEPENDENCYPART_ARC
(5,2),-2.24963 # DEPENDENCYPART_ARC
(5,3),-1.68956 # DEPENDENCYPART_ARC
(5,4),0.190878 # DEPENDENCYPART_ARC
(5,6),0.050438 # DEPENDENCYPART_ARC
(5,7),-0.753738 # DEPENDENCYPART_ARC
(5,8),-1.21185 # DEPENDENCYPART_ARC
(5,9),-1.19157 # DEPENDENCYPART_ARC
(5,10),-1.60404 # DEPENDENCYPART_ARC
(5,11),-0.954629 # DEPENDENCYPART_ARC
(5,12),-1.43151 # DEPENDENCYPART_ARC
(5,13),-2.17294 # DEPENDENCYPART_ARC
(5,14),-1.80458 # DEPENDENCYPART_ARC
(5,15),-1.60659 # DEPENDENCYPART_ARC
(5,16),-1.82883 # DEPENDENCYPART_ARC
(6,1),1.08245 # DEPENDENCYPART_ARC
(6,2),-0.27879 # DEPENDENCYPART_ARC
(6,3),0.985439 # DEPENDENCYPART_ARC
(6,4),-0.86738 # DEPENDENCYPART_ARC
(6,5),2.66806 # DEPENDENCYPART_ARC
(6,7),2.96372 # DEPENDENCYPART_ARC
(6,8),1.59952 # DEPENDENCYPART_ARC
(6,9),-1.36518 # DEPENDENCYPART_ARC
(6,10),0.784142 # DEPENDENCYPART_ARC
(6,11),0.48335 # DEPENDENCYPART_ARC
(6,12),-1.33571 # DEPENDENCYPART_ARC
(6,13),-0.123206 # DEPENDENCYPART_ARC
(6,14),-0.86966 # DEPENDENCYPART_ARC
(6,15),-0.0285493 # DEPENDENCYPART_ARC
(6,16),-1.0416 # DEPENDENCYPART_ARC
(7,1),-0.563644 # DEPENDENCYPART_ARC
(7,2),-1.58793 # DEPENDENCYPART_ARC
(7,3),-1.82109 # DEPENDENCYPART_ARC
(7,4),-1.06076 # DEPENDENCYPART_ARC
(7,5),0.964635 # DEPENDENCYPART_ARC
(7,6),0.542654 # DEPENDENCYPART_ARC
(7,8),1.36852 # DEPENDENCYPART_ARC
(7,9),-0.428888 # DEPENDENCYPART_ARC
(7,10),0.104866 # DEPENDENCYPART_ARC
(7,11),0.749853 # DEPENDENCYPART_ARC
(7,12),-0.825339 # DEPENDENCYPART_ARC
(7,13),-0.346905 # DEPENDENCYPART_ARC
(7,14),-1.12253 # DEPENDENCYPART_ARC
(7,15),-0.761112 # DEPENDENCYPART_ARC
(7,16),-0.971587 # DEPENDENCYPART_ARC
(8,1),-1.49847 # DEPENDENCYPART_ARC
(8,2),-2.57755 # DEPENDENCYPART_ARC
(8,3),-1.95399 # DEPENDENCYPART_ARC
(8,4),-1.68426 # DEPENDENCYPART_ARC
(8,5),-0.702506 # DEPENDENCYPART_ARC
(8,6),-1.25711 # DEPENDENCYPART_ARC
(8,7),-0.226001 # DEPENDENCYPART_ARC
(8,9),0.585448 # DEPENDENCYPART_ARC
(8,10),3.32297 # DEPENDENCYPART_ARC
(8,11),0.158599 # DEPENDENCYPART_ARC
(8,12),-0.757621 # DEPENDENCYPART_ARC
(8,13),0.36128 # DEPENDENCYPART_ARC
(8,14),-1.15365 # DEPENDENCYPART_ARC
(8,15),-0.52953 # DEPENDENCYPART_ARC
(8,16),-0.709472 # DEPENDENCYPART_ARC
(9,2),-3.30387 # DEPENDENCYPART_ARC
(9,3),-3.03959 # DEPENDENCYPART_ARC
(9,4),-2.1733 # DEPENDENCYPART_ARC
(9,6),-2.61228 # DEPENDENCYPART_ARC
(9,7),-2.07084 # DEPENDENCYPART_ARC
(9,8),-0.398191 # DEPENDENCYPART_ARC
(9,10),1.41073 # DEPENDENCYPART_ARC
(9,11),-0.013945 # DEPENDENCYPART_ARC
(9,13),-0.294517 # DEPENDENCYPART_ARC
(9,15),-0.862449 # DEPENDENCYPART_ARC
