# _root_ Due sub sono morti , uno era un campione del rugby , e un altro ha avuto le gambe tagliate da un' elica .
#goldHeads=2,4,4,0,4,7,0,9,7,9,10,11,7,15,17,17,7,19,17,19,20,23,21,23,
#predictedHeads=2,4,4,0,4,7,0,9,7,9,10,11,9,15,17,17,9,19,17,19,20,23,21,23,
(0,1),-0.00941015 # DEPENDENCYPART_ARC
(0,2),-0.224638 # DEPENDENCYPART_ARC
(0,3),1.13772 # DEPENDENCYPART_ARC
(0,4),0.918751 # DEPENDENCYPART_ARC
(0,5),-0.698245 # DEPENDENCYPART_ARC
(0,6),-1.18097 # DEPENDENCYPART_ARC
(0,7),0.619187 # DEPENDENCYPART_ARC
(0,9),-0.454324 # DEPENDENCYPART_ARC
(0,10),-1.60282 # DEPENDENCYPART_ARC
(0,11),-0.478092 # DEPENDENCYPART_ARC
(0,12),-0.803258 # DEPENDENCYPART_ARC
(0,13),-0.547192 # DEPENDENCYPART_ARC
(0,15),-1.34687 # DEPENDENCYPART_ARC
(0,16),0.214236 # DEPENDENCYPART_ARC
(0,17),-0.550867 # DEPENDENCYPART_ARC
(0,19),-1.13758 # DEPENDENCYPART_ARC
(0,20),-0.324361 # DEPENDENCYPART_ARC
(0,21),-3.13141 # DEPENDENCYPART_ARC
(0,23),-1.07746 # DEPENDENCYPART_ARC
(0,24),-1.66934 # DEPENDENCYPART_ARC
(1,2),0.663159 # DEPENDENCYPART_ARC
(1,3),-0.344848 # DEPENDENCYPART_ARC
(1,4),-0.837091 # DEPENDENCYPART_ARC
(1,5),-0.586415 # DEPENDENCYPART_ARC
(1,6),-1.00787 # DEPENDENCYPART_ARC
(1,7),-1.3133 # DEPENDENCYPART_ARC
(1,8),-1.28253 # DEPENDENCYPART_ARC
(1,9),-1.42724 # DEPENDENCYPART_ARC
(1,10),-1.30262 # DEPENDENCYPART_ARC
(1,11),-1.3359 # DEPENDENCYPART_ARC
(1,12),-1.24289 # DEPENDENCYPART_ARC
(1,13),-0.723666 # DEPENDENCYPART_ARC
(1,14),-1.45752 # DEPENDENCYPART_ARC
(1,15),-1.39205 # DEPENDENCYPART_ARC
(1,16),-2.24921 # DEPENDENCYPART_ARC
(1,17),-2.14477 # DEPENDENCYPART_ARC
(1,18),-1.57349 # DEPENDENCYPART_ARC
(1,19),-1.5626 # DEPENDENCYPART_ARC
(1,20),-2.56838 # DEPENDENCYPART_ARC
(1,21),-2.18326 # DEPENDENCYPART_ARC
(1,22),-1.72013 # DEPENDENCYPART_ARC
(1,23),-1.64959 # DEPENDENCYPART_ARC
(1,24),-1.93764 # DEPENDENCYPART_ARC
(2,1),3.00129 # DEPENDENCYPART_ARC
(2,3),0.288853 # DEPENDENCYPART_ARC
(2,4),-0.436407 # DEPENDENCYPART_ARC
(2,5),0.0731225 # DEPENDENCYPART_ARC
(2,6),0.103392 # DEPENDENCYPART_ARC
(2,7),-1.5923 # DEPENDENCYPART_ARC
(2,8),-0.914036 # DEPENDENCYPART_ARC
(2,9),-1.06283 # DEPENDENCYPART_ARC
(2,10),-0.556299 # DEPENDENCYPART_ARC
(2,11),-1.12831 # DEPENDENCYPART_ARC
(2,12),-0.0506491 # DEPENDENCYPART_ARC
(2,13),-0.459239 # DEPENDENCYPART_ARC
(2,14),-1.12323 # DEPENDENCYPART_ARC
(2,15),-0.412853 # DEPENDENCYPART_ARC
(2,16),-2.16394 # DEPENDENCYPART_ARC
(2,17),-1.97547 # DEPENDENCYPART_ARC
(2,18),-1.15658 # DEPENDENCYPART_ARC
(2,19),-2.07582 # DEPENDENCYPART_ARC
(2,20),-2.07788 # DEPENDENCYPART_ARC
(2,21),-1.883 # DEPENDENCYPART_ARC
(2,22),-1.10607 # DEPENDENCYPART_ARC
(2,23),-2.15316 # DEPENDENCYPART_ARC
(2,24),-3.22782 # DEPENDENCYPART_ARC
(3,1),-0.1775 # DEPENDENCYPART_ARC
(3,2),0.142573 # DEPENDENCYPART_ARC
(3,4),1.83358 # DEPENDENCYPART_ARC
(3,5),1.1355 # DEPENDENCYPART_ARC
(3,6),-0.598262 # DEPENDENCYPART_ARC
(3,7),-0.212926 # DEPENDENCYPART_ARC
(3,8),-2.23054 # DEPENDENCYPART_ARC
(3,9),-0.540285 # DEPENDENCYPART_ARC
(3,10),-1.6034 # DEPENDENCYPART_ARC
(3,11),-1.44893 # DEPENDENCYPART_ARC
(3,12),0.741971 # DEPENDENCYPART_ARC
(3,13),-0.0444672 # DEPENDENCYPART_ARC
(3,14),-2.39134 # DEPENDENCYPART_ARC
(3,15),-1.45144 # DEPENDENCYPART_ARC
(3,16),-1.02435 # DEPENDENCYPART_ARC
(3,17),-1.11721 # DEPENDENCYPART_ARC
(3,18),-1.90656 # DEPENDENCYPART_ARC
(3,19),-1.40484 # DEPENDENCYPART_ARC
(3,20),-0.511813 # DEPENDENCYPART_ARC
(3,21),-1.6751 # DEPENDENCYPART_ARC
(3,22),-2.82736 # DEPENDENCYPART_ARC
(3,23),-2.592 # DEPENDENCYPART_ARC
(3,24),-2.74126 # DEPENDENCYPART_ARC
(4,1),1.02006 # DEPENDENCYPART_ARC
(4,2),1.48313 # DEPENDENCYPART_ARC
(4,3),4.59062 # DEPENDENCYPART_ARC
(4,5),2.59248 # DEPENDENCYPART_ARC
(4,6),0.841196 # DEPENDENCYPART_ARC
(4,7),0.0138391 # DEPENDENCYPART_ARC
(4,8),-1.76715 # DEPENDENCYPART_ARC
(4,9),0.376544 # DEPENDENCYPART_ARC
(4,10),-0.397254 # DEPENDENCYPART_ARC
(4,11),-1.4054 # DEPENDENCYPART_ARC
