# _root_ A destra , toeletta e sgabello tipicamente viennesi primo Ottocento , dove la signora Meier sedeva pudicamente a spazzolare i lunghi capelli .
#goldHeads=4,1,2,0,4,4,8,6,10,8,10,16,14,16,14,6,16,17,18,22,22,19,22,
#predictedHeads=16,1,2,2,4,4,8,6,10,8,10,16,14,16,14,0,16,16,18,22,22,19,22,
(0,1),-0.693784 # DEPENDENCYPART_ARC
(0,2),-0.552589 # DEPENDENCYPART_ARC
(0,3),-0.260266 # DEPENDENCYPART_ARC
(0,4),0.260884 # DEPENDENCYPART_ARC
(0,5),-1.51863 # DEPENDENCYPART_ARC
(0,6),-0.235856 # DEPENDENCYPART_ARC
(0,7),-0.91588 # DEPENDENCYPART_ARC
(0,8),-1.04944 # DEPENDENCYPART_ARC
(0,9),-0.895615 # DEPENDENCYPART_ARC
(0,10),-0.284784 # DEPENDENCYPART_ARC
(0,11),-0.434758 # DEPENDENCYPART_ARC
(0,12),-0.895465 # DEPENDENCYPART_ARC
(0,14),-0.113677 # DEPENDENCYPART_ARC
(0,15),0.122006 # DEPENDENCYPART_ARC
(0,16),0.616886 # DEPENDENCYPART_ARC
(0,17),-1.29111 # DEPENDENCYPART_ARC
(0,18),-2.33956 # DEPENDENCYPART_ARC
(0,19),-0.535763 # DEPENDENCYPART_ARC
(0,21),-1.42795 # DEPENDENCYPART_ARC
(0,22),-0.643817 # DEPENDENCYPART_ARC
(0,23),-1.47628 # DEPENDENCYPART_ARC
(1,2),4.2349 # DEPENDENCYPART_ARC
(1,3),0.470004 # DEPENDENCYPART_ARC
(1,4),-0.00302183 # DEPENDENCYPART_ARC
(1,5),0.120899 # DEPENDENCYPART_ARC
(1,6),-1.69331 # DEPENDENCYPART_ARC
(1,7),-1.14404 # DEPENDENCYPART_ARC
(1,8),-0.732546 # DEPENDENCYPART_ARC
(1,9),-1.00346 # DEPENDENCYPART_ARC
(1,10),-3.07685 # DEPENDENCYPART_ARC
(1,11),-0.989487 # DEPENDENCYPART_ARC
(1,12),-1.33079 # DEPENDENCYPART_ARC
(1,13),-1.41786 # DEPENDENCYPART_ARC
(1,14),-5.7722 # DEPENDENCYPART_ARC
(1,15),-5.86465 # DEPENDENCYPART_ARC
(1,16),-2.76729 # DEPENDENCYPART_ARC
(1,17),-1.80637 # DEPENDENCYPART_ARC
(1,18),-0.794933 # DEPENDENCYPART_ARC
(1,19),-2.70452 # DEPENDENCYPART_ARC
(1,20),-2.04892 # DEPENDENCYPART_ARC
(1,21),-1.6444 # DEPENDENCYPART_ARC
(1,22),-9.43526 # DEPENDENCYPART_ARC
(1,23),-3.16276 # DEPENDENCYPART_ARC
(2,1),0.262459 # DEPENDENCYPART_ARC
(2,3),1.94226 # DEPENDENCYPART_ARC
(2,4),0.806841 # DEPENDENCYPART_ARC
(2,5),1.18148 # DEPENDENCYPART_ARC
(2,6),0.73181 # DEPENDENCYPART_ARC
(2,7),-1.05615 # DEPENDENCYPART_ARC
(2,8),-0.540061 # DEPENDENCYPART_ARC
(2,9),-0.726989 # DEPENDENCYPART_ARC
(2,10),-0.334958 # DEPENDENCYPART_ARC
(2,11),0.281154 # DEPENDENCYPART_ARC
(2,12),-1.20273 # DEPENDENCYPART_ARC
(2,13),-0.514091 # DEPENDENCYPART_ARC
(2,14),-1.23412 # DEPENDENCYPART_ARC
(2,15),-0.857073 # DEPENDENCYPART_ARC
(2,16),-0.718492 # DEPENDENCYPART_ARC
(2,17),-1.72857 # DEPENDENCYPART_ARC
(2,18),-1.88643 # DEPENDENCYPART_ARC
(2,19),-1.61592 # DEPENDENCYPART_ARC
(2,20),-1.84774 # DEPENDENCYPART_ARC
(2,21),-3.3164 # DEPENDENCYPART_ARC
(2,22),-2.12631 # DEPENDENCYPART_ARC
(2,23),-3.00595 # DEPENDENCYPART_ARC
(3,11),-1.14052 # DEPENDENCYPART_ARC
(3,13),-1.44547 # DEPENDENCYPART_ARC
(3,20),-1.87576 # DEPENDENCYPART_ARC
(3,23),-1.97415 # DEPENDENCYPART_ARC
(4,1),-0.344262 # DEPENDENCYPART_ARC
(4,2),-1.21549 # DEPENDENCYPART_ARC
(4,3),0.364339 # DEPENDENCYPART_ARC
(4,5),1.66992 # DEPENDENCYPART_ARC
(4,6),1.56053 # DEPENDENCYPART_ARC
(4,7),-0.0561605 # DEPENDENCYPART_ARC
