# _root_ La scultura è del pachistano Hamad Butt : intitolata " Riti di Passaggio " , ha la forma di una scala e nei tubi contiene iodio , che scaldato dalle luci si è trasformato in gas .
#goldHeads=2,3,0,3,7,7,4,7,2,11,9,11,12,13,14,0,18,16,18,21,19,16,25,23,16,25,26,34,34,29,30,34,34,26,34,35,36,
#predictedHeads=2,3,0,3,4,4,6,7,7,11,9,11,12,13,14,0,18,16,18,21,19,19,25,23,0,25,26,29,26,29,30,34,34,26,34,35,36,
(0,2),-0.727269 # DEPENDENCYPART_ARC
(0,3),1.70825 # DEPENDENCYPART_ARC
(0,4),-1.41153 # DEPENDENCYPART_ARC
(0,5),-0.804821 # DEPENDENCYPART_ARC
(0,6),-0.183429 # DEPENDENCYPART_ARC
(0,7),-0.153329 # DEPENDENCYPART_ARC
(0,8),-0.684892 # DEPENDENCYPART_ARC
(0,9),0.621434 # DEPENDENCYPART_ARC
(0,10),-0.901243 # DEPENDENCYPART_ARC
(0,11),0.197373 # DEPENDENCYPART_ARC
(0,12),-2.10353 # DEPENDENCYPART_ARC
(0,13),-0.385742 # DEPENDENCYPART_ARC
(0,14),-1.0517 # DEPENDENCYPART_ARC
(0,15),-0.876726 # DEPENDENCYPART_ARC
(0,16),1.58489 # DEPENDENCYPART_ARC
(0,18),0.138468 # DEPENDENCYPART_ARC
(0,19),-2.97272 # DEPENDENCYPART_ARC
(0,21),-1.03912 # DEPENDENCYPART_ARC
(0,22),-2.23309 # DEPENDENCYPART_ARC
(0,23),-2.78196 # DEPENDENCYPART_ARC
(0,24),-1.29295 # DEPENDENCYPART_ARC
(0,25),1.22137 # DEPENDENCYPART_ARC
(0,26),-0.913497 # DEPENDENCYPART_ARC
(0,27),-1.30487 # DEPENDENCYPART_ARC
(0,29),-0.66483 # DEPENDENCYPART_ARC
(0,30),-3.23379 # DEPENDENCYPART_ARC
(0,31),-1.45735 # DEPENDENCYPART_ARC
(0,32),-2.23655 # DEPENDENCYPART_ARC
(0,33),0.249449 # DEPENDENCYPART_ARC
(0,34),-0.494662 # DEPENDENCYPART_ARC
(0,35),-4.15687 # DEPENDENCYPART_ARC
(0,36),-1.60896 # DEPENDENCYPART_ARC
(0,37),-2.28633 # DEPENDENCYPART_ARC
(1,2),1.10947 # DEPENDENCYPART_ARC
(1,3),-0.0633757 # DEPENDENCYPART_ARC
(1,4),-0.774607 # DEPENDENCYPART_ARC
(1,8),-0.721543 # DEPENDENCYPART_ARC
(1,9),-0.783221 # DEPENDENCYPART_ARC
(1,10),-0.917133 # DEPENDENCYPART_ARC
(1,11),-1.50889 # DEPENDENCYPART_ARC
(1,12),-1.23107 # DEPENDENCYPART_ARC
(1,13),-1.51127 # DEPENDENCYPART_ARC
(1,14),-1.2046 # DEPENDENCYPART_ARC
(1,15),-1.01032 # DEPENDENCYPART_ARC
(1,16),-1.15861 # DEPENDENCYPART_ARC
(1,18),-1.45314 # DEPENDENCYPART_ARC
(1,19),-1.68362 # DEPENDENCYPART_ARC
(1,21),-1.53861 # DEPENDENCYPART_ARC
(1,23),-2.01224 # DEPENDENCYPART_ARC
(1,24),-2.03698 # DEPENDENCYPART_ARC
(1,25),-1.6078 # DEPENDENCYPART_ARC
(1,26),-2.04396 # DEPENDENCYPART_ARC
(1,27),-1.68557 # DEPENDENCYPART_ARC
(1,29),-1.95623 # DEPENDENCYPART_ARC
(1,30),-1.99315 # DEPENDENCYPART_ARC
(1,31),-1.93306 # DEPENDENCYPART_ARC
(1,33),-1.38304 # DEPENDENCYPART_ARC
(1,34),-2.12657 # DEPENDENCYPART_ARC
(1,35),-2.77003 # DEPENDENCYPART_ARC
(1,36),-1.70601 # DEPENDENCYPART_ARC
(1,37),-2.31137 # DEPENDENCYPART_ARC
(2,1),3.72896 # DEPENDENCYPART_ARC
(2,3),1.06385 # DEPENDENCYPART_ARC
(2,4),0.826303 # DEPENDENCYPART_ARC
(2,5),-1.14395 # DEPENDENCYPART_ARC
(2,6),-0.628266 # DEPENDENCYPART_ARC
(2,7),-0.13865 # DEPENDENCYPART_ARC
(2,8),-1.17968 # DEPENDENCYPART_ARC
(2,9),0.257381 # DEPENDENCYPART_ARC
(2,10),-1.79878 # DEPENDENCYPART_ARC
(2,11),-0.926973 # DEPENDENCYPART_ARC
(2,12),-0.296415 # DEPENDENCYPART_ARC
(2,13),-0.824402 # DEPENDENCYPART_ARC
(2,14),-2.81801 # DEPENDENCYPART_ARC
(2,15),-0.956816 # DEPENDENCYPART_ARC
(2,16),-2.11603 # DEPENDENCYPART_ARC
(2,17),-0.738138 # DEPENDENCYPART_ARC
(2,18),-1.18627 # DEPENDENCYPART_ARC
(2,19),-1.39067 # DEPENDENCYPART_ARC
(2,20),-1.17167 # DEPENDENCYPART_ARC
(2,21),-1.38079 # DEPENDENCYPART_ARC
(2,22),-0.810273 # DEPENDENCYPART_ARC
(2,23),-2.3963 # DEPENDENCYPART_ARC
(2,24),-1.77846 # DEPENDENCYPART_ARC
(2,25),-3.5953 # DEPENDENCYPART_ARC
(2,26),-1.64094 # DEPENDENCYPART_ARC
(2,27),-1.47655 # DEPENDENCYPART_ARC
(2,28),-3.73523 # DEPENDENCYPART_ARC
(2,29),-2.51051 # DEPENDENCYPART_ARC
(2,30),-3.41478 # DEPENDENCYPART_ARC
(2,31),-1.97869 # DEPENDENCYPART_ARC
(2,32),-3.23817 # DEPENDENCYPART_ARC
(2,33),-2.21784 # DEPENDENCYPART_ARC
(2,34),-4.16889 # DEPENDENCYPART_ARC
(2,35),-3.16181 # DEPENDENCYPART_ARC
(2,36),-2.66113 # DEPENDENCYPART_ARC
(2,37),-7.00106 # DEPENDENCYPART_ARC
(3,1),0.106361 # DEPENDENCYPART_ARC
(3,2),2.5658 # DEPENDENCYPART_ARC
(3,4),1.89247 # DEPENDENCYPART_ARC
(3,5),1.0158 # DEPENDENCYPART_ARC
(3,6),1.34571 # DEPENDENCYPART_ARC
(3,7),1.04327 # DEPENDENCYPART_ARC
(3,8),0.0381237 # DEPENDENCYPART_ARC
