# _root_ Non certo nei millenari blocchi naturali di marmo , ma in laboratorio , come vedremo più avanti .
#goldHeads=2,0,2,5,3,5,5,7,5,5,5,11,12,2,14,17,15,17,
#predictedHeads=2,0,2,5,3,5,5,7,8,3,7,11,12,6,14,17,15,17,
(0,1),-0.891424 # DEPENDENCYPART_ARC
(0,2),-0.991374 # DEPENDENCYPART_ARC
(0,3),-0.978461 # DEPENDENCYPART_ARC
(0,4),-0.818433 # DEPENDENCYPART_ARC
(0,5),-0.356824 # DEPENDENCYPART_ARC
(0,6),-1.00545 # DEPENDENCYPART_ARC
(0,7),-1.34992 # DEPENDENCYPART_ARC
(0,8),-0.191504 # DEPENDENCYPART_ARC
(0,9),-0.727944 # DEPENDENCYPART_ARC
(0,10),-0.663231 # DEPENDENCYPART_ARC
(0,11),-2.12357 # DEPENDENCYPART_ARC
(0,12),-0.419212 # DEPENDENCYPART_ARC
(0,13),-0.825272 # DEPENDENCYPART_ARC
(0,14),-1.04457 # DEPENDENCYPART_ARC
(0,15),-0.010408 # DEPENDENCYPART_ARC
(0,16),-1.73 # DEPENDENCYPART_ARC
(0,17),-1.23897 # DEPENDENCYPART_ARC
(0,18),-1.34902 # DEPENDENCYPART_ARC
(1,2),-0.0452138 # DEPENDENCYPART_ARC
(1,3),-0.714751 # DEPENDENCYPART_ARC
(1,4),-0.680338 # DEPENDENCYPART_ARC
(1,5),-0.904346 # DEPENDENCYPART_ARC
(1,6),-0.942319 # DEPENDENCYPART_ARC
(1,7),-1.31292 # DEPENDENCYPART_ARC
(1,8),-1.29164 # DEPENDENCYPART_ARC
(1,9),-1.11934 # DEPENDENCYPART_ARC
(1,10),-1.11594 # DEPENDENCYPART_ARC
(1,11),-1.54391 # DEPENDENCYPART_ARC
(1,12),-1.49991 # DEPENDENCYPART_ARC
(1,13),-1.56796 # DEPENDENCYPART_ARC
(1,14),-1.04141 # DEPENDENCYPART_ARC
(1,15),-1.47921 # DEPENDENCYPART_ARC
(1,16),-1.86309 # DEPENDENCYPART_ARC
(1,17),-1.94101 # DEPENDENCYPART_ARC
(1,18),-2.2803 # DEPENDENCYPART_ARC
(2,1),1.7688 # DEPENDENCYPART_ARC
(2,3),0.919205 # DEPENDENCYPART_ARC
(2,4),0.157135 # DEPENDENCYPART_ARC
(2,5),0.0951967 # DEPENDENCYPART_ARC
(2,6),-0.39862 # DEPENDENCYPART_ARC
(2,7),-0.441957 # DEPENDENCYPART_ARC
(2,8),-0.341142 # DEPENDENCYPART_ARC
(2,9),-0.433408 # DEPENDENCYPART_ARC
(2,10),-0.412248 # DEPENDENCYPART_ARC
(2,11),-0.87748 # DEPENDENCYPART_ARC
(2,12),-0.546079 # DEPENDENCYPART_ARC
(2,13),-0.880074 # DEPENDENCYPART_ARC
(2,14),-0.327065 # DEPENDENCYPART_ARC
(2,15),-1.03469 # DEPENDENCYPART_ARC
(2,16),-0.981137 # DEPENDENCYPART_ARC
(2,17),-1.1428 # DEPENDENCYPART_ARC
(2,18),-1.45853 # DEPENDENCYPART_ARC
(3,1),0.100848 # DEPENDENCYPART_ARC
(3,2),0.710211 # DEPENDENCYPART_ARC
(3,4),2.27985 # DEPENDENCYPART_ARC
(3,5),3.73621 # DEPENDENCYPART_ARC
(3,6),1.41804 # DEPENDENCYPART_ARC
(3,7),0.387052 # DEPENDENCYPART_ARC
(3,8),0.512884 # DEPENDENCYPART_ARC
(3,9),0.993687 # DEPENDENCYPART_ARC
(3,10),1.19104 # DEPENDENCYPART_ARC
(3,11),0.427144 # DEPENDENCYPART_ARC
(3,12),-0.97086 # DEPENDENCYPART_ARC
(3,13),0.847857 # DEPENDENCYPART_ARC
(3,14),-0.0885268 # DEPENDENCYPART_ARC
(3,15),-0.90654 # DEPENDENCYPART_ARC
(3,16),-0.474439 # DEPENDENCYPART_ARC
(3,17),-0.460118 # DEPENDENCYPART_ARC
(3,18),-0.741267 # DEPENDENCYPART_ARC
(4,1),-0.452738 # DEPENDENCYPART_ARC
(4,2),-0.243336 # DEPENDENCYPART_ARC
(4,3),0.311317 # DEPENDENCYPART_ARC
(4,5),1.46496 # DEPENDENCYPART_ARC
(4,6),0.721139 # DEPENDENCYPART_ARC
(4,7),-0.184546 # DEPENDENCYPART_ARC
(4,8),-0.403536 # DEPENDENCYPART_ARC
(4,9),-0.63673 # DEPENDENCYPART_ARC
(4,10),-0.238946 # DEPENDENCYPART_ARC
(4,11),-0.824274 # DEPENDENCYPART_ARC
(4,12),-0.769264 # DEPENDENCYPART_ARC
(4,13),-0.7633 # DEPENDENCYPART_ARC
(4,14),-0.490083 # DEPENDENCYPART_ARC
(4,15),-1.07586 # DEPENDENCYPART_ARC
(4,16),-1.53333 # DEPENDENCYPART_ARC
(4,17),-1.53028 # DEPENDENCYPART_ARC
(4,18),-1.56625 # DEPENDENCYPART_ARC
(5,1),-0.0426543 # DEPENDENCYPART_ARC
(5,2),0.356834 # DEPENDENCYPART_ARC
(5,3),0.743623 # DEPENDENCYPART_ARC
(5,4),4.11778 # DEPENDENCYPART_ARC
(5,6),2.86616 # DEPENDENCYPART_ARC
(5,7),1.66246 # DEPENDENCYPART_ARC
(5,8),0.639098 # DEPENDENCYPART_ARC
(5,9),0.478041 # DEPENDENCYPART_ARC
(5,10),0.206115 # DEPENDENCYPART_ARC
(5,11),-0.017951 # DEPENDENCYPART_ARC
(5,12),0.251581 # DEPENDENCYPART_ARC
(5,13),0.319926 # DEPENDENCYPART_ARC
(5,14),-0.221761 # DEPENDENCYPART_ARC
(5,15),-0.832655 # DEPENDENCYPART_ARC
(5,16),-1.06716 # DEPENDENCYPART_ARC
(5,17),-0.819763 # DEPENDENCYPART_ARC
(5,18),-1.78464 # DEPENDENCYPART_ARC
(6,1),-0.0283463 # DEPENDENCYPART_ARC
(6,2),-0.11303 # DEPENDENCYPART_ARC
(6,3),-0.291747 # DEPENDENCYPART_ARC
(6,4),-0.103487 # DEPENDENCYPART_ARC
(6,5),0.497151 # DEPENDENCYPART_ARC
(6,7),1.2063 # DEPENDENCYPART_ARC
(6,8),0.910167 # DEPENDENCYPART_ARC
(6,9),0.603092 # DEPENDENCYPART_ARC
(6,10),0.800902 # DEPENDENCYPART_ARC
(6,11),0.252083 # DEPENDENCYPART_ARC
(6,12),0.0506654 # DEPENDENCYPART_ARC
(6,13),0.299311 # DEPENDENCYPART_ARC
(6,14),0.522736 # DEPENDENCYPART_ARC
(6,15),0.10989 # DEPENDENCYPART_ARC
(6,16),-0.77438 # DEPENDENCYPART_ARC
(6,17),-0.794623 # DEPENDENCYPART_ARC
(6,18),-0.488361 # DEPENDENCYPART_ARC
(7,1),-0.710715 # DEPENDENCYPART_ARC
(7,2),-0.839038 # DEPENDENCYPART_ARC
(7,3),-0.885829 # DEPENDENCYPART_ARC
(7,4),-1.27595 # DEPENDENCYPART_ARC
(7,5),-0.897808 # DEPENDENCYPART_ARC
(7,6),-0.105074 # DEPENDENCYPART_ARC
(7,8),4.37755 # DEPENDENCYPART_ARC
(7,9),0.807335 # DEPENDENCYPART_ARC
(7,10),0.979551 # DEPENDENCYPART_ARC
(7,11),0.507633 # DEPENDENCYPART_ARC
(7,12),0.840385 # DEPENDENCYPART_ARC
(7,13),0.546629 # DEPENDENCYPART_ARC
(7,14),-0.706299 # DEPENDENCYPART_ARC
(7,15),-0.658397 # DEPENDENCYPART_ARC
(7,16),-1.16496 # DEPENDENCYPART_ARC
(7,17),-1.2017 # DEPENDENCYPART_ARC
(7,18),-1.09242 # DEPENDENCYPART_ARC
(8,1),-1.63171 # DEPENDENCYPART_ARC
(8,2),-1.70552 # DEPENDENCYPART_ARC
(8,3),-1.76855 # DEPENDENCYPART_ARC
(8,4),0.116046 # DEPENDENCYPART_ARC
(8,5),-1.49249 # DEPENDENCYPART_ARC
(8,6),-0.315775 # DEPENDENCYPART_ARC
(8,7),0.45229 # DEPENDENCYPART_ARC
(8,9),1.79035 # DEPENDENCYPART_ARC
(8,10),0.366651 # DEPENDENCYPART_ARC
(8,11),-0.069502 # DEPENDENCYPART_ARC
(8,12),0.811553 # DEPENDENCYPART_ARC
(8,13),0.350493 # DEPENDENCYPART_ARC
(8,14),-0.0842371 # DEPENDENCYPART_ARC
(8,15),-2.40805 # DEPENDENCYPART_ARC
(8,16),-0.937516 # DEPENDENCYPART_ARC
(8,17),-0.802632 # DEPENDENCYPART_ARC
(8,18),-1.23057 # DEPENDENCYPART_ARC
(9,1),-2.43429 # DEPENDENCYPART_ARC
(9,2),-2.34443 # DEPENDENCYPART_ARC
(9,3),-1.95487 # DEPENDENCYPART_ARC
(9,4),-2.3814 # DEPENDENCYPART_ARC
(9,5),-2.30234 # DEPENDENCYPART_ARC
(9,6),-1.92936 # DEPENDENCYPART_ARC
(9,7),-1.20992 # DEPENDENCYPART_ARC
(9,8),-0.937147 # DEPENDENCYPART_ARC
(9,10),-1.18326 # DEPENDENCYPART_ARC
(9,11),-1.95853 # DEPENDENCYPART_ARC
(9,12),-1.89218 # DEPENDENCYPART_ARC
(9,13),-1.14048 # DEPENDENCYPART_ARC
(9,14),-2.24485 # DEPENDENCYPART_ARC
(9,15),-1.972 # DEPENDENCYPART_ARC
(9,16),-2.60438 # DEPENDENCYPART_ARC
(9,17),-2.6481 # DEPENDENCYPART_ARC
(9,18),-1.45408 # DEPENDENCYPART_ARC
(10,1),-1.58645 # DEPENDENCYPART_ARC
(10,2),-1.59955 # DEPENDENCYPART_ARC
(10,3),-1.69394 # DEPENDENCYPART_ARC
(10,4),-2.03194 # DEPENDENCYPART_ARC
(10,5),-1.9909 # DEPENDENCYPART_ARC
(10,6),-1.79471 # DEPENDENCYPART_ARC
(10,7),-1.0466 # DEPENDENCYPART_ARC
(10,8),-1.29098 # DEPENDENCYPART_ARC
(10,9),0.239582 # DEPENDENCYPART_ARC
(10,11),-0.522358 # DEPENDENCYPART_ARC
(10,12),-0.233273 # DEPENDENCYPART_ARC
(10,13),0.266188 # DEPENDENCYPART_ARC
(10,14),-0.291429 # DEPENDENCYPART_ARC
(10,15),0.0431399 # DEPENDENCYPART_ARC
(10,16),-1.24952 # DEPENDENCYPART_ARC
(10,17),-1.23253 # DEPENDENCYPART_ARC
(10,18),-0.819031 # DEPENDENCYPART_ARC
(11,1),-1.31646 # DEPENDENCYPART_ARC
(11,2),-1.53349 # DEPENDENCYPART_ARC
(11,3),-1.98506 # DEPENDENCYPART_ARC
(11,4),-2.43571 # DEPENDENCYPART_ARC
(11,5),-2.36835 # DEPENDENCYPART_ARC
(11,6),-2.33453 # DEPENDENCYPART_ARC
(11,7),-1.53821 # DEPENDENCYPART_ARC
(11,8),-1.6842 # DEPENDENCYPART_ARC
(11,9),-1.35051 # DEPENDENCYPART_ARC
(11,10),0.0537236 # DEPENDENCYPART_ARC
(11,12),3.96916 # DEPENDENCYPART_ARC
(11,13),0.193836 # DEPENDENCYPART_ARC
(11,14),-0.288589 # DEPENDENCYPART_ARC
(11,15),-0.385711 # DEPENDENCYPART_ARC
(11,16),-1.00523 # DEPENDENCYPART_ARC
(11,17),-1.18857 # DEPENDENCYPART_ARC
(11,18),-0.976414 # DEPENDENCYPART_ARC
(12,1),-2.26801 # DEPENDENCYPART_ARC
(12,2),-2.20436 # DEPENDENCYPART_ARC
(12,3),-2.54386 # DEPENDENCYPART_ARC
(12,4),-0.684774 # DEPENDENCYPART_ARC
(12,5),-2.63973 # DEPENDENCYPART_ARC
(12,6),-2.04812 # DEPENDENCYPART_ARC
(12,7),-1.57694 # DEPENDENCYPART_ARC
(12,8),-2.40801 # DEPENDENCYPART_ARC
(12,9),-2.31038 # DEPENDENCYPART_ARC
(12,10),-0.995501 # DEPENDENCYPART_ARC
(12,11),0.49295 # DEPENDENCYPART_ARC
(12,13),1.52532 # DEPENDENCYPART_ARC
(12,14),-0.0681982 # DEPENDENCYPART_ARC
(12,15),-1.9308 # DEPENDENCYPART_ARC
(12,16),-0.896087 # DEPENDENCYPART_ARC
(12,17),-0.819078 # DEPENDENCYPART_ARC
(12,18),-0.659703 # DEPENDENCYPART_ARC
(13,1),-2.52614 # DEPENDENCYPART_ARC
(13,2),-2.60069 # DEPENDENCYPART_ARC
(13,3),-2.09372 # DEPENDENCYPART_ARC
(13,4),-2.59627 # DEPENDENCYPART_ARC
(13,5),-2.63512 # DEPENDENCYPART_ARC
(13,6),-2.4893 # DEPENDENCYPART_ARC
(13,7),-1.92823 # DEPENDENCYPART_ARC
(13,8),-2.44359 # DEPENDENCYPART_ARC
(13,9),-1.96997 # DEPENDENCYPART_ARC
(13,10),-1.63283 # DEPENDENCYPART_ARC
(13,11),-1.18328 # DEPENDENCYPART_ARC
(13,12),-0.91051 # DEPENDENCYPART_ARC
(13,14),-1.10923 # DEPENDENCYPART_ARC
(13,15),-1.35205 # DEPENDENCYPART_ARC
(13,16),-2.12907 # DEPENDENCYPART_ARC
(13,17),-2.30517 # DEPENDENCYPART_ARC
(13,18),-1.23472 # DEPENDENCYPART_ARC
(14,1),-1.7863 # DEPENDENCYPART_ARC
(14,2),-1.82557 # DEPENDENCYPART_ARC
(14,3),-2.05652 # DEPENDENCYPART_ARC
(14,4),-2.30235 # DEPENDENCYPART_ARC
(14,5),-2.4516 # DEPENDENCYPART_ARC
(14,6),-2.25226 # DEPENDENCYPART_ARC
(14,7),-1.75518 # DEPENDENCYPART_ARC
(14,8),-2.23723 # DEPENDENCYPART_ARC
(14,9),-1.66555 # DEPENDENCYPART_ARC
(14,10),-1.25779 # DEPENDENCYPART_ARC
(14,11),-1.11817 # DEPENDENCYPART_ARC
(14,12),-1.38711 # DEPENDENCYPART_ARC
(14,13),0.0249296 # DEPENDENCYPART_ARC
(14,15),2.61693 # DEPENDENCYPART_ARC
(14,16),-0.183449 # DEPENDENCYPART_ARC
(14,17),-0.213999 # DEPENDENCYPART_ARC
