# _root_ Non ci rendiamo conto del lavoro psicologico , dei prodigi di equilibrio , di diplomazia che fanno per noi .
#goldHeads=3,3,0,3,4,5,6,5,5,9,10,11,11,11,14,17,6,17,18,19,
#predictedHeads=3,3,0,3,4,5,6,7,4,9,10,11,12,10,14,17,15,17,18,19,
(0,1),-0.736648 # DEPENDENCYPART_ARC
(0,2),-1.1225 # DEPENDENCYPART_ARC
(0,3),1.09764 # DEPENDENCYPART_ARC
(0,4),-0.128057 # DEPENDENCYPART_ARC
(0,5),-1.25911 # DEPENDENCYPART_ARC
(0,6),-0.240653 # DEPENDENCYPART_ARC
(0,7),-0.615553 # DEPENDENCYPART_ARC
(0,8),-0.790592 # DEPENDENCYPART_ARC
(0,9),-0.985377 # DEPENDENCYPART_ARC
(0,10),-0.0861194 # DEPENDENCYPART_ARC
(0,11),-1.8017 # DEPENDENCYPART_ARC
(0,12),-0.513162 # DEPENDENCYPART_ARC
(0,13),-0.926965 # DEPENDENCYPART_ARC
(0,14),-1.72947 # DEPENDENCYPART_ARC
(0,15),-0.302464 # DEPENDENCYPART_ARC
(0,16),-1.14526 # DEPENDENCYPART_ARC
(0,17),0.818141 # DEPENDENCYPART_ARC
(0,18),-2.04321 # DEPENDENCYPART_ARC
(0,19),-1.51635 # DEPENDENCYPART_ARC
(0,20),-1.41818 # DEPENDENCYPART_ARC
(1,2),-0.193273 # DEPENDENCYPART_ARC
(1,3),-0.578843 # DEPENDENCYPART_ARC
(1,4),-1.36005 # DEPENDENCYPART_ARC
(1,5),-1.43902 # DEPENDENCYPART_ARC
(1,6),-1.59754 # DEPENDENCYPART_ARC
(1,7),-1.83892 # DEPENDENCYPART_ARC
(1,8),-1.11866 # DEPENDENCYPART_ARC
(1,9),-1.84728 # DEPENDENCYPART_ARC
(1,10),-2.01553 # DEPENDENCYPART_ARC
(1,11),-1.93834 # DEPENDENCYPART_ARC
(1,12),-2.05182 # DEPENDENCYPART_ARC
(1,13),-1.65811 # DEPENDENCYPART_ARC
(1,14),-2.19837 # DEPENDENCYPART_ARC
(1,15),-2.06511 # DEPENDENCYPART_ARC
(1,16),-2.17303 # DEPENDENCYPART_ARC
(1,17),-2.33848 # DEPENDENCYPART_ARC
(1,18),-2.37369 # DEPENDENCYPART_ARC
(1,19),-2.17146 # DEPENDENCYPART_ARC
(1,20),-2.66758 # DEPENDENCYPART_ARC
(2,1),0.379299 # DEPENDENCYPART_ARC
(2,3),1.00275 # DEPENDENCYPART_ARC
(2,4),-0.0587913 # DEPENDENCYPART_ARC
(2,5),-1.11998 # DEPENDENCYPART_ARC
(2,6),-0.52781 # DEPENDENCYPART_ARC
(2,7),-0.852745 # DEPENDENCYPART_ARC
(2,8),-0.782493 # DEPENDENCYPART_ARC
(2,9),-1.30552 # DEPENDENCYPART_ARC
(2,10),-0.398203 # DEPENDENCYPART_ARC
(2,11),-1.51476 # DEPENDENCYPART_ARC
(2,12),-0.896692 # DEPENDENCYPART_ARC
(2,13),-0.856569 # DEPENDENCYPART_ARC
(2,14),-1.84468 # DEPENDENCYPART_ARC
(2,15),-1.50017 # DEPENDENCYPART_ARC
(2,16),-1.45321 # DEPENDENCYPART_ARC
(2,17),-2.84414 # DEPENDENCYPART_ARC
(2,18),-2.72816 # DEPENDENCYPART_ARC
(2,19),-1.00124 # DEPENDENCYPART_ARC
(2,20),-1.82507 # DEPENDENCYPART_ARC
(3,1),2.76916 # DEPENDENCYPART_ARC
(3,2),3.45056 # DEPENDENCYPART_ARC
(3,4),2.58502 # DEPENDENCYPART_ARC
(3,5),0.416481 # DEPENDENCYPART_ARC
(3,6),0.283629 # DEPENDENCYPART_ARC
(3,7),-0.617333 # DEPENDENCYPART_ARC
(3,8),0.317449 # DEPENDENCYPART_ARC
(3,9),-0.666481 # DEPENDENCYPART_ARC
(3,10),-0.230764 # DEPENDENCYPART_ARC
(3,11),-0.404014 # DEPENDENCYPART_ARC
(3,12),-1.25893 # DEPENDENCYPART_ARC
(3,13),0.163257 # DEPENDENCYPART_ARC
(3,14),-1.14417 # DEPENDENCYPART_ARC
(3,15),-1.5224 # DEPENDENCYPART_ARC
(3,16),-1.74007 # DEPENDENCYPART_ARC
(3,17),-0.075267 # DEPENDENCYPART_ARC
(3,18),-0.850557 # DEPENDENCYPART_ARC
(3,19),-1.30391 # DEPENDENCYPART_ARC
(3,20),-2.07673 # DEPENDENCYPART_ARC
(4,1),0.320857 # DEPENDENCYPART_ARC
(4,2),0.530899 # DEPENDENCYPART_ARC
(4,3),0.265269 # DEPENDENCYPART_ARC
(4,5),2.5084 # DEPENDENCYPART_ARC
(4,6),1.35031 # DEPENDENCYPART_ARC
(4,7),1.57398 # DEPENDENCYPART_ARC
(4,8),0.580257 # DEPENDENCYPART_ARC
(4,9),0.500574 # DEPENDENCYPART_ARC
(4,10),0.382119 # DEPENDENCYPART_ARC
(4,11),0.199227 # DEPENDENCYPART_ARC
(4,12),0.29767 # DEPENDENCYPART_ARC
(4,13),0.439661 # DEPENDENCYPART_ARC
(4,14),-0.421518 # DEPENDENCYPART_ARC
(4,15),-0.136253 # DEPENDENCYPART_ARC
(4,16),-2.02225 # DEPENDENCYPART_ARC
(4,17),0.113683 # DEPENDENCYPART_ARC
(4,18),-1.18676 # DEPENDENCYPART_ARC
(4,19),-1.14813 # DEPENDENCYPART_ARC
(4,20),-2.65828 # DEPENDENCYPART_ARC
(5,1),-0.66641 # DEPENDENCYPART_ARC
(5,2),-1.18069 # DEPENDENCYPART_ARC
(5,3),-1.7117 # DEPENDENCYPART_ARC
(5,4),-0.720931 # DEPENDENCYPART_ARC
(5,6),4.34716 # DEPENDENCYPART_ARC
(5,7),0.750337 # DEPENDENCYPART_ARC
(5,8),1.19197 # DEPENDENCYPART_ARC
(5,9),0.358902 # DEPENDENCYPART_ARC
(5,10),0.529193 # DEPENDENCYPART_ARC
(5,11),0.25985 # DEPENDENCYPART_ARC
(5,12),-0.13762 # DEPENDENCYPART_ARC
(5,13),1.09172 # DEPENDENCYPART_ARC
(5,14),0.41753 # DEPENDENCYPART_ARC
(5,15),-1.66758 # DEPENDENCYPART_ARC
(5,16),-1.70677 # DEPENDENCYPART_ARC
(5,17),-2.52956 # DEPENDENCYPART_ARC
(5,18),-1.0124 # DEPENDENCYPART_ARC
(5,19),-0.996398 # DEPENDENCYPART_ARC
(5,20),-0.905788 # DEPENDENCYPART_ARC
(6,1),-1.41458 # DEPENDENCYPART_ARC
(6,2),-1.26541 # DEPENDENCYPART_ARC
(6,3),-2.23958 # DEPENDENCYPART_ARC
(6,4),-1.28133 # DEPENDENCYPART_ARC
(6,5),0.824796 # DEPENDENCYPART_ARC
(6,7),3.0072 # DEPENDENCYPART_ARC
(6,8),-0.0871658 # DEPENDENCYPART_ARC
(6,9),0.448387 # DEPENDENCYPART_ARC
(6,10),-0.0949377 # DEPENDENCYPART_ARC
(6,11),0.24179 # DEPENDENCYPART_ARC
(6,12),0.112002 # DEPENDENCYPART_ARC
(6,13),0.433977 # DEPENDENCYPART_ARC
(6,14),-0.624812 # DEPENDENCYPART_ARC
(6,15),-0.304783 # DEPENDENCYPART_ARC
(6,16),-2.1752 # DEPENDENCYPART_ARC
(6,17),-0.125932 # DEPENDENCYPART_ARC
(6,18),-1.40186 # DEPENDENCYPART_ARC
(6,19),-1.61296 # DEPENDENCYPART_ARC
(6,20),-2.50765 # DEPENDENCYPART_ARC
(7,1),-0.956584 # DEPENDENCYPART_ARC
(7,2),-0.353289 # DEPENDENCYPART_ARC
(7,3),-1.55909 # DEPENDENCYPART_ARC
(7,4),-0.85057 # DEPENDENCYPART_ARC
(7,5),0.409985 # DEPENDENCYPART_ARC
(7,6),0.487443 # DEPENDENCYPART_ARC
(7,8),1.92938 # DEPENDENCYPART_ARC
(7,9),-0.241264 # DEPENDENCYPART_ARC
(7,10),-0.263769 # DEPENDENCYPART_ARC
(7,11),-0.416742 # DEPENDENCYPART_ARC
(7,12),-0.304994 # DEPENDENCYPART_ARC
(7,13),0.114017 # DEPENDENCYPART_ARC
(7,14),-0.931283 # DEPENDENCYPART_ARC
(7,15),-0.781654 # DEPENDENCYPART_ARC
