# _root_ Forse perché quando vi salutate tra voi , con quel braccio proteso in_avanti , somigliate ai soldati tedeschi del Terzo Reich ... .
#goldHeads=2,3,15,5,3,5,6,7,5,11,9,11,12,13,0,15,16,17,17,21,19,21,22,
#predictedHeads=5,5,15,5,3,5,6,7,5,11,9,11,12,13,0,15,16,17,17,21,19,21,22,
(0,1),-0.485258 # DEPENDENCYPART_ARC
(0,2),-1.65312 # DEPENDENCYPART_ARC
(0,3),-0.906552 # DEPENDENCYPART_ARC
(0,4),-1.15454 # DEPENDENCYPART_ARC
(0,5),0.2799 # DEPENDENCYPART_ARC
(0,6),-1.79961 # DEPENDENCYPART_ARC
(0,7),-1.4202 # DEPENDENCYPART_ARC
(0,8),-0.695881 # DEPENDENCYPART_ARC
(0,9),-1.90166 # DEPENDENCYPART_ARC
(0,10),-1.12356 # DEPENDENCYPART_ARC
(0,11),-1.35937 # DEPENDENCYPART_ARC
(0,12),-0.488566 # DEPENDENCYPART_ARC
(0,13),-1.23619 # DEPENDENCYPART_ARC
(0,14),-0.844782 # DEPENDENCYPART_ARC
(0,15),0.409814 # DEPENDENCYPART_ARC
(0,16),-1.68061 # DEPENDENCYPART_ARC
(0,17),-1.35994 # DEPENDENCYPART_ARC
(0,18),-1.23047 # DEPENDENCYPART_ARC
(0,19),-2.08328 # DEPENDENCYPART_ARC
(0,20),-1.53811 # DEPENDENCYPART_ARC
(0,21),-1.62635 # DEPENDENCYPART_ARC
(0,22),-1.71448 # DEPENDENCYPART_ARC
(0,23),-1.62852 # DEPENDENCYPART_ARC
(1,2),0.279736 # DEPENDENCYPART_ARC
(1,3),-0.432469 # DEPENDENCYPART_ARC
(1,4),-0.927003 # DEPENDENCYPART_ARC
(1,5),-0.35023 # DEPENDENCYPART_ARC
(1,6),-1.17799 # DEPENDENCYPART_ARC
(1,7),-1.4332 # DEPENDENCYPART_ARC
(1,8),-0.700534 # DEPENDENCYPART_ARC
(1,9),-1.66125 # DEPENDENCYPART_ARC
(1,10),-1.52817 # DEPENDENCYPART_ARC
(1,11),-1.71287 # DEPENDENCYPART_ARC
(1,12),-1.18286 # DEPENDENCYPART_ARC
(1,13),-1.42291 # DEPENDENCYPART_ARC
(1,14),-1.25304 # DEPENDENCYPART_ARC
(1,15),-1.56294 # DEPENDENCYPART_ARC
(1,16),-2.10657 # DEPENDENCYPART_ARC
(1,17),-2.174 # DEPENDENCYPART_ARC
(1,18),-1.97081 # DEPENDENCYPART_ARC
(1,19),-2.03726 # DEPENDENCYPART_ARC
(1,20),-2.07055 # DEPENDENCYPART_ARC
(1,21),-2.3435 # DEPENDENCYPART_ARC
(1,22),-2.55026 # DEPENDENCYPART_ARC
(1,23),-2.82299 # DEPENDENCYPART_ARC
(2,1),0.172248 # DEPENDENCYPART_ARC
(2,3),0.491524 # DEPENDENCYPART_ARC
(2,4),-0.504321 # DEPENDENCYPART_ARC
(2,5),1.66508 # DEPENDENCYPART_ARC
(2,6),-0.848189 # DEPENDENCYPART_ARC
(2,7),-0.964699 # DEPENDENCYPART_ARC
(2,8),0.0681371 # DEPENDENCYPART_ARC
(2,9),-1.1235 # DEPENDENCYPART_ARC
(2,10),-0.808485 # DEPENDENCYPART_ARC
(2,11),-1.05492 # DEPENDENCYPART_ARC
(2,12),0.315558 # DEPENDENCYPART_ARC
(2,13),-1.4103 # DEPENDENCYPART_ARC
(2,14),-0.42005 # DEPENDENCYPART_ARC
(2,15),-0.785593 # DEPENDENCYPART_ARC
(2,16),-1.46407 # DEPENDENCYPART_ARC
(2,17),-1.38872 # DEPENDENCYPART_ARC
(2,18),-1.14701 # DEPENDENCYPART_ARC
(2,19),-1.48198 # DEPENDENCYPART_ARC
(2,20),-0.925646 # DEPENDENCYPART_ARC
(2,21),-1.49676 # DEPENDENCYPART_ARC
(2,22),-1.11448 # DEPENDENCYPART_ARC
(2,23),-1.67709 # DEPENDENCYPART_ARC
(3,1),-0.909658 # DEPENDENCYPART_ARC
(3,2),0.122783 # DEPENDENCYPART_ARC
(3,4),0.798994 # DEPENDENCYPART_ARC
(3,5),2.56346 # DEPENDENCYPART_ARC
(3,6),0.051011 # DEPENDENCYPART_ARC
(3,7),-0.236908 # DEPENDENCYPART_ARC
(3,8),0.460284 # DEPENDENCYPART_ARC
(3,9),-0.316711 # DEPENDENCYPART_ARC
(3,10),-0.125651 # DEPENDENCYPART_ARC
(3,11),-0.374575 # DEPENDENCYPART_ARC
(3,12),0.979423 # DEPENDENCYPART_ARC
(3,13),-0.764892 # DEPENDENCYPART_ARC
(3,14),0.128065 # DEPENDENCYPART_ARC
(3,15),-0.219531 # DEPENDENCYPART_ARC
(3,16),-0.725083 # DEPENDENCYPART_ARC
(3,17),-0.607045 # DEPENDENCYPART_ARC
(3,18),-0.600333 # DEPENDENCYPART_ARC
(3,19),-0.655659 # DEPENDENCYPART_ARC
(3,20),-0.256038 # DEPENDENCYPART_ARC
(3,21),-0.694077 # DEPENDENCYPART_ARC
(3,22),-0.612123 # DEPENDENCYPART_ARC
(3,23),-0.924703 # DEPENDENCYPART_ARC
(4,1),-0.972883 # DEPENDENCYPART_ARC
(4,2),-0.720728 # DEPENDENCYPART_ARC
(4,3),0.262461 # DEPENDENCYPART_ARC
(4,5),0.831502 # DEPENDENCYPART_ARC
(4,6),-0.681622 # DEPENDENCYPART_ARC
(4,7),-0.581979 # DEPENDENCYPART_ARC
(4,8),-0.766814 # DEPENDENCYPART_ARC
(4,9),-1.3298 # DEPENDENCYPART_ARC
(4,10),-1.18768 # DEPENDENCYPART_ARC
(4,11),-1.41803 # DEPENDENCYPART_ARC
(4,12),-1.47907 # DEPENDENCYPART_ARC
(4,13),-1.88822 # DEPENDENCYPART_ARC
(4,14),-1.29825 # DEPENDENCYPART_ARC
(4,15),-2.05299 # DEPENDENCYPART_ARC
(4,16),-1.79596 # DEPENDENCYPART_ARC
(4,17),-1.39032 # DEPENDENCYPART_ARC
(4,18),-0.809692 # DEPENDENCYPART_ARC
(4,19),-2.46395 # DEPENDENCYPART_ARC
(4,20),-1.51148 # DEPENDENCYPART_ARC
(4,21),-1.84697 # DEPENDENCYPART_ARC
(4,22),-2.00012 # DEPENDENCYPART_ARC
(4,23),-2.25634 # DEPENDENCYPART_ARC
(5,1),0.953248 # DEPENDENCYPART_ARC
(5,2),0.548538 # DEPENDENCYPART_ARC
(5,3),1.10626 # DEPENDENCYPART_ARC
(5,4),3.45463 # DEPENDENCYPART_ARC
(5,6),2.1295 # DEPENDENCYPART_ARC
(5,7),1.35171 # DEPENDENCYPART_ARC
(5,8),0.547494 # DEPENDENCYPART_ARC
(5,9),1.06604 # DEPENDENCYPART_ARC
(5,10),-0.649037 # DEPENDENCYPART_ARC
(5,11),-0.433867 # DEPENDENCYPART_ARC
(5,12),-0.0760911 # DEPENDENCYPART_ARC
(5,13),-0.358988 # DEPENDENCYPART_ARC
(5,14),0.495265 # DEPENDENCYPART_ARC
(5,15),0.231137 # DEPENDENCYPART_ARC
(5,16),-0.184259 # DEPENDENCYPART_ARC
(5,17),-1.13623 # DEPENDENCYPART_ARC
(5,18),-0.777991 # DEPENDENCYPART_ARC
(5,19),-2.549 # DEPENDENCYPART_ARC
(5,20),-1.65522 # DEPENDENCYPART_ARC
(5,21),-1.65002 # DEPENDENCYPART_ARC
(5,22),-1.59817 # DEPENDENCYPART_ARC
(5,23),-1.99546 # DEPENDENCYPART_ARC
(6,1),-1.28755 # DEPENDENCYPART_ARC
(6,2),-1.42672 # DEPENDENCYPART_ARC
(6,3),-1.00001 # DEPENDENCYPART_ARC
(6,4),-1.0744 # DEPENDENCYPART_ARC
(6,5),-0.422296 # DEPENDENCYPART_ARC
(6,7),3.21573 # DEPENDENCYPART_ARC
(6,8),0.66691 # DEPENDENCYPART_ARC
(6,9),0.133995 # DEPENDENCYPART_ARC
(6,10),-0.357092 # DEPENDENCYPART_ARC
(6,11),0.342619 # DEPENDENCYPART_ARC
(6,12),-0.91568 # DEPENDENCYPART_ARC
(6,13),-0.982889 # DEPENDENCYPART_ARC
(6,14),-0.206991 # DEPENDENCYPART_ARC
(6,15),-1.11948 # DEPENDENCYPART_ARC
(6,16),-1.04261 # DEPENDENCYPART_ARC
(6,17),-2.03227 # DEPENDENCYPART_ARC
(6,18),-1.07933 # DEPENDENCYPART_ARC
(6,19),-1.56253 # DEPENDENCYPART_ARC
(6,20),-1.21202 # DEPENDENCYPART_ARC
(6,21),-3.30214 # DEPENDENCYPART_ARC
(6,22),-1.0812 # DEPENDENCYPART_ARC
(6,23),-1.36803 # DEPENDENCYPART_ARC
(7,1),-1.23187 # DEPENDENCYPART_ARC
(7,2),-1.13593 # DEPENDENCYPART_ARC
(7,3),-0.96379 # DEPENDENCYPART_ARC
(7,4),-1.36357 # DEPENDENCYPART_ARC
(7,5),-1.79513 # DEPENDENCYPART_ARC
(7,6),0.549063 # DEPENDENCYPART_ARC
(7,8),2.11749 # DEPENDENCYPART_ARC
(7,9),0.056611 # DEPENDENCYPART_ARC
(7,10),-0.00997612 # DEPENDENCYPART_ARC
(7,11),-0.0337656 # DEPENDENCYPART_ARC
(7,12),0.0353485 # DEPENDENCYPART_ARC
(7,13),-0.983764 # DEPENDENCYPART_ARC
(7,14),-0.265432 # DEPENDENCYPART_ARC
(7,15),-0.935369 # DEPENDENCYPART_ARC
(7,16),-0.780214 # DEPENDENCYPART_ARC
(7,17),-0.279071 # DEPENDENCYPART_ARC
(7,18),-0.0445593 # DEPENDENCYPART_ARC
(7,19),-1.51137 # DEPENDENCYPART_ARC
(7,20),-0.872598 # DEPENDENCYPART_ARC
(7,21),-0.769801 # DEPENDENCYPART_ARC
(7,22),-1.05338 # DEPENDENCYPART_ARC
(7,23),-1.12658 # DEPENDENCYPART_ARC
(8,1),-1.85966 # DEPENDENCYPART_ARC
(8,2),-1.62336 # DEPENDENCYPART_ARC
(8,3),-1.66048 # DEPENDENCYPART_ARC
(8,4),-1.56015 # DEPENDENCYPART_ARC
(8,5),-1.79797 # DEPENDENCYPART_ARC
(8,6),-0.677066 # DEPENDENCYPART_ARC
(8,7),0.0299221 # DEPENDENCYPART_ARC
(8,9),-0.965021 # DEPENDENCYPART_ARC
(8,10),-1.19326 # DEPENDENCYPART_ARC
(8,11),-1.55612 # DEPENDENCYPART_ARC
(8,12),-1.48914 # DEPENDENCYPART_ARC
(8,13),-2.20072 # DEPENDENCYPART_ARC
(8,14),-0.813627 # DEPENDENCYPART_ARC
(8,15),-1.9382 # DEPENDENCYPART_ARC
(8,16),-2.39145 # DEPENDENCYPART_ARC
(8,17),-2.33745 # DEPENDENCYPART_ARC
(8,18),-2.44674 # DEPENDENCYPART_ARC
(8,19),-2.4665 # DEPENDENCYPART_ARC
(8,20),-2.15687 # DEPENDENCYPART_ARC
(8,21),-2.42878 # DEPENDENCYPART_ARC
(8,22),-1.37334 # DEPENDENCYPART_ARC
(8,23),-1.43252 # DEPENDENCYPART_ARC
(9,1),-1.1524 # DEPENDENCYPART_ARC
(9,2),-1.20843 # DEPENDENCYPART_ARC
(9,3),-1.08111 # DEPENDENCYPART_ARC
(9,4),-1.50606 # DEPENDENCYPART_ARC
(9,5),-1.93698 # DEPENDENCYPART_ARC
(9,6),-0.549844 # DEPENDENCYPART_ARC
(9,7),-0.663977 # DEPENDENCYPART_ARC
(9,8),0.163934 # DEPENDENCYPART_ARC
(9,10),1.27614 # DEPENDENCYPART_ARC
(9,11),3.02557 # DEPENDENCYPART_ARC
(9,12),-0.0374729 # DEPENDENCYPART_ARC
(9,13),-0.996942 # DEPENDENCYPART_ARC
(9,14),-0.730088 # DEPENDENCYPART_ARC
(9,15),-0.73256 # DEPENDENCYPART_ARC
(9,16),-1.20386 # DEPENDENCYPART_ARC
(9,17),-0.755606 # DEPENDENCYPART_ARC
(9,18),-0.982865 # DEPENDENCYPART_ARC
(9,19),-1.42093 # DEPENDENCYPART_ARC
(9,20),-1.18719 # DEPENDENCYPART_ARC
(9,21),-2.09051 # DEPENDENCYPART_ARC
(9,22),-1.42653 # DEPENDENCYPART_ARC
(9,23),-1.55215 # DEPENDENCYPART_ARC
(10,1),-2.06597 # DEPENDENCYPART_ARC
(10,2),-1.9744 # DEPENDENCYPART_ARC
(10,3),-1.89778 # DEPENDENCYPART_ARC
(10,4),-1.8765 # DEPENDENCYPART_ARC
(10,5),-3.04181 # DEPENDENCYPART_ARC
(10,6),-1.55327 # DEPENDENCYPART_ARC
(10,7),-1.24131 # DEPENDENCYPART_ARC
(10,8),-1.07584 # DEPENDENCYPART_ARC
(10,9),-0.146916 # DEPENDENCYPART_ARC
(10,11),1.47722 # DEPENDENCYPART_ARC
(10,12),0.820693 # DEPENDENCYPART_ARC
(10,13),-0.325484 # DEPENDENCYPART_ARC
(10,14),-0.120523 # DEPENDENCYPART_ARC
(10,15),-0.480881 # DEPENDENCYPART_ARC
(10,16),-0.488403 # DEPENDENCYPART_ARC
(10,17),-1.08203 # DEPENDENCYPART_ARC
(10,18),-1.46458 # DEPENDENCYPART_ARC
(10,19),-0.480316 # DEPENDENCYPART_ARC
(10,20),-0.144664 # DEPENDENCYPART_ARC
(10,21),-0.0763382 # DEPENDENCYPART_ARC
(10,22),-0.557436 # DEPENDENCYPART_ARC
(10,23),-0.553095 # DEPENDENCYPART_ARC
(11,1),-1.3427 # DEPENDENCYPART_ARC
(11,2),-1.18669 # DEPENDENCYPART_ARC
(11,3),-1.09758 # DEPENDENCYPART_ARC
(11,4),-1.0247 # DEPENDENCYPART_ARC
(11,5),-2.11785 # DEPENDENCYPART_ARC
(11,6),0.0370903 # DEPENDENCYPART_ARC
(11,7),-0.394682 # DEPENDENCYPART_ARC
(11,8),-1.57484 # DEPENDENCYPART_ARC
(11,9),0.730303 # DEPENDENCYPART_ARC
(11,10),3.27643 # DEPENDENCYPART_ARC
(11,12),2.10421 # DEPENDENCYPART_ARC
(11,13),-0.00402045 # DEPENDENCYPART_ARC
(11,14),0.133877 # DEPENDENCYPART_ARC
(11,15),-0.568167 # DEPENDENCYPART_ARC
(11,16),-0.354094 # DEPENDENCYPART_ARC
(11,17),-0.639559 # DEPENDENCYPART_ARC
(11,18),-0.912412 # DEPENDENCYPART_ARC
(11,19),-0.216324 # DEPENDENCYPART_ARC
(11,20),-0.13769 # DEPENDENCYPART_ARC
(11,21),-0.720228 # DEPENDENCYPART_ARC
(11,22),-1.41892 # DEPENDENCYPART_ARC
(11,23),-2.12234 # DEPENDENCYPART_ARC
(12,1),0.0366804 # DEPENDENCYPART_ARC
(12,2),0.136881 # DEPENDENCYPART_ARC
(12,3),0.887838 # DEPENDENCYPART_ARC
(12,4),0.996204 # DEPENDENCYPART_ARC
(12,5),0.290607 # DEPENDENCYPART_ARC
(12,6),1.15409 # DEPENDENCYPART_ARC
(12,7),0.502694 # DEPENDENCYPART_ARC
(12,8),-1.37602 # DEPENDENCYPART_ARC
(12,9),1.9732 # DEPENDENCYPART_ARC
(12,10),0.644722 # DEPENDENCYPART_ARC
(12,11),1.06786 # DEPENDENCYPART_ARC
(12,13),2.01041 # DEPENDENCYPART_ARC
(12,14),1.16098 # DEPENDENCYPART_ARC
(12,15),1.15356 # DEPENDENCYPART_ARC
(12,16),0.791304 # DEPENDENCYPART_ARC
(12,17),-0.249365 # DEPENDENCYPART_ARC
(12,18),-0.733728 # DEPENDENCYPART_ARC
(12,19),-0.543667 # DEPENDENCYPART_ARC
(12,20),-0.536685 # DEPENDENCYPART_ARC
(12,21),-0.36816 # DEPENDENCYPART_ARC
(12,22),-0.447857 # DEPENDENCYPART_ARC
(12,23),-0.865624 # DEPENDENCYPART_ARC
(13,1),-1.40562 # DEPENDENCYPART_ARC
(13,2),-1.24636 # DEPENDENCYPART_ARC
(13,3),-1.2012 # DEPENDENCYPART_ARC
(13,4),-1.62766 # DEPENDENCYPART_ARC
(13,5),-2.33303 # DEPENDENCYPART_ARC
(13,6),-0.95312 # DEPENDENCYPART_ARC
(13,7),-1.49101 # DEPENDENCYPART_ARC
(13,8),-1.46762 # DEPENDENCYPART_ARC
(13,9),-0.674753 # DEPENDENCYPART_ARC
(13,10),-0.679552 # DEPENDENCYPART_ARC
(13,11),-1.12785 # DEPENDENCYPART_ARC
(13,12),-0.180792 # DEPENDENCYPART_ARC
(13,14),2.46723 # DEPENDENCYPART_ARC
(13,15),0.234534 # DEPENDENCYPART_ARC
(13,16),-0.16722 # DEPENDENCYPART_ARC
(13,17),-0.347482 # DEPENDENCYPART_ARC
(13,18),-0.46768 # DEPENDENCYPART_ARC
(13,19),-0.561145 # DEPENDENCYPART_ARC
(13,20),-0.708077 # DEPENDENCYPART_ARC
(13,21),-0.769125 # DEPENDENCYPART_ARC
(13,22),-0.372629 # DEPENDENCYPART_ARC
(13,23),-0.679812 # DEPENDENCYPART_ARC
(14,1),-2.54501 # DEPENDENCYPART_ARC
(14,2),-2.23588 # DEPENDENCYPART_ARC
(14,3),-2.3203 # DEPENDENCYPART_ARC
(14,4),-2.3644 # DEPENDENCYPART_ARC
(14,5),-2.99094 # DEPENDENCYPART_ARC
(14,6),-2.09523 # DEPENDENCYPART_ARC
(14,7),-2.24154 # DEPENDENCYPART_ARC
(14,8),-2.25882 # DEPENDENCYPART_ARC
(14,9),-1.84617 # DEPENDENCYPART_ARC
(14,10),-1.91695 # DEPENDENCYPART_ARC
(14,11),-1.92663 # DEPENDENCYPART_ARC
(14,12),-1.64967 # DEPENDENCYPART_ARC
(14,13),-0.594362 # DEPENDENCYPART_ARC
(14,15),-0.699193 # DEPENDENCYPART_ARC
(14,16),-2.03381 # DEPENDENCYPART_ARC
(14,17),-1.9843 # DEPENDENCYPART_ARC
(14,18),-2.23155 # DEPENDENCYPART_ARC
(14,19),-2.31962 # DEPENDENCYPART_ARC
(14,20),-2.1162 # DEPENDENCYPART_ARC
(14,21),-2.42156 # DEPENDENCYPART_ARC
(14,22),-1.29646 # DEPENDENCYPART_ARC
(14,23),-1.30898 # DEPENDENCYPART_ARC
(15,1),-0.310201 # DEPENDENCYPART_ARC
(15,2),-0.0580213 # DEPENDENCYPART_ARC
(15,3),1.02932 # DEPENDENCYPART_ARC
(15,4),-0.0876658 # DEPENDENCYPART_ARC
(15,5),-2.60946 # DEPENDENCYPART_ARC
(15,6),0.156682 # DEPENDENCYPART_ARC
(15,7),-0.0407316 # DEPENDENCYPART_ARC
(15,8),-1.94597 # DEPENDENCYPART_ARC
(15,9),0.705996 # DEPENDENCYPART_ARC
(15,10),-0.713912 # DEPENDENCYPART_ARC
(15,11),-0.544449 # DEPENDENCYPART_ARC
(15,12),-1.5961 # DEPENDENCYPART_ARC
(15,13),0.811135 # DEPENDENCYPART_ARC
(15,14),0.175011 # DEPENDENCYPART_ARC
(15,16),3.26626 # DEPENDENCYPART_ARC
(15,17),2.40321 # DEPENDENCYPART_ARC
(15,18),1.30544 # DEPENDENCYPART_ARC
(15,19),0.148204 # DEPENDENCYPART_ARC
(15,20),-0.419591 # DEPENDENCYPART_ARC
(15,21),0.433585 # DEPENDENCYPART_ARC
(15,22),0.126326 # DEPENDENCYPART_ARC
(15,23),-0.10676 # DEPENDENCYPART_ARC
(16,1),-1.44295 # DEPENDENCYPART_ARC
(16,2),-1.42259 # DEPENDENCYPART_ARC
(16,3),-1.22898 # DEPENDENCYPART_ARC
(16,4),-2.00996 # DEPENDENCYPART_ARC
(16,5),-2.88865 # DEPENDENCYPART_ARC
(16,6),-1.43415 # DEPENDENCYPART_ARC
(16,7),-1.81624 # DEPENDENCYPART_ARC
(16,8),-1.75767 # DEPENDENCYPART_ARC
(16,9),-1.1982 # DEPENDENCYPART_ARC
(16,10),-0.870332 # DEPENDENCYPART_ARC
(16,11),-2.16339 # DEPENDENCYPART_ARC
(16,12),-2.5172 # DEPENDENCYPART_ARC
(16,13),-0.663724 # DEPENDENCYPART_ARC
(16,14),-0.724201 # DEPENDENCYPART_ARC
(16,15),-0.530117 # DEPENDENCYPART_ARC
(16,17),4.5878 # DEPENDENCYPART_ARC
(16,18),0.949306 # DEPENDENCYPART_ARC
(16,19),0.0905463 # DEPENDENCYPART_ARC
(16,20),-0.866581 # DEPENDENCYPART_ARC
(16,21),0.136503 # DEPENDENCYPART_ARC
(16,22),-0.102703 # DEPENDENCYPART_ARC
(16,23),-0.434348 # DEPENDENCYPART_ARC
(17,1),-2.61386 # DEPENDENCYPART_ARC
(17,2),-2.34706 # DEPENDENCYPART_ARC
(17,3),-2.25325 # DEPENDENCYPART_ARC
(17,4),-2.37299 # DEPENDENCYPART_ARC
(17,5),-3.40308 # DEPENDENCYPART_ARC
(17,6),-1.79572 # DEPENDENCYPART_ARC
(17,7),-2.12444 # DEPENDENCYPART_ARC
(17,8),-3.24936 # DEPENDENCYPART_ARC
(17,9),-1.77024 # DEPENDENCYPART_ARC
(17,10),-0.633311 # DEPENDENCYPART_ARC
(17,11),-2.7006 # DEPENDENCYPART_ARC
(17,12),-2.00523 # DEPENDENCYPART_ARC
(17,13),-1.26545 # DEPENDENCYPART_ARC
(17,14),-2.23705 # DEPENDENCYPART_ARC
(17,15),-1.53841 # DEPENDENCYPART_ARC
