# _root_ La coppia , residente a Milano anche_se di origini siciliane , stava trascorrendo un periodo di vacanza .
#goldHeads=2,13,2,2,4,5,4,4,8,9,10,13,0,15,13,15,16,17,
#predictedHeads=2,0,2,2,4,5,5,5,8,9,10,13,7,15,13,15,16,17,
(0,1),-0.57012 # DEPENDENCYPART_ARC
(0,2),-0.324005 # DEPENDENCYPART_ARC
(0,3),-0.402014 # DEPENDENCYPART_ARC
(0,4),-0.533626 # DEPENDENCYPART_ARC
(0,5),-1.0687 # DEPENDENCYPART_ARC
(0,6),0.406557 # DEPENDENCYPART_ARC
(0,7),-0.910552 # DEPENDENCYPART_ARC
(0,8),-1.44755 # DEPENDENCYPART_ARC
(0,9),-0.224631 # DEPENDENCYPART_ARC
(0,10),-0.821587 # DEPENDENCYPART_ARC
(0,11),-0.523205 # DEPENDENCYPART_ARC
(0,12),0.974631 # DEPENDENCYPART_ARC
(0,13),0.434131 # DEPENDENCYPART_ARC
(0,14),-1.4761 # DEPENDENCYPART_ARC
(0,15),-0.766598 # DEPENDENCYPART_ARC
(0,16),-2.18557 # DEPENDENCYPART_ARC
(0,17),-0.56206 # DEPENDENCYPART_ARC
(0,18),-1.26399 # DEPENDENCYPART_ARC
(1,2),0.872593 # DEPENDENCYPART_ARC
(1,3),-0.219671 # DEPENDENCYPART_ARC
(1,4),-1.33995 # DEPENDENCYPART_ARC
(1,5),-0.523898 # DEPENDENCYPART_ARC
(1,6),-0.557049 # DEPENDENCYPART_ARC
(1,7),-0.529952 # DEPENDENCYPART_ARC
(1,8),-0.724198 # DEPENDENCYPART_ARC
(1,9),-0.91299 # DEPENDENCYPART_ARC
(1,10),-1.72408 # DEPENDENCYPART_ARC
(1,11),-0.624189 # DEPENDENCYPART_ARC
(1,12),-0.919032 # DEPENDENCYPART_ARC
(1,13),-1.28679 # DEPENDENCYPART_ARC
(1,14),-2.1244 # DEPENDENCYPART_ARC
(1,15),-1.47428 # DEPENDENCYPART_ARC
(1,16),-1.40763 # DEPENDENCYPART_ARC
(1,17),-1.17034 # DEPENDENCYPART_ARC
(1,18),-1.31675 # DEPENDENCYPART_ARC
(2,1),3.78791 # DEPENDENCYPART_ARC
(2,3),2.19577 # DEPENDENCYPART_ARC
(2,4),2.15008 # DEPENDENCYPART_ARC
(2,5),1.16449 # DEPENDENCYPART_ARC
(2,6),0.975846 # DEPENDENCYPART_ARC
(2,7),0.393201 # DEPENDENCYPART_ARC
(2,8),0.0909736 # DEPENDENCYPART_ARC
(2,9),0.466418 # DEPENDENCYPART_ARC
(2,10),0.463108 # DEPENDENCYPART_ARC
(2,11),0.140716 # DEPENDENCYPART_ARC
(2,12),0.0672206 # DEPENDENCYPART_ARC
(2,13),-1.67096 # DEPENDENCYPART_ARC
(2,14),-0.831321 # DEPENDENCYPART_ARC
(2,15),-0.452406 # DEPENDENCYPART_ARC
(2,16),-0.815259 # DEPENDENCYPART_ARC
(2,17),-0.414952 # DEPENDENCYPART_ARC
