# _root_ Almeno 200 milioni di lire per gli appartamenti più piccoli , rifiniti in marmo , legno pregiato e forniti di cucine importate .
#goldHeads=3,3,0,3,4,3,8,6,10,8,10,8,12,13,14,14,16,14,14,19,20,21,22,
#predictedHeads=3,3,0,3,4,3,8,6,10,8,10,8,12,13,14,14,16,12,12,19,20,21,22,
(0,1),-0.625087 # DEPENDENCYPART_ARC
(0,2),-0.958015 # DEPENDENCYPART_ARC
(0,3),0.112099 # DEPENDENCYPART_ARC
(0,4),-1.28003 # DEPENDENCYPART_ARC
(0,5),-0.0969011 # DEPENDENCYPART_ARC
(0,6),-1.6978 # DEPENDENCYPART_ARC
(0,7),-1.20652 # DEPENDENCYPART_ARC
(0,8),0.0509685 # DEPENDENCYPART_ARC
(0,9),-1.19517 # DEPENDENCYPART_ARC
(0,10),-0.795992 # DEPENDENCYPART_ARC
(0,11),-0.693119 # DEPENDENCYPART_ARC
(0,12),0.410892 # DEPENDENCYPART_ARC
(0,13),-2.4683 # DEPENDENCYPART_ARC
(0,14),-0.21044 # DEPENDENCYPART_ARC
(0,15),-1.01285 # DEPENDENCYPART_ARC
(0,16),0.152357 # DEPENDENCYPART_ARC
(0,17),-0.844597 # DEPENDENCYPART_ARC
(0,18),-1.68964 # DEPENDENCYPART_ARC
(0,19),-0.610702 # DEPENDENCYPART_ARC
(0,20),-2.50299 # DEPENDENCYPART_ARC
(0,21),-0.961374 # DEPENDENCYPART_ARC
(0,22),-0.0639946 # DEPENDENCYPART_ARC
(0,23),-1.8081 # DEPENDENCYPART_ARC
(1,2),0.440955 # DEPENDENCYPART_ARC
(1,3),0.103522 # DEPENDENCYPART_ARC
(1,4),-0.287724 # DEPENDENCYPART_ARC
(1,5),-0.462099 # DEPENDENCYPART_ARC
(1,6),-0.761544 # DEPENDENCYPART_ARC
(1,7),-0.680889 # DEPENDENCYPART_ARC
(1,8),-1.01194 # DEPENDENCYPART_ARC
(1,9),-0.873428 # DEPENDENCYPART_ARC
(1,10),-1.0658 # DEPENDENCYPART_ARC
(1,11),-0.516018 # DEPENDENCYPART_ARC
(1,12),-1.09193 # DEPENDENCYPART_ARC
