# _root_ Non accadeva , in gare internazionali , da ben 15 anni .
#goldHeads=2,0,2,2,4,5,6,2,11,11,8,11,
#predictedHeads=2,0,2,2,4,5,6,5,11,11,8,11,
(0,1),-1.04634 # DEPENDENCYPART_ARC
(0,2),0.344571 # DEPENDENCYPART_ARC
(0,3),-0.681018 # DEPENDENCYPART_ARC
(0,4),-1.63057 # DEPENDENCYPART_ARC
(0,5),-0.693838 # DEPENDENCYPART_ARC
(0,6),-1.45333 # DEPENDENCYPART_ARC
(0,7),-0.65212 # DEPENDENCYPART_ARC
(0,8),-1.48543 # DEPENDENCYPART_ARC
(0,9),-1.56849 # DEPENDENCYPART_ARC
(0,10),-1.41753 # DEPENDENCYPART_ARC
(0,11),-0.900255 # DEPENDENCYPART_ARC
(0,12),-0.972472 # DEPENDENCYPART_ARC
(1,2),-0.214331 # DEPENDENCYPART_ARC
(1,3),-0.451013 # DEPENDENCYPART_ARC
(1,4),-1.42094 # DEPENDENCYPART_ARC
(1,5),-1.66356 # DEPENDENCYPART_ARC
(1,6),-1.71454 # DEPENDENCYPART_ARC
(1,7),-1.18659 # DEPENDENCYPART_ARC
(1,8),-1.87329 # DEPENDENCYPART_ARC
(1,9),-2.1743 # DEPENDENCYPART_ARC
(1,10),-2.0538 # DEPENDENCYPART_ARC
(1,11),-2.21879 # DEPENDENCYPART_ARC
(1,12),-2.02264 # DEPENDENCYPART_ARC
(2,1),3.39379 # DEPENDENCYPART_ARC
(2,3),2.28764 # DEPENDENCYPART_ARC
(2,4),1.21797 # DEPENDENCYPART_ARC
(2,5),0.980305 # DEPENDENCYPART_ARC
(2,6),0.505515 # DEPENDENCYPART_ARC
(2,7),0.560961 # DEPENDENCYPART_ARC
(2,8),0.0293386 # DEPENDENCYPART_ARC
(2,9),-0.462148 # DEPENDENCYPART_ARC
(2,10),-0.101839 # DEPENDENCYPART_ARC
(2,11),-0.0348421 # DEPENDENCYPART_ARC
(2,12),-0.630073 # DEPENDENCYPART_ARC
(3,7),-0.568785 # DEPENDENCYPART_ARC
(3,12),-0.792622 # DEPENDENCYPART_ARC
(4,1),-0.474709 # DEPENDENCYPART_ARC
(4,2),-1.37197 # DEPENDENCYPART_ARC
(4,3),0.0483758 # DEPENDENCYPART_ARC
(4,5),3.32545 # DEPENDENCYPART_ARC
(4,6),0.201445 # DEPENDENCYPART_ARC
(4,7),0.0879274 # DEPENDENCYPART_ARC
(4,8),-0.90658 # DEPENDENCYPART_ARC
(4,9),-1.39104 # DEPENDENCYPART_ARC
(4,10),-0.908341 # DEPENDENCYPART_ARC
