# _root_ Come_se la lontananza da quel giorno , la presenza sulla stessa pista di Mike Marsh e Yuji Nakamura , rammentasse solo un brutto sogno dell' umanità .
#goldHeads=20,3,1,3,6,4,6,9,3,9,12,10,9,13,14,14,14,17,18,0,24,24,24,20,24,25,26,
#predictedHeads=20,3,1,3,6,4,6,9,3,9,12,10,12,13,14,15,18,15,18,0,24,24,24,20,24,25,26,
(0,1),-0.86939 # DEPENDENCYPART_ARC
(0,2),-1.52368 # DEPENDENCYPART_ARC
(0,3),-0.291431 # DEPENDENCYPART_ARC
(0,4),-1.65052 # DEPENDENCYPART_ARC
(0,5),-1.15248 # DEPENDENCYPART_ARC
(0,6),-1.04014 # DEPENDENCYPART_ARC
(0,7),-0.575315 # DEPENDENCYPART_ARC
(0,8),-1.41733 # DEPENDENCYPART_ARC
(0,9),-0.656093 # DEPENDENCYPART_ARC
(0,10),-1.57978 # DEPENDENCYPART_ARC
(0,11),-0.521596 # DEPENDENCYPART_ARC
(0,12),-0.628814 # DEPENDENCYPART_ARC
(0,13),-2.03881 # DEPENDENCYPART_ARC
(0,14),-0.392704 # DEPENDENCYPART_ARC
(0,15),-0.533549 # DEPENDENCYPART_ARC
(0,16),-1.86646 # DEPENDENCYPART_ARC
(0,17),-0.464729 # DEPENDENCYPART_ARC
(0,18),-0.64933 # DEPENDENCYPART_ARC
(0,19),-1.03131 # DEPENDENCYPART_ARC
(0,20),-0.0405112 # DEPENDENCYPART_ARC
(0,21),-0.720122 # DEPENDENCYPART_ARC
(0,22),-1.8665 # DEPENDENCYPART_ARC
(0,23),-0.642908 # DEPENDENCYPART_ARC
(0,24),-1.09381 # DEPENDENCYPART_ARC
(0,25),-2.94255 # DEPENDENCYPART_ARC
(0,26),-1.09828 # DEPENDENCYPART_ARC
(0,27),-1.93486 # DEPENDENCYPART_ARC
(1,2),0.266225 # DEPENDENCYPART_ARC
(1,3),0.277742 # DEPENDENCYPART_ARC
(1,4),-0.417654 # DEPENDENCYPART_ARC
(1,5),-0.301821 # DEPENDENCYPART_ARC
(1,6),-0.411855 # DEPENDENCYPART_ARC
(1,7),0.230162 # DEPENDENCYPART_ARC
(1,8),-0.818719 # DEPENDENCYPART_ARC
(1,9),-0.582465 # DEPENDENCYPART_ARC
(1,10),-0.910898 # DEPENDENCYPART_ARC
(1,11),-0.656235 # DEPENDENCYPART_ARC
(1,12),-0.745227 # DEPENDENCYPART_ARC
(1,13),-1.09191 # DEPENDENCYPART_ARC
(1,14),-0.778569 # DEPENDENCYPART_ARC
(1,15),-0.753154 # DEPENDENCYPART_ARC
(1,16),-0.575513 # DEPENDENCYPART_ARC
(1,17),-0.848017 # DEPENDENCYPART_ARC
(1,18),-0.764901 # DEPENDENCYPART_ARC
(1,19),-0.596367 # DEPENDENCYPART_ARC
(1,20),-0.66571 # DEPENDENCYPART_ARC
(1,21),-1.46348 # DEPENDENCYPART_ARC
(1,22),-1.36899 # DEPENDENCYPART_ARC
(1,23),-1.22604 # DEPENDENCYPART_ARC
(1,24),-1.25388 # DEPENDENCYPART_ARC
(1,25),-1.74487 # DEPENDENCYPART_ARC
(1,26),-1.28978 # DEPENDENCYPART_ARC
(1,27),-1.95654 # DEPENDENCYPART_ARC
(2,1),-1.08845 # DEPENDENCYPART_ARC
(2,3),1.26369 # DEPENDENCYPART_ARC
(2,4),0.0851668 # DEPENDENCYPART_ARC
(2,5),-0.737969 # DEPENDENCYPART_ARC
(2,6),-0.648145 # DEPENDENCYPART_ARC
(2,7),-0.421551 # DEPENDENCYPART_ARC
(2,8),-1.07344 # DEPENDENCYPART_ARC
(2,9),-0.498233 # DEPENDENCYPART_ARC
(2,10),-0.40076 # DEPENDENCYPART_ARC
(2,11),-1.42307 # DEPENDENCYPART_ARC
(2,12),-0.626992 # DEPENDENCYPART_ARC
