# _root_ Si preferisce disporre i mobili lungo le pareti e , scoperto il valore degli angoli , ci si ingegna a trovare il modo di riempir- li utilmente .
#goldHeads=2,0,2,5,3,3,8,6,2,9,19,13,11,13,14,15,19,19,2,19,20,23,21,23,24,25,25,27,
#predictedHeads=2,3,0,5,3,3,8,6,3,9,5,13,11,13,14,15,19,19,13,19,20,23,21,23,24,25,25,27,
(0,1),-1.29593 # DEPENDENCYPART_ARC
(0,2),0.134537 # DEPENDENCYPART_ARC
(0,3),0.167453 # DEPENDENCYPART_ARC
(0,5),-0.930803 # DEPENDENCYPART_ARC
(0,6),-2.57438 # DEPENDENCYPART_ARC
(0,8),-1.05825 # DEPENDENCYPART_ARC
(0,9),-1.29511 # DEPENDENCYPART_ARC
(0,10),-1.1853 # DEPENDENCYPART_ARC
(0,11),-0.390429 # DEPENDENCYPART_ARC
(0,13),-1.60166 # DEPENDENCYPART_ARC
(0,14),-2.82712 # DEPENDENCYPART_ARC
(0,15),-1.66068 # DEPENDENCYPART_ARC
(0,16),-1.38296 # DEPENDENCYPART_ARC
(0,17),-2.37263 # DEPENDENCYPART_ARC
(0,18),-2.58655 # DEPENDENCYPART_ARC
(0,19),-0.454885 # DEPENDENCYPART_ARC
(0,20),-3.21055 # DEPENDENCYPART_ARC
(0,21),-1.41657 # DEPENDENCYPART_ARC
(0,23),-1.61379 # DEPENDENCYPART_ARC
(0,24),-4.1947 # DEPENDENCYPART_ARC
(0,25),-1.71983 # DEPENDENCYPART_ARC
(0,26),-2.49027 # DEPENDENCYPART_ARC
(0,27),-2.35029 # DEPENDENCYPART_ARC
(0,28),-2.33949 # DEPENDENCYPART_ARC
(1,2),-1.05523 # DEPENDENCYPART_ARC
(1,3),-1.26867 # DEPENDENCYPART_ARC
(1,5),-1.51264 # DEPENDENCYPART_ARC
(1,6),-2.08795 # DEPENDENCYPART_ARC
(1,8),-2.05743 # DEPENDENCYPART_ARC
(1,9),-1.20618 # DEPENDENCYPART_ARC
(1,10),-1.27091 # DEPENDENCYPART_ARC
(1,11),-3.36106 # DEPENDENCYPART_ARC
(1,13),-2.42287 # DEPENDENCYPART_ARC
(1,14),-3.55267 # DEPENDENCYPART_ARC
(1,15),-1.8431 # DEPENDENCYPART_ARC
(1,16),-1.57834 # DEPENDENCYPART_ARC
(1,17),-1.46817 # DEPENDENCYPART_ARC
(1,18),-3.0207 # DEPENDENCYPART_ARC
(1,19),-4.24659 # DEPENDENCYPART_ARC
(1,20),-3.84611 # DEPENDENCYPART_ARC
(1,21),-3.37904 # DEPENDENCYPART_ARC
(1,23),-2.89113 # DEPENDENCYPART_ARC
(1,24),-3.81404 # DEPENDENCYPART_ARC
(1,25),-4.01888 # DEPENDENCYPART_ARC
(1,26),-1.98937 # DEPENDENCYPART_ARC
(1,27),-3.00192 # DEPENDENCYPART_ARC
(1,28),-3.0414 # DEPENDENCYPART_ARC
(2,1),2.95863 # DEPENDENCYPART_ARC
(2,3),2.0654 # DEPENDENCYPART_ARC
(2,4),-1.06845 # DEPENDENCYPART_ARC
(2,5),0.673369 # DEPENDENCYPART_ARC
(2,6),0.496416 # DEPENDENCYPART_ARC
(2,7),-1.66245 # DEPENDENCYPART_ARC
(2,8),-0.0761927 # DEPENDENCYPART_ARC
(2,9),0.684436 # DEPENDENCYPART_ARC
(2,10),0.524099 # DEPENDENCYPART_ARC
(2,11),-0.672739 # DEPENDENCYPART_ARC
(2,12),-2.40106 # DEPENDENCYPART_ARC
(2,13),-1.0973 # DEPENDENCYPART_ARC
(2,14),-1.81184 # DEPENDENCYPART_ARC
(2,15),-1.95535 # DEPENDENCYPART_ARC
(2,16),0.266235 # DEPENDENCYPART_ARC
(2,17),-2.23317 # DEPENDENCYPART_ARC
(2,18),-1.98034 # DEPENDENCYPART_ARC
(2,19),-0.33424 # DEPENDENCYPART_ARC
(2,20),-0.483665 # DEPENDENCYPART_ARC
(2,21),-0.711851 # DEPENDENCYPART_ARC
(2,22),-2.65328 # DEPENDENCYPART_ARC
(2,23),-2.61415 # DEPENDENCYPART_ARC
(2,24),-2.37727 # DEPENDENCYPART_ARC
(2,25),-0.83023 # DEPENDENCYPART_ARC
(2,26),-2.26226 # DEPENDENCYPART_ARC
(2,27),-1.49819 # DEPENDENCYPART_ARC
(2,28),-3.52875 # DEPENDENCYPART_ARC
(3,1),1.69305 # DEPENDENCYPART_ARC
(3,2),2.54592 # DEPENDENCYPART_ARC
(3,4),1.00906 # DEPENDENCYPART_ARC
(3,5),3.2415 # DEPENDENCYPART_ARC
(3,6),1.72741 # DEPENDENCYPART_ARC
(3,7),-0.215391 # DEPENDENCYPART_ARC
(3,8),1.77225 # DEPENDENCYPART_ARC
(3,9),1.38616 # DEPENDENCYPART_ARC
(3,10),0.958844 # DEPENDENCYPART_ARC
(3,11),0.427041 # DEPENDENCYPART_ARC
(3,12),-1.0514 # DEPENDENCYPART_ARC
(3,13),-0.159556 # DEPENDENCYPART_ARC
(3,14),-0.629271 # DEPENDENCYPART_ARC
(3,15),-0.917195 # DEPENDENCYPART_ARC
(3,16),0.586638 # DEPENDENCYPART_ARC
(3,17),-1.02477 # DEPENDENCYPART_ARC
(3,18),-0.58719 # DEPENDENCYPART_ARC
(3,19),-0.174309 # DEPENDENCYPART_ARC
(3,20),0.175118 # DEPENDENCYPART_ARC
(3,21),0.328117 # DEPENDENCYPART_ARC
(3,22),-1.43336 # DEPENDENCYPART_ARC
(3,23),-1.4529 # DEPENDENCYPART_ARC
(3,24),-1.88484 # DEPENDENCYPART_ARC
(3,25),-0.41985 # DEPENDENCYPART_ARC
(3,26),-1.00047 # DEPENDENCYPART_ARC
(3,27),-0.9728 # DEPENDENCYPART_ARC
(3,28),-2.95298 # DEPENDENCYPART_ARC
(4,2),-2.73142 # DEPENDENCYPART_ARC
(4,3),-0.744148 # DEPENDENCYPART_ARC
(4,5),0.933827 # DEPENDENCYPART_ARC
(4,6),-0.256363 # DEPENDENCYPART_ARC
(4,8),-0.756601 # DEPENDENCYPART_ARC
(4,10),-0.75363 # DEPENDENCYPART_ARC
(4,11),-1.36756 # DEPENDENCYPART_ARC
(4,13),-1.66618 # DEPENDENCYPART_ARC
(4,14),-1.19543 # DEPENDENCYPART_ARC
(4,15),-1.37027 # DEPENDENCYPART_ARC
(4,16),-1.39319 # DEPENDENCYPART_ARC
(4,19),-1.88449 # DEPENDENCYPART_ARC
(4,20),-1.59425 # DEPENDENCYPART_ARC
(4,21),-1.70326 # DEPENDENCYPART_ARC
(4,23),-2.22326 # DEPENDENCYPART_ARC
(4,24),-1.59504 # DEPENDENCYPART_ARC
(4,25),-2.03254 # DEPENDENCYPART_ARC
(4,28),-2.10062 # DEPENDENCYPART_ARC
(5,1),-1.28567 # DEPENDENCYPART_ARC
(5,2),-2.51922 # DEPENDENCYPART_ARC
(5,3),-1.14323 # DEPENDENCYPART_ARC
(5,4),3.8826 # DEPENDENCYPART_ARC
(5,6),1.6966 # DEPENDENCYPART_ARC
(5,7),0.439097 # DEPENDENCYPART_ARC
(5,8),1.0657 # DEPENDENCYPART_ARC
(5,9),0.405733 # DEPENDENCYPART_ARC
(5,10),-0.0451987 # DEPENDENCYPART_ARC
(5,11),0.430718 # DEPENDENCYPART_ARC
(5,12),-0.858233 # DEPENDENCYPART_ARC
(5,13),-0.170358 # DEPENDENCYPART_ARC
(5,14),-0.143249 # DEPENDENCYPART_ARC
(5,15),0.0715758 # DEPENDENCYPART_ARC
(5,16),-0.325425 # DEPENDENCYPART_ARC
