# _root_ Due giovani hanno ferito a coltellate , per fortuna in maniera non grave , un anziano barbone .
#goldHeads=2,4,4,0,4,5,6,10,8,4,10,13,11,13,17,17,4,17,
#predictedHeads=2,4,4,0,4,5,6,4,8,9,10,13,11,13,17,17,13,17,
(0,1),-0.00941015 # DEPENDENCYPART_ARC
(0,2),-0.380257 # DEPENDENCYPART_ARC
(0,3),1.03168 # DEPENDENCYPART_ARC
(0,4),0.966866 # DEPENDENCYPART_ARC
(0,5),-1.48083 # DEPENDENCYPART_ARC
(0,6),-0.242944 # DEPENDENCYPART_ARC
(0,7),-0.546074 # DEPENDENCYPART_ARC
(0,8),-1.35449 # DEPENDENCYPART_ARC
(0,9),-0.17122 # DEPENDENCYPART_ARC
(0,10),-2.08697 # DEPENDENCYPART_ARC
(0,11),-0.259403 # DEPENDENCYPART_ARC
(0,12),-1.44196 # DEPENDENCYPART_ARC
(0,13),-1.04824 # DEPENDENCYPART_ARC
(0,14),-0.681507 # DEPENDENCYPART_ARC
(0,16),-1.08329 # DEPENDENCYPART_ARC
(0,17),-0.365211 # DEPENDENCYPART_ARC
(0,18),-1.1077 # DEPENDENCYPART_ARC
(1,2),0.687373 # DEPENDENCYPART_ARC
(1,3),-0.336032 # DEPENDENCYPART_ARC
(1,4),-0.815032 # DEPENDENCYPART_ARC
(1,5),-0.91559 # DEPENDENCYPART_ARC
(1,6),-1.01389 # DEPENDENCYPART_ARC
(1,7),-0.781295 # DEPENDENCYPART_ARC
(1,8),-1.34369 # DEPENDENCYPART_ARC
(1,9),-1.26374 # DEPENDENCYPART_ARC
(1,10),-1.31226 # DEPENDENCYPART_ARC
(1,11),-1.26275 # DEPENDENCYPART_ARC
(1,12),-1.1912 # DEPENDENCYPART_ARC
(1,13),-1.46555 # DEPENDENCYPART_ARC
(1,14),-1.40213 # DEPENDENCYPART_ARC
(1,15),-1.29377 # DEPENDENCYPART_ARC
(1,16),-1.67554 # DEPENDENCYPART_ARC
(1,17),-1.44187 # DEPENDENCYPART_ARC
(1,18),-1.65928 # DEPENDENCYPART_ARC
(2,1),2.97394 # DEPENDENCYPART_ARC
(2,3),0.93881 # DEPENDENCYPART_ARC
(2,4),0.15108 # DEPENDENCYPART_ARC
(2,5),0.23788 # DEPENDENCYPART_ARC
(2,6),0.501962 # DEPENDENCYPART_ARC
(2,7),0.229823 # DEPENDENCYPART_ARC
(2,8),0.10106 # DEPENDENCYPART_ARC
(2,9),-0.0335772 # DEPENDENCYPART_ARC
(2,10),-0.139218 # DEPENDENCYPART_ARC
(2,11),-0.196606 # DEPENDENCYPART_ARC
(2,12),-1.20124 # DEPENDENCYPART_ARC
(2,13),-1.57233 # DEPENDENCYPART_ARC
(2,14),-0.298667 # DEPENDENCYPART_ARC
(2,15),-0.810317 # DEPENDENCYPART_ARC
(2,16),-2.16726 # DEPENDENCYPART_ARC
(2,17),-0.825787 # DEPENDENCYPART_ARC
(2,18),-2.27693 # DEPENDENCYPART_ARC
(3,1),-0.543872 # DEPENDENCYPART_ARC
(3,2),0.0677778 # DEPENDENCYPART_ARC
(3,4),0.513885 # DEPENDENCYPART_ARC
(3,5),0.29998 # DEPENDENCYPART_ARC
(3,6),0.134224 # DEPENDENCYPART_ARC
(3,7),-0.157323 # DEPENDENCYPART_ARC
(3,8),-0.848012 # DEPENDENCYPART_ARC
(3,9),-1.55592 # DEPENDENCYPART_ARC
(3,10),-0.904759 # DEPENDENCYPART_ARC
(3,11),-1.79461 # DEPENDENCYPART_ARC
(3,12),-1.96255 # DEPENDENCYPART_ARC
(3,13),-2.10245 # DEPENDENCYPART_ARC
(3,14),-0.519939 # DEPENDENCYPART_ARC
(3,15),-2.95286 # DEPENDENCYPART_ARC
(3,16),-2.58614 # DEPENDENCYPART_ARC
(3,17),-2.09408 # DEPENDENCYPART_ARC
(3,18),-2.41739 # DEPENDENCYPART_ARC
(4,1),0.475532 # DEPENDENCYPART_ARC
(4,2),1.68818 # DEPENDENCYPART_ARC
(4,3),4.34398 # DEPENDENCYPART_ARC
(4,5),3.11269 # DEPENDENCYPART_ARC
(4,6),1.97589 # DEPENDENCYPART_ARC
(4,7),0.893846 # DEPENDENCYPART_ARC
(4,8),1.35108 # DEPENDENCYPART_ARC
(4,9),0.296285 # DEPENDENCYPART_ARC
(4,10),1.1354 # DEPENDENCYPART_ARC
(4,11),-0.162358 # DEPENDENCYPART_ARC
(4,12),-0.378402 # DEPENDENCYPART_ARC
(4,13),-0.333689 # DEPENDENCYPART_ARC
(4,14),0.779546 # DEPENDENCYPART_ARC
(4,15),-1.83678 # DEPENDENCYPART_ARC
(4,16),-1.16447 # DEPENDENCYPART_ARC
(4,17),-0.512079 # DEPENDENCYPART_ARC
(4,18),-1.2235 # DEPENDENCYPART_ARC
(5,1),-1.56591 # DEPENDENCYPART_ARC
