# _root_ Lo volle Carlo III di Borbone per la sua Reggia di Caserta e noi , turisti casuali capitati in un giorno qualsiasi , lo ritroviamo intatto e immenso qual era : con i prati rasati di fresco e le peschiere ben pulite .
#goldHeads=2,0,2,3,3,5,2,10,10,7,10,11,2,25,14,14,16,16,18,21,19,21,22,25,2,25,26,26,30,25,30,25,34,32,34,35,36,37,40,37,42,40,42,
#predictedHeads=2,0,4,2,4,5,2,10,10,7,10,11,10,4,14,14,16,16,18,21,19,21,22,25,18,25,26,26,30,25,30,30,34,32,34,35,36,35,40,35,42,40,42,
(0,1),-0.982793 # DEPENDENCYPART_ARC
(0,2),0.740358 # DEPENDENCYPART_ARC
(0,3),-0.330828 # DEPENDENCYPART_ARC
(0,4),-0.366808 # DEPENDENCYPART_ARC
(0,5),-2.11584 # DEPENDENCYPART_ARC
(0,6),-0.386371 # DEPENDENCYPART_ARC
(0,7),-2.41904 # DEPENDENCYPART_ARC
(0,10),-0.196977 # DEPENDENCYPART_ARC
(0,11),-2.50196 # DEPENDENCYPART_ARC
(0,12),-0.562043 # DEPENDENCYPART_ARC
(0,13),-1.35139 # DEPENDENCYPART_ARC
(0,14),-1.73398 # DEPENDENCYPART_ARC
(0,15),-1.09499 # DEPENDENCYPART_ARC
(0,16),-0.252676 # DEPENDENCYPART_ARC
(0,17),-1.53107 # DEPENDENCYPART_ARC
(0,18),-0.403998 # DEPENDENCYPART_ARC
(0,19),-3.64385 # DEPENDENCYPART_ARC
(0,21),-1.4231 # DEPENDENCYPART_ARC
(0,23),-1.34623 # DEPENDENCYPART_ARC
(0,24),-2.26224 # DEPENDENCYPART_ARC
(0,25),-0.322568 # DEPENDENCYPART_ARC
(0,26),-1.35235 # DEPENDENCYPART_ARC
(0,27),-1.70144 # DEPENDENCYPART_ARC
(0,28),-1.51029 # DEPENDENCYPART_ARC
(0,30),-0.349781 # DEPENDENCYPART_ARC
(0,31),-2.12881 # DEPENDENCYPART_ARC
(0,32),-4.44882 # DEPENDENCYPART_ARC
(0,34),-2.496 # DEPENDENCYPART_ARC
(0,35),-1.3671 # DEPENDENCYPART_ARC
(0,36),-4.70495 # DEPENDENCYPART_ARC
(0,37),-1.78175 # DEPENDENCYPART_ARC
(0,38),-2.0661 # DEPENDENCYPART_ARC
(0,40),-2.73943 # DEPENDENCYPART_ARC
(0,41),-2.97977 # DEPENDENCYPART_ARC
(0,42),-2.09152 # DEPENDENCYPART_ARC
(0,43),-2.93254 # DEPENDENCYPART_ARC
(1,2),0.539943 # DEPENDENCYPART_ARC
(1,5),-0.945517 # DEPENDENCYPART_ARC
(1,7),-1.70107 # DEPENDENCYPART_ARC
(1,8),-1.92497 # DEPENDENCYPART_ARC
(1,10),-1.37181 # DEPENDENCYPART_ARC
(1,11),-1.61206 # DEPENDENCYPART_ARC
(1,13),-0.755363 # DEPENDENCYPART_ARC
(1,15),-0.682204 # DEPENDENCYPART_ARC
(1,16),-1.41709 # DEPENDENCYPART_ARC
(1,17),-2.20931 # DEPENDENCYPART_ARC
(1,18),-1.86219 # DEPENDENCYPART_ARC
(1,19),-2.93092 # DEPENDENCYPART_ARC
(1,21),-1.50199 # DEPENDENCYPART_ARC
(1,22),-1.97923 # DEPENDENCYPART_ARC
(1,23),-1.28272 # DEPENDENCYPART_ARC
(1,24),-1.23202 # DEPENDENCYPART_ARC
(1,25),-3.55058 # DEPENDENCYPART_ARC
(1,26),-1.76564 # DEPENDENCYPART_ARC
(1,27),-1.45734 # DEPENDENCYPART_ARC
(1,28),-1.83201 # DEPENDENCYPART_ARC
(1,29),-1.60346 # DEPENDENCYPART_ARC
(1,30),-3.21747 # DEPENDENCYPART_ARC
(1,31),-2.54702 # DEPENDENCYPART_ARC
(1,32),-3.81916 # DEPENDENCYPART_ARC
(1,33),-2.67687 # DEPENDENCYPART_ARC
(1,34),-2.50023 # DEPENDENCYPART_ARC
(1,35),-3.55599 # DEPENDENCYPART_ARC
(1,36),-3.88528 # DEPENDENCYPART_ARC
(1,37),-2.30131 # DEPENDENCYPART_ARC
(1,38),-2.1317 # DEPENDENCYPART_ARC
(1,39),-3.13437 # DEPENDENCYPART_ARC
(1,40),-2.88181 # DEPENDENCYPART_ARC
(1,41),-2.92496 # DEPENDENCYPART_ARC
(1,42),-4.79538 # DEPENDENCYPART_ARC
(1,43),-3.42719 # DEPENDENCYPART_ARC
(2,1),3.29941 # DEPENDENCYPART_ARC
(2,3),2.23883 # DEPENDENCYPART_ARC
(2,4),1.7177 # DEPENDENCYPART_ARC
(2,5),-0.077769 # DEPENDENCYPART_ARC
(2,6),0.0915844 # DEPENDENCYPART_ARC
(2,7),0.933967 # DEPENDENCYPART_ARC
(2,8),-2.25731 # DEPENDENCYPART_ARC
(2,9),-1.33454 # DEPENDENCYPART_ARC
(2,10),-0.414633 # DEPENDENCYPART_ARC
(2,11),-1.2807 # DEPENDENCYPART_ARC
(2,12),-1.03473 # DEPENDENCYPART_ARC
