# _root_ Sapeva essere umile , imparare , ascoltare .
#goldHeads=0,1,2,2,2,2,2,7,
#predictedHeads=2,0,2,3,2,5,5,7,
(0,1),0.69744 # DEPENDENCYPART_ARC
(0,2),0.900543 # DEPENDENCYPART_ARC
(0,3),-0.800001 # DEPENDENCYPART_ARC
(0,4),-1.00096 # DEPENDENCYPART_ARC
(0,5),-0.295614 # DEPENDENCYPART_ARC
(0,6),-0.796625 # DEPENDENCYPART_ARC
(0,7),0.114069 # DEPENDENCYPART_ARC
(0,8),-1.03597 # DEPENDENCYPART_ARC
(1,2),1.94409 # DEPENDENCYPART_ARC
(1,3),1.45821 # DEPENDENCYPART_ARC
(1,4),1.08337 # DEPENDENCYPART_ARC
(1,5),0.785729 # DEPENDENCYPART_ARC
(1,6),0.826536 # DEPENDENCYPART_ARC
(1,7),0.63314 # DEPENDENCYPART_ARC
(1,8),-0.37835 # DEPENDENCYPART_ARC
(2,1),1.92736 # DEPENDENCYPART_ARC
(2,3),2.65701 # DEPENDENCYPART_ARC
(2,4),1.43556 # DEPENDENCYPART_ARC
(2,5),1.64318 # DEPENDENCYPART_ARC
(2,6),1.35201 # DEPENDENCYPART_ARC
(2,7),1.24061 # DEPENDENCYPART_ARC
(2,8),0.287405 # DEPENDENCYPART_ARC
(3,1),-0.516705 # DEPENDENCYPART_ARC
(3,2),1.16686 # DEPENDENCYPART_ARC
(3,4),2.40619 # DEPENDENCYPART_ARC
(3,5),-0.240623 # DEPENDENCYPART_ARC
(3,6),0.722052 # DEPENDENCYPART_ARC
(3,7),-0.973098 # DEPENDENCYPART_ARC
(3,8),-0.0329695 # DEPENDENCYPART_ARC
(4,1),-2.17923 # DEPENDENCYPART_ARC
(4,2),-1.51473 # DEPENDENCYPART_ARC
(4,3),-0.500245 # DEPENDENCYPART_ARC
(4,5),-0.644664 # DEPENDENCYPART_ARC
(4,6),-0.666649 # DEPENDENCYPART_ARC
(4,7),-1.79483 # DEPENDENCYPART_ARC
(4,8),-1.2048 # DEPENDENCYPART_ARC
(5,1),-1.02533 # DEPENDENCYPART_ARC
(5,2),0.147995 # DEPENDENCYPART_ARC
(5,3),0.186784 # DEPENDENCYPART_ARC
(5,4),0.205257 # DEPENDENCYPART_ARC
(5,6),2.18828 # DEPENDENCYPART_ARC
(5,7),1.88367 # DEPENDENCYPART_ARC
(5,8),0.852319 # DEPENDENCYPART_ARC
(6,1),-2.87665 # DEPENDENCYPART_ARC
(6,2),-2.79823 # DEPENDENCYPART_ARC
(6,3),-2.02138 # DEPENDENCYPART_ARC
(6,4),-1.41844 # DEPENDENCYPART_ARC
(6,5),-0.923403 # DEPENDENCYPART_ARC
(6,7),-0.859066 # DEPENDENCYPART_ARC
(6,8),-1.01023 # DEPENDENCYPART_ARC
(7,1),-0.866852 # DEPENDENCYPART_ARC
(7,2),-0.608052 # DEPENDENCYPART_ARC
(7,3),-0.241856 # DEPENDENCYPART_ARC
(7,4),-1.14899 # DEPENDENCYPART_ARC
(7,5),1.49281 # DEPENDENCYPART_ARC
(7,6),0.5892 # DEPENDENCYPART_ARC
(7,8),2.43099 # DEPENDENCYPART_ARC
(8,1),-2.92171 # DEPENDENCYPART_ARC
(8,2),-2.85421 # DEPENDENCYPART_ARC
(8,3),-2.33303 # DEPENDENCYPART_ARC
(8,4),-1.98993 # DEPENDENCYPART_ARC
(8,5),-2.38172 # DEPENDENCYPART_ARC
(8,6),-1.29209 # DEPENDENCYPART_ARC
(8,7),-0.800042 # DEPENDENCYPART_ARC
