# _root_ " Purtroppo , il programma universitario di Mayo è caro : ogni studente ci costa 30 mila dollari l' anno " , spiega Eugene Mayberry .
#goldHeads=2,9,2,5,9,5,5,7,0,9,10,13,15,15,23,18,16,15,20,15,20,21,0,25,23,25,
#predictedHeads=2,9,2,5,9,5,5,7,0,9,10,13,15,15,9,18,16,15,20,15,20,21,0,25,23,25,
(0,1),-0.480655 # DEPENDENCYPART_ARC
(0,2),-1.53435 # DEPENDENCYPART_ARC
(0,3),-0.651737 # DEPENDENCYPART_ARC
(0,5),-0.771547 # DEPENDENCYPART_ARC
(0,6),-1.08461 # DEPENDENCYPART_ARC
(0,7),-1.52229 # DEPENDENCYPART_ARC
(0,8),-0.741938 # DEPENDENCYPART_ARC
(0,9),0.976728 # DEPENDENCYPART_ARC
(0,10),-1.63631 # DEPENDENCYPART_ARC
(0,11),-1.06692 # DEPENDENCYPART_ARC
(0,13),-1.18893 # DEPENDENCYPART_ARC
(0,14),-1.72337 # DEPENDENCYPART_ARC
(0,15),-0.63144 # DEPENDENCYPART_ARC
(0,16),-1.88379 # DEPENDENCYPART_ARC
(0,17),-2.02213 # DEPENDENCYPART_ARC
(0,18),-1.03847 # DEPENDENCYPART_ARC
(0,20),-1.93417 # DEPENDENCYPART_ARC
(0,21),-1.78422 # DEPENDENCYPART_ARC
(0,22),-1.44602 # DEPENDENCYPART_ARC
(0,23),2.91808 # DEPENDENCYPART_ARC
(0,24),-1.29488 # DEPENDENCYPART_ARC
(0,25),-1.50513 # DEPENDENCYPART_ARC
(0,26),-1.95966 # DEPENDENCYPART_ARC
(1,3),0.781672 # DEPENDENCYPART_ARC
(1,4),-0.386812 # DEPENDENCYPART_ARC
(1,11),-0.569577 # DEPENDENCYPART_ARC
(1,19),-1.18349 # DEPENDENCYPART_ARC
(1,21),-1.81089 # DEPENDENCYPART_ARC
(1,22),-1.59731 # DEPENDENCYPART_ARC
(1,26),-1.98822 # DEPENDENCYPART_ARC
(2,1),1.9548 # DEPENDENCYPART_ARC
(2,3),2.6526 # DEPENDENCYPART_ARC
(2,4),0.295036 # DEPENDENCYPART_ARC
(2,5),-0.0840566 # DEPENDENCYPART_ARC
(2,6),0.0412526 # DEPENDENCYPART_ARC
(2,7),-0.055435 # DEPENDENCYPART_ARC
(2,8),-0.438799 # DEPENDENCYPART_ARC
(2,9),-0.267533 # DEPENDENCYPART_ARC
(2,10),-0.635999 # DEPENDENCYPART_ARC
(2,11),-0.29828 # DEPENDENCYPART_ARC
(2,12),-0.511626 # DEPENDENCYPART_ARC
(2,13),-1.03784 # DEPENDENCYPART_ARC
(2,14),-0.901004 # DEPENDENCYPART_ARC
(2,15),-0.800876 # DEPENDENCYPART_ARC
(2,16),-0.80252 # DEPENDENCYPART_ARC
(2,17),-0.942896 # DEPENDENCYPART_ARC
(2,18),-1.28426 # DEPENDENCYPART_ARC
(2,19),-0.703877 # DEPENDENCYPART_ARC
(2,20),-1.59388 # DEPENDENCYPART_ARC
(2,21),-1.2813 # DEPENDENCYPART_ARC
(2,22),-0.771496 # DEPENDENCYPART_ARC
(2,23),-1.54662 # DEPENDENCYPART_ARC
(2,24),-1.89345 # DEPENDENCYPART_ARC
(2,25),-1.9859 # DEPENDENCYPART_ARC
(2,26),-1.62532 # DEPENDENCYPART_ARC
(3,1),-0.914614 # DEPENDENCYPART_ARC
(3,4),-0.0283914 # DEPENDENCYPART_ARC
(3,11),-1.09269 # DEPENDENCYPART_ARC
(3,19),-1.66686 # DEPENDENCYPART_ARC
(3,21),-2.16481 # DEPENDENCYPART_ARC
(3,22),-1.69 # DEPENDENCYPART_ARC
(3,26),-2.1161 # DEPENDENCYPART_ARC
(4,1),-0.525195 # DEPENDENCYPART_ARC
(4,3),0.489963 # DEPENDENCYPART_ARC
(4,5),0.788319 # DEPENDENCYPART_ARC
(4,7),-0.317868 # DEPENDENCYPART_ARC
(4,9),-1.10181 # DEPENDENCYPART_ARC
(4,11),-1.05091 # DEPENDENCYPART_ARC
(4,13),-1.50173 # DEPENDENCYPART_ARC
(4,15),-1.53837 # DEPENDENCYPART_ARC
(4,16),-1.34553 # DEPENDENCYPART_ARC
(4,17),-1.37621 # DEPENDENCYPART_ARC
(4,18),-1.7335 # DEPENDENCYPART_ARC
(4,20),-1.6788 # DEPENDENCYPART_ARC
(4,21),-1.69511 # DEPENDENCYPART_ARC
(4,22),-1.49675 # DEPENDENCYPART_ARC
(4,23),-1.8947 # DEPENDENCYPART_ARC
(4,26),-1.97955 # DEPENDENCYPART_ARC
(5,1),-0.76946 # DEPENDENCYPART_ARC
(5,2),0.0113808 # DEPENDENCYPART_ARC
(5,3),-0.912163 # DEPENDENCYPART_ARC
(5,4),3.34854 # DEPENDENCYPART_ARC
(5,6),3.63502 # DEPENDENCYPART_ARC
(5,7),2.49109 # DEPENDENCYPART_ARC
(5,8),1.61959 # DEPENDENCYPART_ARC
(5,9),0.977633 # DEPENDENCYPART_ARC
(5,10),0.852196 # DEPENDENCYPART_ARC
(5,11),-0.215869 # DEPENDENCYPART_ARC
(5,12),0.685655 # DEPENDENCYPART_ARC
(5,13),0.0476775 # DEPENDENCYPART_ARC
(5,14),-0.534942 # DEPENDENCYPART_ARC
(5,15),0.374827 # DEPENDENCYPART_ARC
(5,16),-0.179912 # DEPENDENCYPART_ARC
(5,17),-0.40257 # DEPENDENCYPART_ARC
(5,18),-0.800174 # DEPENDENCYPART_ARC
(5,19),-0.19926 # DEPENDENCYPART_ARC
(5,20),-0.781488 # DEPENDENCYPART_ARC
(5,21),-1.96703 # DEPENDENCYPART_ARC
(5,22),-0.558121 # DEPENDENCYPART_ARC
(5,23),-0.878726 # DEPENDENCYPART_ARC
(5,24),-0.890047 # DEPENDENCYPART_ARC
(5,25),-0.227513 # DEPENDENCYPART_ARC
(5,26),-3.058 # DEPENDENCYPART_ARC
(6,1),-0.752955 # DEPENDENCYPART_ARC
(6,2),-0.686884 # DEPENDENCYPART_ARC
(6,3),-0.859885 # DEPENDENCYPART_ARC
(6,4),0.0541775 # DEPENDENCYPART_ARC
(6,5),0.180769 # DEPENDENCYPART_ARC
(6,7),0.960097 # DEPENDENCYPART_ARC
(6,8),1.01927 # DEPENDENCYPART_ARC
(6,9),-0.760159 # DEPENDENCYPART_ARC
(6,10),0.244134 # DEPENDENCYPART_ARC
(6,11),0.0579875 # DEPENDENCYPART_ARC
(6,12),-0.212493 # DEPENDENCYPART_ARC
(6,13),-0.417369 # DEPENDENCYPART_ARC
(6,14),-1.88243 # DEPENDENCYPART_ARC
(6,15),-1.70952 # DEPENDENCYPART_ARC
(6,16),-0.742777 # DEPENDENCYPART_ARC
(6,17),-0.833285 # DEPENDENCYPART_ARC
(6,18),-0.526165 # DEPENDENCYPART_ARC
(6,19),-1.18697 # DEPENDENCYPART_ARC
(6,20),-0.496857 # DEPENDENCYPART_ARC
(6,21),-1.49501 # DEPENDENCYPART_ARC
(6,22),-0.860189 # DEPENDENCYPART_ARC
(6,23),-2.26582 # DEPENDENCYPART_ARC
(6,24),-0.798493 # DEPENDENCYPART_ARC
(6,25),-0.876246 # DEPENDENCYPART_ARC
(6,26),-2.01666 # DEPENDENCYPART_ARC
(7,1),-1.93997 # DEPENDENCYPART_ARC
(7,2),-1.29473 # DEPENDENCYPART_ARC
(7,3),-1.63359 # DEPENDENCYPART_ARC
(7,4),-1.06781 # DEPENDENCYPART_ARC
(7,5),-1.21294 # DEPENDENCYPART_ARC
(7,6),-0.546924 # DEPENDENCYPART_ARC
(7,8),4.05208 # DEPENDENCYPART_ARC
(7,9),0.442674 # DEPENDENCYPART_ARC
(7,10),-0.31333 # DEPENDENCYPART_ARC
(7,11),-0.611584 # DEPENDENCYPART_ARC
(7,12),-0.770185 # DEPENDENCYPART_ARC
(7,13),-1.08632 # DEPENDENCYPART_ARC
(7,14),-1.54681 # DEPENDENCYPART_ARC
(7,15),-1.44299 # DEPENDENCYPART_ARC
(7,16),-1.2577 # DEPENDENCYPART_ARC
(7,17),-1.35658 # DEPENDENCYPART_ARC
(7,18),-2.56235 # DEPENDENCYPART_ARC
(7,19),-1.55225 # DEPENDENCYPART_ARC
(7,20),-4.0926 # DEPENDENCYPART_ARC
(7,21),-1.85788 # DEPENDENCYPART_ARC
(7,22),-1.45859 # DEPENDENCYPART_ARC
(7,23),-2.81064 # DEPENDENCYPART_ARC
(7,24),-5.43616 # DEPENDENCYPART_ARC
(7,25),-5.71342 # DEPENDENCYPART_ARC
(7,26),-2.15984 # DEPENDENCYPART_ARC
(8,1),-2.25033 # DEPENDENCYPART_ARC
(8,2),-1.97263 # DEPENDENCYPART_ARC
(8,3),-3.00764 # DEPENDENCYPART_ARC
(8,4),-0.594211 # DEPENDENCYPART_ARC
(8,5),-3.2617 # DEPENDENCYPART_ARC
(8,6),-1.41494 # DEPENDENCYPART_ARC
(8,7),0.66354 # DEPENDENCYPART_ARC
(8,9),-0.0949127 # DEPENDENCYPART_ARC
(8,10),-0.538889 # DEPENDENCYPART_ARC
(8,11),-1.13935 # DEPENDENCYPART_ARC
(8,12),-0.621574 # DEPENDENCYPART_ARC
(8,13),-0.992296 # DEPENDENCYPART_ARC
(8,14),-1.19635 # DEPENDENCYPART_ARC
(8,15),-1.61092 # DEPENDENCYPART_ARC
(8,16),-1.60532 # DEPENDENCYPART_ARC
(8,17),-1.80712 # DEPENDENCYPART_ARC
(8,18),-2.04294 # DEPENDENCYPART_ARC
(8,19),-1.2699 # DEPENDENCYPART_ARC
(8,20),-2.24162 # DEPENDENCYPART_ARC
(8,21),-2.76613 # DEPENDENCYPART_ARC
(8,22),-1.63527 # DEPENDENCYPART_ARC
(8,23),-2.71435 # DEPENDENCYPART_ARC
(8,24),-2.27246 # DEPENDENCYPART_ARC
(8,25),-1.71599 # DEPENDENCYPART_ARC
(8,26),-3.62834 # DEPENDENCYPART_ARC
(9,1),-1.0607 # DEPENDENCYPART_ARC
(9,2),0.416654 # DEPENDENCYPART_ARC
(9,3),-1.66953 # DEPENDENCYPART_ARC
(9,4),-0.856919 # DEPENDENCYPART_ARC
(9,5),1.50152 # DEPENDENCYPART_ARC
(9,6),0.0808549 # DEPENDENCYPART_ARC
(9,7),0.539315 # DEPENDENCYPART_ARC
(9,8),1.92474 # DEPENDENCYPART_ARC
(9,10),2.42702 # DEPENDENCYPART_ARC
(9,11),0.586338 # DEPENDENCYPART_ARC
