# _root_ Non come Lewis , la sua corsa aveva una logica , la mia no .
#goldHeads=2,3,0,3,7,7,8,3,10,8,3,13,3,13,14,
#predictedHeads=2,7,2,3,7,7,8,0,10,8,10,13,10,10,14,
(0,1),-1.13968 # DEPENDENCYPART_ARC
(0,2),-1.6699 # DEPENDENCYPART_ARC
(0,3),-0.31021 # DEPENDENCYPART_ARC
(0,4),-0.600403 # DEPENDENCYPART_ARC
(0,7),-0.646725 # DEPENDENCYPART_ARC
(0,8),0.794575 # DEPENDENCYPART_ARC
(0,10),-0.70996 # DEPENDENCYPART_ARC
(0,11),-0.764235 # DEPENDENCYPART_ARC
(0,14),-1.28001 # DEPENDENCYPART_ARC
(0,15),-1.14686 # DEPENDENCYPART_ARC
(1,2),-0.441318 # DEPENDENCYPART_ARC
(1,3),-0.289849 # DEPENDENCYPART_ARC
(1,4),-0.226808 # DEPENDENCYPART_ARC
(1,5),-1.14423 # DEPENDENCYPART_ARC
(1,7),-1.33791 # DEPENDENCYPART_ARC
(1,8),-1.21777 # DEPENDENCYPART_ARC
(1,9),-1.57095 # DEPENDENCYPART_ARC
(1,10),-2.05175 # DEPENDENCYPART_ARC
(1,11),-1.20971 # DEPENDENCYPART_ARC
(1,12),-1.64656 # DEPENDENCYPART_ARC
(1,14),-1.94946 # DEPENDENCYPART_ARC
(1,15),-1.70823 # DEPENDENCYPART_ARC
(2,1),1.31911 # DEPENDENCYPART_ARC
(2,3),4.04269 # DEPENDENCYPART_ARC
(2,4),0.69864 # DEPENDENCYPART_ARC
(2,5),-0.615397 # DEPENDENCYPART_ARC
(2,6),-0.284223 # DEPENDENCYPART_ARC
(2,7),-0.00838388 # DEPENDENCYPART_ARC
(2,8),-0.9508 # DEPENDENCYPART_ARC
(2,9),-1.18311 # DEPENDENCYPART_ARC
(2,10),-2.40392 # DEPENDENCYPART_ARC
(2,11),0.300725 # DEPENDENCYPART_ARC
(2,12),-1.23141 # DEPENDENCYPART_ARC
(2,13),-1.13589 # DEPENDENCYPART_ARC
(2,14),-1.04813 # DEPENDENCYPART_ARC
(2,15),-0.976536 # DEPENDENCYPART_ARC
(3,1),0.0678358 # DEPENDENCYPART_ARC
(3,2),0.701263 # DEPENDENCYPART_ARC
(3,4),2.11321 # DEPENDENCYPART_ARC
(3,5),0.123105 # DEPENDENCYPART_ARC
(3,6),-0.225074 # DEPENDENCYPART_ARC
(3,7),0.0447927 # DEPENDENCYPART_ARC
(3,8),-0.560284 # DEPENDENCYPART_ARC
(3,9),-0.583444 # DEPENDENCYPART_ARC
(3,10),-0.771173 # DEPENDENCYPART_ARC
(3,11),0.72794 # DEPENDENCYPART_ARC
(3,12),-0.472503 # DEPENDENCYPART_ARC
(3,13),-1.7976 # DEPENDENCYPART_ARC
(3,14),-1.36152 # DEPENDENCYPART_ARC
(3,15),-1.53561 # DEPENDENCYPART_ARC
(4,5),0.021446 # DEPENDENCYPART_ARC
(4,9),-1.31128 # DEPENDENCYPART_ARC
(4,11),-0.954416 # DEPENDENCYPART_ARC
(4,12),-1.50233 # DEPENDENCYPART_ARC
(4,15),-1.09521 # DEPENDENCYPART_ARC
(5,2),-1.29823 # DEPENDENCYPART_ARC
(5,4),0.321604 # DEPENDENCYPART_ARC
(5,7),0.23925 # DEPENDENCYPART_ARC
(5,8),-0.339083 # DEPENDENCYPART_ARC
(5,10),-0.688517 # DEPENDENCYPART_ARC
(5,11),-0.529702 # DEPENDENCYPART_ARC
(5,15),-0.70584 # DEPENDENCYPART_ARC
(6,4),-0.615394 # DEPENDENCYPART_ARC
(6,5),0.889308 # DEPENDENCYPART_ARC
(6,8),-0.746337 # DEPENDENCYPART_ARC
(6,11),-1.29686 # DEPENDENCYPART_ARC
(6,12),-1.34705 # DEPENDENCYPART_ARC
(6,15),-1.26729 # DEPENDENCYPART_ARC
(7,1),-0.361912 # DEPENDENCYPART_ARC
(7,2),0.212017 # DEPENDENCYPART_ARC
(7,3),-1.02841 # DEPENDENCYPART_ARC
(7,4),-0.969571 # DEPENDENCYPART_ARC
(7,5),3.40094 # DEPENDENCYPART_ARC
(7,6),4.1082 # DEPENDENCYPART_ARC
(7,8),0.522899 # DEPENDENCYPART_ARC
(7,9),-0.428801 # DEPENDENCYPART_ARC
(7,10),0.0464341 # DEPENDENCYPART_ARC
(7,11),0.356428 # DEPENDENCYPART_ARC
(7,12),-0.600837 # DEPENDENCYPART_ARC
(7,13),-0.631621 # DEPENDENCYPART_ARC
(7,14),-0.964598 # DEPENDENCYPART_ARC
(7,15),-0.693568 # DEPENDENCYPART_ARC
(8,1),-0.395511 # DEPENDENCYPART_ARC
(8,2),-0.449364 # DEPENDENCYPART_ARC
(8,3),-0.32399 # DEPENDENCYPART_ARC
(8,4),-2.23178 # DEPENDENCYPART_ARC
(8,5),-0.866237 # DEPENDENCYPART_ARC
(8,6),-0.0653024 # DEPENDENCYPART_ARC
(8,7),1.07217 # DEPENDENCYPART_ARC
(8,9),-0.656861 # DEPENDENCYPART_ARC
(8,10),2.27061 # DEPENDENCYPART_ARC
(8,11),0.472911 # DEPENDENCYPART_ARC
(8,12),-2.08968 # DEPENDENCYPART_ARC
(8,13),-0.776213 # DEPENDENCYPART_ARC
(8,14),-0.477815 # DEPENDENCYPART_ARC
(8,15),-0.975918 # DEPENDENCYPART_ARC
(9,2),-1.512 # DEPENDENCYPART_ARC
(9,4),-1.12593 # DEPENDENCYPART_ARC
(9,11),0.17516 # DEPENDENCYPART_ARC
(9,15),-0.207671 # DEPENDENCYPART_ARC
(10,1),-0.800921 # DEPENDENCYPART_ARC
(10,2),-0.778059 # DEPENDENCYPART_ARC
(10,3),-2.09513 # DEPENDENCYPART_ARC
(10,4),-2.37668 # DEPENDENCYPART_ARC
(10,5),0.505767 # DEPENDENCYPART_ARC
(10,6),0.722019 # DEPENDENCYPART_ARC
(10,7),-1.24044 # DEPENDENCYPART_ARC
(10,8),-0.422521 # DEPENDENCYPART_ARC
(10,9),3.54432 # DEPENDENCYPART_ARC
(10,11),2.08288 # DEPENDENCYPART_ARC
(10,12),0.362699 # DEPENDENCYPART_ARC
(10,13),1.00509 # DEPENDENCYPART_ARC
(10,14),-0.162198 # DEPENDENCYPART_ARC
(10,15),0.0611427 # DEPENDENCYPART_ARC
(11,4),-1.81019 # DEPENDENCYPART_ARC
(11,5),-1.5787 # DEPENDENCYPART_ARC
(11,9),-0.289016 # DEPENDENCYPART_ARC
(11,12),-0.0535316 # DEPENDENCYPART_ARC
(11,15),-0.538812 # DEPENDENCYPART_ARC
(12,2),-2.33618 # DEPENDENCYPART_ARC
(12,4),-1.76817 # DEPENDENCYPART_ARC
(12,7),-2.43559 # DEPENDENCYPART_ARC
(12,8),-2.62393 # DEPENDENCYPART_ARC
(12,10),-1.68329 # DEPENDENCYPART_ARC
(12,11),0.383103 # DEPENDENCYPART_ARC
(12,15),-0.0588451 # DEPENDENCYPART_ARC
(13,4),-1.78688 # DEPENDENCYPART_ARC
(13,5),-0.894306 # DEPENDENCYPART_ARC
(13,8),-1.97648 # DEPENDENCYPART_ARC
(13,11),-0.303969 # DEPENDENCYPART_ARC
(13,12),1.53608 # DEPENDENCYPART_ARC
(13,15),0.583643 # DEPENDENCYPART_ARC
(14,1),-1.11494 # DEPENDENCYPART_ARC
(14,2),-1.45419 # DEPENDENCYPART_ARC
(14,3),-2.30128 # DEPENDENCYPART_ARC
(14,4),-1.62828 # DEPENDENCYPART_ARC
(14,5),-1.22286 # DEPENDENCYPART_ARC
(14,7),-1.99338 # DEPENDENCYPART_ARC
(14,8),-2.19923 # DEPENDENCYPART_ARC
(14,9),-0.771091 # DEPENDENCYPART_ARC
(14,10),-1.64379 # DEPENDENCYPART_ARC
(14,11),-0.698671 # DEPENDENCYPART_ARC
(14,12),0.171431 # DEPENDENCYPART_ARC
(14,15),2.24719 # DEPENDENCYPART_ARC
(15,4),-1.90344 # DEPENDENCYPART_ARC
(15,5),-1.64607 # DEPENDENCYPART_ARC
(15,9),-1.30438 # DEPENDENCYPART_ARC
(15,11),-1.34862 # DEPENDENCYPART_ARC
(15,12),-0.726396 # DEPENDENCYPART_ARC
