# _root_ Anche nelle organizzazioni , spesso , i collaboratori di un grande imprenditore sono convinti che saprebbero fare meglio di lui .
#goldHeads=2,13,2,3,13,5,8,13,8,12,12,9,0,13,14,15,16,17,18,19,20,
#predictedHeads=2,14,2,3,14,5,8,14,8,12,12,9,14,0,14,17,15,17,18,19,20,
(0,1),-1.04275 # DEPENDENCYPART_ARC
(0,2),-1.53219 # DEPENDENCYPART_ARC
(0,3),-0.25471 # DEPENDENCYPART_ARC
(0,4),-0.620969 # DEPENDENCYPART_ARC
(0,5),-0.939124 # DEPENDENCYPART_ARC
(0,6),-0.354089 # DEPENDENCYPART_ARC
(0,7),-1.10748 # DEPENDENCYPART_ARC
(0,8),-0.0950463 # DEPENDENCYPART_ARC
(0,9),-1.62257 # DEPENDENCYPART_ARC
(0,10),-1.1319 # DEPENDENCYPART_ARC
(0,11),-0.635281 # DEPENDENCYPART_ARC
(0,12),-0.408565 # DEPENDENCYPART_ARC
(0,13),1.30281 # DEPENDENCYPART_ARC
(0,14),0.698592 # DEPENDENCYPART_ARC
(0,15),-1.3694 # DEPENDENCYPART_ARC
(0,16),-0.0237606 # DEPENDENCYPART_ARC
(0,17),0.0362261 # DEPENDENCYPART_ARC
(0,18),-1.4685 # DEPENDENCYPART_ARC
(0,19),-2.55168 # DEPENDENCYPART_ARC
(0,20),-1.66346 # DEPENDENCYPART_ARC
(0,21),-1.5975 # DEPENDENCYPART_ARC
(1,2),-0.882069 # DEPENDENCYPART_ARC
(1,3),-0.389225 # DEPENDENCYPART_ARC
(1,4),-0.233304 # DEPENDENCYPART_ARC
(1,5),-1.52263 # DEPENDENCYPART_ARC
(1,6),-0.756347 # DEPENDENCYPART_ARC
(1,7),-1.32783 # DEPENDENCYPART_ARC
(1,8),-1.21946 # DEPENDENCYPART_ARC
(1,9),-1.5121 # DEPENDENCYPART_ARC
(1,10),-1.45643 # DEPENDENCYPART_ARC
(1,11),-1.24922 # DEPENDENCYPART_ARC
(1,12),-1.45387 # DEPENDENCYPART_ARC
(1,13),-1.03687 # DEPENDENCYPART_ARC
(1,14),-1.4086 # DEPENDENCYPART_ARC
(1,15),-0.645458 # DEPENDENCYPART_ARC
(1,16),-2.72846 # DEPENDENCYPART_ARC
(1,17),-2.51876 # DEPENDENCYPART_ARC
(1,18),-2.02467 # DEPENDENCYPART_ARC
(1,19),-1.97479 # DEPENDENCYPART_ARC
(1,20),-2.32057 # DEPENDENCYPART_ARC
(1,21),-1.87342 # DEPENDENCYPART_ARC
(2,1),1.5359 # DEPENDENCYPART_ARC
(2,3),4.27689 # DEPENDENCYPART_ARC
(2,4),0.756709 # DEPENDENCYPART_ARC
(2,5),-0.249698 # DEPENDENCYPART_ARC
(2,6),0.214276 # DEPENDENCYPART_ARC
(2,7),-0.931794 # DEPENDENCYPART_ARC
(2,8),-1.19298 # DEPENDENCYPART_ARC
(2,9),-0.831888 # DEPENDENCYPART_ARC
(2,10),-1.90155 # DEPENDENCYPART_ARC
(2,11),-1.62841 # DEPENDENCYPART_ARC
(2,12),-3.02875 # DEPENDENCYPART_ARC
(2,13),-2.71412 # DEPENDENCYPART_ARC
(2,14),-1.49345 # DEPENDENCYPART_ARC
(2,15),-2.1229 # DEPENDENCYPART_ARC
(2,16),-2.8167 # DEPENDENCYPART_ARC
(2,17),-2.24841 # DEPENDENCYPART_ARC
(2,18),-1.46731 # DEPENDENCYPART_ARC
(2,19),-1.80438 # DEPENDENCYPART_ARC
(2,20),-2.48181 # DEPENDENCYPART_ARC
(2,21),-1.55108 # DEPENDENCYPART_ARC
(3,1),0.374676 # DEPENDENCYPART_ARC
(3,2),0.756995 # DEPENDENCYPART_ARC
(3,4),2.388 # DEPENDENCYPART_ARC
(3,5),0.358578 # DEPENDENCYPART_ARC
(3,6),0.673933 # DEPENDENCYPART_ARC
(3,7),0.0792789 # DEPENDENCYPART_ARC
(3,8),0.347965 # DEPENDENCYPART_ARC
(3,9),0.46874 # DEPENDENCYPART_ARC
(3,10),-0.658847 # DEPENDENCYPART_ARC
(3,11),-1.22701 # DEPENDENCYPART_ARC
(3,12),-0.378263 # DEPENDENCYPART_ARC
(3,13),0.316878 # DEPENDENCYPART_ARC
(3,14),-0.439303 # DEPENDENCYPART_ARC
(3,15),-1.52891 # DEPENDENCYPART_ARC
(3,16),-2.60009 # DEPENDENCYPART_ARC
(3,17),-2.32559 # DEPENDENCYPART_ARC
(3,18),-1.25024 # DEPENDENCYPART_ARC
(3,19),-1.70654 # DEPENDENCYPART_ARC
(3,20),-1.60581 # DEPENDENCYPART_ARC
(3,21),-2.25282 # DEPENDENCYPART_ARC
(4,1),-1.66215 # DEPENDENCYPART_ARC
(4,2),-1.17932 # DEPENDENCYPART_ARC
(4,3),-0.921398 # DEPENDENCYPART_ARC
(4,5),-1.09915 # DEPENDENCYPART_ARC
(4,6),-0.498249 # DEPENDENCYPART_ARC
(4,7),-1.77535 # DEPENDENCYPART_ARC
(4,8),-2.02467 # DEPENDENCYPART_ARC
(4,9),-2.17269 # DEPENDENCYPART_ARC
(4,10),-2.04522 # DEPENDENCYPART_ARC
(4,11),-2.37145 # DEPENDENCYPART_ARC
(4,12),-2.30303 # DEPENDENCYPART_ARC
(4,13),-2.04894 # DEPENDENCYPART_ARC
(4,14),-2.20519 # DEPENDENCYPART_ARC
(4,15),-2.29286 # DEPENDENCYPART_ARC
(4,16),-2.46129 # DEPENDENCYPART_ARC
(4,17),-2.5756 # DEPENDENCYPART_ARC
(4,18),-2.77809 # DEPENDENCYPART_ARC
(4,19),-2.84983 # DEPENDENCYPART_ARC
(4,20),-2.74831 # DEPENDENCYPART_ARC
(4,21),-1.83658 # DEPENDENCYPART_ARC
(5,1),-0.750712 # DEPENDENCYPART_ARC
(5,2),-0.386782 # DEPENDENCYPART_ARC
(5,3),-1.23379 # DEPENDENCYPART_ARC
(5,4),0.577166 # DEPENDENCYPART_ARC
(5,6),2.39562 # DEPENDENCYPART_ARC
(5,7),0.192488 # DEPENDENCYPART_ARC
(5,8),-0.187311 # DEPENDENCYPART_ARC
(5,9),-0.273385 # DEPENDENCYPART_ARC
(5,10),-0.236751 # DEPENDENCYPART_ARC
(5,11),-0.530747 # DEPENDENCYPART_ARC
(5,12),-0.635936 # DEPENDENCYPART_ARC
(5,13),-0.393823 # DEPENDENCYPART_ARC
(5,14),-0.441315 # DEPENDENCYPART_ARC
(5,15),-0.182938 # DEPENDENCYPART_ARC
(5,16),-0.57976 # DEPENDENCYPART_ARC
(5,17),-0.803644 # DEPENDENCYPART_ARC
(5,18),-0.893741 # DEPENDENCYPART_ARC
(5,19),-0.997436 # DEPENDENCYPART_ARC
(5,20),-1.18125 # DEPENDENCYPART_ARC
(5,21),-1.28621 # DEPENDENCYPART_ARC
(6,1),-2.23896 # DEPENDENCYPART_ARC
(6,2),-1.80213 # DEPENDENCYPART_ARC
(6,3),-2.05401 # DEPENDENCYPART_ARC
(6,4),-1.40994 # DEPENDENCYPART_ARC
(6,5),-0.765218 # DEPENDENCYPART_ARC
(6,7),-0.637377 # DEPENDENCYPART_ARC
(6,8),-1.18485 # DEPENDENCYPART_ARC
(6,9),-1.65202 # DEPENDENCYPART_ARC
(6,10),-1.70857 # DEPENDENCYPART_ARC
(6,11),-1.89019 # DEPENDENCYPART_ARC
(6,12),-1.965 # DEPENDENCYPART_ARC
(6,13),-1.71503 # DEPENDENCYPART_ARC
(6,14),-1.93889 # DEPENDENCYPART_ARC
(6,15),-2.03549 # DEPENDENCYPART_ARC
(6,16),-2.03492 # DEPENDENCYPART_ARC
(6,17),-2.25874 # DEPENDENCYPART_ARC
(6,18),-2.52366 # DEPENDENCYPART_ARC
(6,19),-2.51509 # DEPENDENCYPART_ARC
(6,20),-2.4365 # DEPENDENCYPART_ARC
(6,21),-1.54922 # DEPENDENCYPART_ARC
(7,1),-2.03584 # DEPENDENCYPART_ARC
(7,2),-1.96715 # DEPENDENCYPART_ARC
(7,3),-2.17051 # DEPENDENCYPART_ARC
(7,4),-1.10531 # DEPENDENCYPART_ARC
(7,5),-1.09122 # DEPENDENCYPART_ARC
(7,6),0.576838 # DEPENDENCYPART_ARC
(7,8),0.825581 # DEPENDENCYPART_ARC
(7,9),-0.16153 # DEPENDENCYPART_ARC
(7,10),-1.25831 # DEPENDENCYPART_ARC
(7,11),-1.95487 # DEPENDENCYPART_ARC
(7,12),-1.1145 # DEPENDENCYPART_ARC
(7,13),-0.966906 # DEPENDENCYPART_ARC
(7,14),-0.856575 # DEPENDENCYPART_ARC
(7,15),-0.975958 # DEPENDENCYPART_ARC
(7,16),-1.41323 # DEPENDENCYPART_ARC
(7,17),-1.28713 # DEPENDENCYPART_ARC
(7,18),-1.62397 # DEPENDENCYPART_ARC
(7,19),-1.28032 # DEPENDENCYPART_ARC
(7,20),-2.26051 # DEPENDENCYPART_ARC
(7,21),-1.25064 # DEPENDENCYPART_ARC
(8,1),0.176318 # DEPENDENCYPART_ARC
(8,2),-0.505262 # DEPENDENCYPART_ARC
(8,3),-0.692764 # DEPENDENCYPART_ARC
(8,4),-1.86506 # DEPENDENCYPART_ARC
(8,5),0.383014 # DEPENDENCYPART_ARC
(8,6),-0.891825 # DEPENDENCYPART_ARC
(8,7),4.25667 # DEPENDENCYPART_ARC
(8,9),2.59356 # DEPENDENCYPART_ARC
(8,10),0.10736 # DEPENDENCYPART_ARC
(8,11),-0.153243 # DEPENDENCYPART_ARC
(8,12),0.579731 # DEPENDENCYPART_ARC
(8,13),0.314231 # DEPENDENCYPART_ARC
(8,14),0.873594 # DEPENDENCYPART_ARC
(8,15),-0.579055 # DEPENDENCYPART_ARC
(8,16),-2.2429 # DEPENDENCYPART_ARC
(8,17),-1.91109 # DEPENDENCYPART_ARC
(8,18),-0.744756 # DEPENDENCYPART_ARC
(8,19),-1.2617 # DEPENDENCYPART_ARC
(8,20),-0.918213 # DEPENDENCYPART_ARC
(8,21),-1.33241 # DEPENDENCYPART_ARC
(9,1),-0.744555 # DEPENDENCYPART_ARC
(9,2),-1.46057 # DEPENDENCYPART_ARC
(9,3),-1.80856 # DEPENDENCYPART_ARC
(9,4),-1.87242 # DEPENDENCYPART_ARC
(9,5),-0.950833 # DEPENDENCYPART_ARC
(9,6),-1.3587 # DEPENDENCYPART_ARC
(9,7),-0.59479 # DEPENDENCYPART_ARC
(9,8),-0.23825 # DEPENDENCYPART_ARC
(9,10),0.595137 # DEPENDENCYPART_ARC
(9,11),1.34247 # DEPENDENCYPART_ARC
(9,12),2.53271 # DEPENDENCYPART_ARC
(9,13),0.38041 # DEPENDENCYPART_ARC
(9,14),0.266368 # DEPENDENCYPART_ARC
(9,15),-0.431889 # DEPENDENCYPART_ARC
(9,16),-0.320336 # DEPENDENCYPART_ARC
(9,17),-0.571104 # DEPENDENCYPART_ARC
(9,18),-0.64716 # DEPENDENCYPART_ARC
(9,19),-1.01065 # DEPENDENCYPART_ARC
(9,20),-0.361396 # DEPENDENCYPART_ARC
(9,21),-1.12553 # DEPENDENCYPART_ARC
(10,1),-2.8051 # DEPENDENCYPART_ARC
(10,2),-3.05808 # DEPENDENCYPART_ARC
(10,3),-3.41061 # DEPENDENCYPART_ARC
(10,4),-2.42437 # DEPENDENCYPART_ARC
(10,5),-2.45367 # DEPENDENCYPART_ARC
(10,6),-2.0886 # DEPENDENCYPART_ARC
(10,7),-1.62568 # DEPENDENCYPART_ARC
(10,8),-2.24532 # DEPENDENCYPART_ARC
(10,9),-0.711479 # DEPENDENCYPART_ARC
(10,11),-0.231375 # DEPENDENCYPART_ARC
(10,12),0.00407355 # DEPENDENCYPART_ARC
(10,13),-0.800517 # DEPENDENCYPART_ARC
(10,14),-1.2574 # DEPENDENCYPART_ARC
(10,15),-0.862742 # DEPENDENCYPART_ARC
(10,16),-1.5322 # DEPENDENCYPART_ARC
(10,17),-1.26369 # DEPENDENCYPART_ARC
(10,18),-1.46829 # DEPENDENCYPART_ARC
(10,19),-1.03967 # DEPENDENCYPART_ARC
(10,20),-2.02756 # DEPENDENCYPART_ARC
(10,21),-0.871602 # DEPENDENCYPART_ARC
(11,1),-0.765461 # DEPENDENCYPART_ARC
(11,2),-2.04761 # DEPENDENCYPART_ARC
(11,3),-2.27933 # DEPENDENCYPART_ARC
(11,4),-1.30989 # DEPENDENCYPART_ARC
(11,5),-0.952136 # DEPENDENCYPART_ARC
(11,6),-0.987492 # DEPENDENCYPART_ARC
(11,7),-0.77387 # DEPENDENCYPART_ARC
(11,8),-1.19496 # DEPENDENCYPART_ARC
(11,9),0.474719 # DEPENDENCYPART_ARC
(11,10),1.48733 # DEPENDENCYPART_ARC
(11,12),1.29238 # DEPENDENCYPART_ARC
(11,13),-0.268632 # DEPENDENCYPART_ARC
(11,14),-0.787909 # DEPENDENCYPART_ARC
(11,15),-0.347328 # DEPENDENCYPART_ARC
(11,16),-1.09719 # DEPENDENCYPART_ARC
(11,17),-1.76796 # DEPENDENCYPART_ARC
(11,18),-1.00384 # DEPENDENCYPART_ARC
(11,19),-0.756013 # DEPENDENCYPART_ARC
(11,20),-1.50163 # DEPENDENCYPART_ARC
(11,21),-0.773095 # DEPENDENCYPART_ARC
(12,1),0.330553 # DEPENDENCYPART_ARC
(12,2),-0.707339 # DEPENDENCYPART_ARC
(12,3),-2.07633 # DEPENDENCYPART_ARC
(12,4),-2.28945 # DEPENDENCYPART_ARC
(12,5),-0.648087 # DEPENDENCYPART_ARC
(12,6),-2.1951 # DEPENDENCYPART_ARC
(12,7),1.01134 # DEPENDENCYPART_ARC
(12,8),-0.752623 # DEPENDENCYPART_ARC
(12,9),0.416372 # DEPENDENCYPART_ARC
(12,10),3.10775 # DEPENDENCYPART_ARC
(12,11),3.32502 # DEPENDENCYPART_ARC
(12,13),-0.0317846 # DEPENDENCYPART_ARC
(12,14),-0.899433 # DEPENDENCYPART_ARC
(12,15),-0.550352 # DEPENDENCYPART_ARC
(12,16),-3.40627 # DEPENDENCYPART_ARC
(12,17),-2.80352 # DEPENDENCYPART_ARC
(12,18),-1.17019 # DEPENDENCYPART_ARC
(12,19),-0.88452 # DEPENDENCYPART_ARC
(12,20),-1.41331 # DEPENDENCYPART_ARC
(12,21),-1.21175 # DEPENDENCYPART_ARC
(13,1),-0.259713 # DEPENDENCYPART_ARC
(13,2),-0.201937 # DEPENDENCYPART_ARC
(13,3),-0.960814 # DEPENDENCYPART_ARC
(13,4),-2.1814 # DEPENDENCYPART_ARC
(13,5),-0.0157305 # DEPENDENCYPART_ARC
(13,6),-1.88172 # DEPENDENCYPART_ARC
(13,7),-0.711534 # DEPENDENCYPART_ARC
(13,8),0.82514 # DEPENDENCYPART_ARC
(13,9),-0.618549 # DEPENDENCYPART_ARC
(13,10),-0.932824 # DEPENDENCYPART_ARC
(13,11),-0.263599 # DEPENDENCYPART_ARC
