# _root_ " La riabilitazione , lo abbiamo dimostrato , può portare un " trapiantato " a correre i 42 chilometri di una maratona .
#goldHeads=2,3,10,3,7,7,10,7,10,0,13,11,10,15,10,15,19,19,16,19,22,20,22,
#predictedHeads=2,3,7,3,7,7,0,7,10,13,10,13,7,13,13,15,19,19,16,19,22,20,22,
(0,1),-0.603749 # DEPENDENCYPART_ARC
(0,2),-1.60611 # DEPENDENCYPART_ARC
(0,3),-0.482856 # DEPENDENCYPART_ARC
(0,4),-0.704111 # DEPENDENCYPART_ARC
(0,5),-1.06358 # DEPENDENCYPART_ARC
(0,6),0.466688 # DEPENDENCYPART_ARC
(0,7),0.379504 # DEPENDENCYPART_ARC
(0,8),-0.930422 # DEPENDENCYPART_ARC
(0,9),0.43388 # DEPENDENCYPART_ARC
(0,10),-0.0956435 # DEPENDENCYPART_ARC
(0,11),-1.70918 # DEPENDENCYPART_ARC
(0,12),-1.42682 # DEPENDENCYPART_ARC
(0,13),-0.863627 # DEPENDENCYPART_ARC
(0,14),-1.5755 # DEPENDENCYPART_ARC
(0,15),-1.72347 # DEPENDENCYPART_ARC
(0,16),-0.384068 # DEPENDENCYPART_ARC
(0,17),-1.9244 # DEPENDENCYPART_ARC
(0,18),-1.99512 # DEPENDENCYPART_ARC
(0,19),-1.64438 # DEPENDENCYPART_ARC
(0,20),-2.45006 # DEPENDENCYPART_ARC
(0,21),-1.789 # DEPENDENCYPART_ARC
(0,22),-1.64848 # DEPENDENCYPART_ARC
(0,23),-1.83015 # DEPENDENCYPART_ARC
(1,2),-0.413737 # DEPENDENCYPART_ARC
(1,3),-0.959105 # DEPENDENCYPART_ARC
(1,4),0.345648 # DEPENDENCYPART_ARC
(1,5),-1.58535 # DEPENDENCYPART_ARC
(1,6),-1.39914 # DEPENDENCYPART_ARC
(1,7),-1.67525 # DEPENDENCYPART_ARC
(1,8),-0.335697 # DEPENDENCYPART_ARC
(1,9),-1.86583 # DEPENDENCYPART_ARC
(1,10),-1.98186 # DEPENDENCYPART_ARC
(1,11),-2.00454 # DEPENDENCYPART_ARC
(1,12),-1.41986 # DEPENDENCYPART_ARC
(1,13),-2.13034 # DEPENDENCYPART_ARC
(1,14),-1.77305 # DEPENDENCYPART_ARC
(1,15),-2.44889 # DEPENDENCYPART_ARC
(1,16),-2.26738 # DEPENDENCYPART_ARC
(1,17),-2.16489 # DEPENDENCYPART_ARC
(1,18),-2.09237 # DEPENDENCYPART_ARC
(1,19),-2.3912 # DEPENDENCYPART_ARC
(1,20),-2.60994 # DEPENDENCYPART_ARC
(1,21),-2.32584 # DEPENDENCYPART_ARC
(1,22),-2.58035 # DEPENDENCYPART_ARC
(1,23),-1.84474 # DEPENDENCYPART_ARC
(2,1),2.22992 # DEPENDENCYPART_ARC
(2,3),1.37683 # DEPENDENCYPART_ARC
(2,4),0.196319 # DEPENDENCYPART_ARC
(2,5),-0.950363 # DEPENDENCYPART_ARC
