# _root_ La vita di Dian Fossey , che per i suoi studi aveva abbandonato una comoda esistenza , è tuttora avvolta da molti aspetti misteriosi .
#goldHeads=2,20,2,5,3,5,13,13,11,11,8,13,5,16,16,13,16,20,20,0,20,23,21,23,24,
#predictedHeads=2,13,2,5,3,5,13,13,11,11,8,13,0,16,16,13,16,20,20,16,20,23,21,23,24,
(0,1),-0.57012 # DEPENDENCYPART_ARC
(0,2),-0.430587 # DEPENDENCYPART_ARC
(0,3),-1.09755 # DEPENDENCYPART_ARC
(0,4),0.0756972 # DEPENDENCYPART_ARC
(0,5),0.0413903 # DEPENDENCYPART_ARC
(0,6),-0.211496 # DEPENDENCYPART_ARC
(0,7),-0.700136 # DEPENDENCYPART_ARC
(0,8),-1.58514 # DEPENDENCYPART_ARC
(0,9),-1.13257 # DEPENDENCYPART_ARC
(0,10),-0.691777 # DEPENDENCYPART_ARC
(0,11),-0.142514 # DEPENDENCYPART_ARC
(0,12),0.291917 # DEPENDENCYPART_ARC
(0,13),0.467624 # DEPENDENCYPART_ARC
(0,14),-1.06255 # DEPENDENCYPART_ARC
(0,15),-0.812706 # DEPENDENCYPART_ARC
(0,16),-0.339326 # DEPENDENCYPART_ARC
(0,17),-0.950883 # DEPENDENCYPART_ARC
(0,18),1.54813 # DEPENDENCYPART_ARC
(0,19),-1.57731 # DEPENDENCYPART_ARC
(0,20),-0.0450603 # DEPENDENCYPART_ARC
(0,21),-3.11349 # DEPENDENCYPART_ARC
(0,22),-1.50985 # DEPENDENCYPART_ARC
(0,23),-0.996948 # DEPENDENCYPART_ARC
(0,24),-1.44489 # DEPENDENCYPART_ARC
(0,25),-1.73661 # DEPENDENCYPART_ARC
(1,2),0.990953 # DEPENDENCYPART_ARC
(1,3),-0.00868931 # DEPENDENCYPART_ARC
(1,4),-0.161283 # DEPENDENCYPART_ARC
(1,5),-0.282821 # DEPENDENCYPART_ARC
(1,6),-0.566339 # DEPENDENCYPART_ARC
(1,7),-1.42273 # DEPENDENCYPART_ARC
(1,8),-0.68173 # DEPENDENCYPART_ARC
(1,9),-1.52517 # DEPENDENCYPART_ARC
(1,10),-2.35665 # DEPENDENCYPART_ARC
(1,11),-1.11408 # DEPENDENCYPART_ARC
(1,12),-0.822395 # DEPENDENCYPART_ARC
(1,13),-1.39328 # DEPENDENCYPART_ARC
(1,14),-1.67271 # DEPENDENCYPART_ARC
(1,15),-1.85633 # DEPENDENCYPART_ARC
(1,16),-1.05684 # DEPENDENCYPART_ARC
(1,17),-1.08383 # DEPENDENCYPART_ARC
(1,18),-0.840015 # DEPENDENCYPART_ARC
(1,19),-1.64148 # DEPENDENCYPART_ARC
(1,20),-1.01601 # DEPENDENCYPART_ARC
(1,21),-1.57015 # DEPENDENCYPART_ARC
