# _root_ E Pietro Pastorini ieri lacrimava la sua gioia con pudore , asciugando- si gli occhi come ci si asciuga il sudore , " perché oggi a me sembra di volare .
#goldHeads=5,3,5,5,0,8,8,5,5,9,10,5,12,15,12,12,19,19,16,21,19,21,24,5,28,28,26,24,28,29,30,
#predictedHeads=5,3,5,5,0,8,8,5,8,9,10,19,12,15,12,5,19,19,16,21,19,21,24,19,28,28,26,24,28,29,30,
(0,1),-0.768715 # DEPENDENCYPART_ARC
(0,2),-0.0223166 # DEPENDENCYPART_ARC
(0,3),0.186228 # DEPENDENCYPART_ARC
(0,4),-0.707494 # DEPENDENCYPART_ARC
(0,5),1.12186 # DEPENDENCYPART_ARC
(0,6),-1.17808 # DEPENDENCYPART_ARC
(0,7),-0.469359 # DEPENDENCYPART_ARC
(0,8),-0.144112 # DEPENDENCYPART_ARC
(0,9),-2.16181 # DEPENDENCYPART_ARC
(0,10),-0.218138 # DEPENDENCYPART_ARC
(0,11),-0.581467 # DEPENDENCYPART_ARC
(0,12),0.196404 # DEPENDENCYPART_ARC
(0,13),-1.23565 # DEPENDENCYPART_ARC
(0,14),-1.30261 # DEPENDENCYPART_ARC
(0,15),-0.33072 # DEPENDENCYPART_ARC
(0,16),-0.334253 # DEPENDENCYPART_ARC
(0,17),-1.5026 # DEPENDENCYPART_ARC
(0,18),-1.61383 # DEPENDENCYPART_ARC
(0,19),0.424957 # DEPENDENCYPART_ARC
(0,20),-1.64406 # DEPENDENCYPART_ARC
(0,21),-1.05394 # DEPENDENCYPART_ARC
(0,22),-1.22182 # DEPENDENCYPART_ARC
(0,23),-1.55754 # DEPENDENCYPART_ARC
(0,24),-1.77534 # DEPENDENCYPART_ARC
(0,25),-2.02098 # DEPENDENCYPART_ARC
(0,26),-3.03585 # DEPENDENCYPART_ARC
(0,27),-1.91149 # DEPENDENCYPART_ARC
(0,28),0.587374 # DEPENDENCYPART_ARC
(0,29),-3.22856 # DEPENDENCYPART_ARC
(0,30),-1.29897 # DEPENDENCYPART_ARC
(0,31),-2.0584 # DEPENDENCYPART_ARC
(1,2),-0.0640246 # DEPENDENCYPART_ARC
(1,3),-0.735007 # DEPENDENCYPART_ARC
(1,4),-1.67649 # DEPENDENCYPART_ARC
(1,5),-0.659142 # DEPENDENCYPART_ARC
(1,6),-1.88672 # DEPENDENCYPART_ARC
(1,7),-1.76674 # DEPENDENCYPART_ARC
(1,8),-1.65057 # DEPENDENCYPART_ARC
(1,9),-2.10457 # DEPENDENCYPART_ARC
(1,10),-1.65976 # DEPENDENCYPART_ARC
(1,11),-0.97724 # DEPENDENCYPART_ARC
(1,12),-2.71739 # DEPENDENCYPART_ARC
(1,13),-2.38023 # DEPENDENCYPART_ARC
(1,14),-2.14414 # DEPENDENCYPART_ARC
(1,15),-1.66628 # DEPENDENCYPART_ARC
(1,16),-1.47883 # DEPENDENCYPART_ARC
(1,17),-2.61252 # DEPENDENCYPART_ARC
(1,18),-2.58137 # DEPENDENCYPART_ARC
(1,19),-3.91115 # DEPENDENCYPART_ARC
(1,20),-2.47084 # DEPENDENCYPART_ARC
(1,21),-1.84237 # DEPENDENCYPART_ARC
(1,22),-1.73632 # DEPENDENCYPART_ARC
(1,23),-2.86544 # DEPENDENCYPART_ARC
(1,24),-1.56119 # DEPENDENCYPART_ARC
(1,25),-2.97595 # DEPENDENCYPART_ARC
(1,26),-2.63736 # DEPENDENCYPART_ARC
(1,27),-3.05119 # DEPENDENCYPART_ARC
(1,28),-4.85673 # DEPENDENCYPART_ARC
(1,29),-2.77212 # DEPENDENCYPART_ARC
(1,30),-5.63714 # DEPENDENCYPART_ARC
(1,31),-3.02729 # DEPENDENCYPART_ARC
(2,1),-0.505334 # DEPENDENCYPART_ARC
(2,3),1.60911 # DEPENDENCYPART_ARC
(2,4),-0.554185 # DEPENDENCYPART_ARC
(2,5),-0.281306 # DEPENDENCYPART_ARC
(2,6),-0.674256 # DEPENDENCYPART_ARC
(2,7),-0.748659 # DEPENDENCYPART_ARC
(2,8),-0.743144 # DEPENDENCYPART_ARC
(2,9),-0.180027 # DEPENDENCYPART_ARC
(2,10),-0.64513 # DEPENDENCYPART_ARC
(2,11),-0.522931 # DEPENDENCYPART_ARC
(2,12),-1.53519 # DEPENDENCYPART_ARC
(2,13),-2.04967 # DEPENDENCYPART_ARC
(2,14),-1.51688 # DEPENDENCYPART_ARC
(2,15),-1.90389 # DEPENDENCYPART_ARC
(2,16),-1.13169 # DEPENDENCYPART_ARC
(2,17),-1.12012 # DEPENDENCYPART_ARC
(2,18),-2.18342 # DEPENDENCYPART_ARC
(2,19),-1.05784 # DEPENDENCYPART_ARC
(2,20),-1.77811 # DEPENDENCYPART_ARC
(2,21),-1.86764 # DEPENDENCYPART_ARC
(2,22),-1.17935 # DEPENDENCYPART_ARC
(2,23),-4.45532 # DEPENDENCYPART_ARC
(2,24),-2.70727 # DEPENDENCYPART_ARC
(2,25),-2.29053 # DEPENDENCYPART_ARC
(2,26),-3.37221 # DEPENDENCYPART_ARC
(2,27),-1.4336 # DEPENDENCYPART_ARC
(2,28),-1.58939 # DEPENDENCYPART_ARC
(2,29),-3.97392 # DEPENDENCYPART_ARC
(2,30),-1.89506 # DEPENDENCYPART_ARC
(2,31),-4.85307 # DEPENDENCYPART_ARC
(3,1),0.320269 # DEPENDENCYPART_ARC
(3,2),3.20469 # DEPENDENCYPART_ARC
(3,4),1.1911 # DEPENDENCYPART_ARC
(3,5),0.612276 # DEPENDENCYPART_ARC
(3,6),0.443552 # DEPENDENCYPART_ARC
(3,7),0.271687 # DEPENDENCYPART_ARC
(3,8),0.450793 # DEPENDENCYPART_ARC
(3,9),0.357459 # DEPENDENCYPART_ARC
(3,10),0.358683 # DEPENDENCYPART_ARC
(3,11),0.811695 # DEPENDENCYPART_ARC
(3,12),-0.566637 # DEPENDENCYPART_ARC
(3,13),-1.03248 # DEPENDENCYPART_ARC
(3,14),-0.493648 # DEPENDENCYPART_ARC
(3,15),-0.558619 # DEPENDENCYPART_ARC
(3,16),-0.0321694 # DEPENDENCYPART_ARC
(3,17),-0.164122 # DEPENDENCYPART_ARC
(3,18),-1.41942 # DEPENDENCYPART_ARC
(3,19),-0.0599761 # DEPENDENCYPART_ARC
(3,20),-0.751126 # DEPENDENCYPART_ARC
(3,21),-0.658409 # DEPENDENCYPART_ARC
(3,22),0.328134 # DEPENDENCYPART_ARC
(3,23),-2.63876 # DEPENDENCYPART_ARC
(3,24),-1.68591 # DEPENDENCYPART_ARC
(3,25),-1.3317 # DEPENDENCYPART_ARC
(3,26),-2.39842 # DEPENDENCYPART_ARC
