# _root_ A sfogliare le pagine del nuovo libro di Ghezzi , che raccoglie i suoi testi critici dal 1974 ( al 2001 ... ) , sotto il titolo Paura e desiderio .
#goldHeads=0,1,4,2,4,7,5,7,8,9,12,5,15,15,12,15,15,17,20,15,20,21,22,23,12,27,25,27,28,29,30,
#predictedHeads=20,1,4,2,4,7,5,7,8,9,12,0,15,15,12,15,12,17,20,17,20,21,22,23,12,27,25,27,28,27,30,
(0,1),-0.829564 # DEPENDENCYPART_ARC
(0,2),0.159923 # DEPENDENCYPART_ARC
(0,3),-1.1828 # DEPENDENCYPART_ARC
(0,4),0.0816153 # DEPENDENCYPART_ARC
(0,5),-1.53969 # DEPENDENCYPART_ARC
(0,6),-0.546619 # DEPENDENCYPART_ARC
(0,7),0.145667 # DEPENDENCYPART_ARC
(0,8),-1.81436 # DEPENDENCYPART_ARC
(0,9),-0.226868 # DEPENDENCYPART_ARC
(0,10),-0.609069 # DEPENDENCYPART_ARC
(0,11),-1.22783 # DEPENDENCYPART_ARC
(0,12),1.12077 # DEPENDENCYPART_ARC
(0,13),-1.49757 # DEPENDENCYPART_ARC
(0,14),-1.10317 # DEPENDENCYPART_ARC
(0,15),-0.153889 # DEPENDENCYPART_ARC
(0,16),-1.118 # DEPENDENCYPART_ARC
(0,17),-2.20684 # DEPENDENCYPART_ARC
(0,18),-1.5761 # DEPENDENCYPART_ARC
(0,19),-1.30536 # DEPENDENCYPART_ARC
(0,20),-2.25664 # DEPENDENCYPART_ARC
(0,21),-1.66213 # DEPENDENCYPART_ARC
(0,22),-1.6183 # DEPENDENCYPART_ARC
(0,23),-1.3878 # DEPENDENCYPART_ARC
(0,24),-1.49094 # DEPENDENCYPART_ARC
(0,25),-2.67851 # DEPENDENCYPART_ARC
(0,26),-1.8229 # DEPENDENCYPART_ARC
(0,27),-0.32439 # DEPENDENCYPART_ARC
(0,28),0.803882 # DEPENDENCYPART_ARC
(0,29),-2.48812 # DEPENDENCYPART_ARC
(0,30),-0.842989 # DEPENDENCYPART_ARC
(0,31),-2.14577 # DEPENDENCYPART_ARC
(1,2),3.53996 # DEPENDENCYPART_ARC
(1,3),0.343236 # DEPENDENCYPART_ARC
(1,4),0.237981 # DEPENDENCYPART_ARC
(1,5),-0.00939718 # DEPENDENCYPART_ARC
(1,6),0.541639 # DEPENDENCYPART_ARC
(1,7),-1.36726 # DEPENDENCYPART_ARC
(1,8),-0.667292 # DEPENDENCYPART_ARC
(1,9),-2.04534 # DEPENDENCYPART_ARC
(1,10),-0.0325424 # DEPENDENCYPART_ARC
(1,11),-1.09899 # DEPENDENCYPART_ARC
(1,12),-0.917209 # DEPENDENCYPART_ARC
(1,13),-0.898703 # DEPENDENCYPART_ARC
(1,14),-0.55071 # DEPENDENCYPART_ARC
(1,15),-4.64225 # DEPENDENCYPART_ARC
(1,16),-0.454066 # DEPENDENCYPART_ARC
(1,17),-1.42043 # DEPENDENCYPART_ARC
(1,18),-0.894667 # DEPENDENCYPART_ARC
(1,19),-1.21064 # DEPENDENCYPART_ARC
(1,20),-1.625 # DEPENDENCYPART_ARC
(1,21),-1.04206 # DEPENDENCYPART_ARC
(1,22),-1.76457 # DEPENDENCYPART_ARC
(1,23),-2.11289 # DEPENDENCYPART_ARC
(1,24),-0.692027 # DEPENDENCYPART_ARC
(1,25),-2.41295 # DEPENDENCYPART_ARC
(1,26),-1.27368 # DEPENDENCYPART_ARC
(1,27),-8.03798 # DEPENDENCYPART_ARC
(1,28),-8.8402 # DEPENDENCYPART_ARC
(1,29),-1.73567 # DEPENDENCYPART_ARC
(1,30),-10.0066 # DEPENDENCYPART_ARC
(1,31),-2.6006 # DEPENDENCYPART_ARC
(2,1),1.47134 # DEPENDENCYPART_ARC
(2,3),1.0811 # DEPENDENCYPART_ARC
(2,4),3.34577 # DEPENDENCYPART_ARC
(2,5),1.19544 # DEPENDENCYPART_ARC
(2,6),-0.134679 # DEPENDENCYPART_ARC
(2,7),1.60528 # DEPENDENCYPART_ARC
(2,8),0.15677 # DEPENDENCYPART_ARC
(2,9),0.265955 # DEPENDENCYPART_ARC
(2,10),0.564469 # DEPENDENCYPART_ARC
(2,11),-0.513706 # DEPENDENCYPART_ARC
(2,12),0.116299 # DEPENDENCYPART_ARC
(2,13),-0.82672 # DEPENDENCYPART_ARC
(2,14),-1.57678 # DEPENDENCYPART_ARC
(2,15),0.102287 # DEPENDENCYPART_ARC
(2,16),-1.19764 # DEPENDENCYPART_ARC
(2,17),-0.181485 # DEPENDENCYPART_ARC
(2,18),-0.174086 # DEPENDENCYPART_ARC
(2,19),-2.06942 # DEPENDENCYPART_ARC
(2,20),-0.306676 # DEPENDENCYPART_ARC
(2,21),-0.369577 # DEPENDENCYPART_ARC
(2,22),-1.92286 # DEPENDENCYPART_ARC
(2,23),-2.70525 # DEPENDENCYPART_ARC
(2,24),-0.98259 # DEPENDENCYPART_ARC
(2,25),-0.162869 # DEPENDENCYPART_ARC
(2,26),-1.31731 # DEPENDENCYPART_ARC
(2,27),-1.92667 # DEPENDENCYPART_ARC
(2,28),-2.41337 # DEPENDENCYPART_ARC
(2,29),-0.669559 # DEPENDENCYPART_ARC
(2,30),-3.15957 # DEPENDENCYPART_ARC
(2,31),-3.61394 # DEPENDENCYPART_ARC
(3,1),-1.10722 # DEPENDENCYPART_ARC
(3,2),-0.774155 # DEPENDENCYPART_ARC
(3,4),1.00452 # DEPENDENCYPART_ARC
(3,5),-0.324716 # DEPENDENCYPART_ARC
(3,6),-2.0559 # DEPENDENCYPART_ARC
(3,7),-1.17543 # DEPENDENCYPART_ARC
(3,8),-0.505274 # DEPENDENCYPART_ARC
(3,9),-0.903509 # DEPENDENCYPART_ARC
(3,10),-0.661425 # DEPENDENCYPART_ARC
(3,11),-1.37619 # DEPENDENCYPART_ARC
(3,12),-0.979764 # DEPENDENCYPART_ARC
(3,13),-1.39684 # DEPENDENCYPART_ARC
(3,14),-1.90076 # DEPENDENCYPART_ARC
(3,15),-1.3411 # DEPENDENCYPART_ARC
(3,16),-1.94189 # DEPENDENCYPART_ARC
(3,17),-1.52543 # DEPENDENCYPART_ARC
(3,18),-1.25575 # DEPENDENCYPART_ARC
(3,19),-1.1846 # DEPENDENCYPART_ARC
(3,20),-1.65384 # DEPENDENCYPART_ARC
(3,21),-1.24099 # DEPENDENCYPART_ARC
(3,22),-1.38678 # DEPENDENCYPART_ARC
(3,23),-1.36267 # DEPENDENCYPART_ARC
(3,24),-1.56491 # DEPENDENCYPART_ARC
(3,25),-1.86131 # DEPENDENCYPART_ARC
(3,26),-2.18553 # DEPENDENCYPART_ARC
(3,27),-2.29615 # DEPENDENCYPART_ARC
(3,28),-2.03893 # DEPENDENCYPART_ARC
(3,29),-1.33591 # DEPENDENCYPART_ARC
(3,30),-2.21983 # DEPENDENCYPART_ARC
(3,31),-1.93278 # DEPENDENCYPART_ARC
(4,1),0.520124 # DEPENDENCYPART_ARC
(4,2),-0.28577 # DEPENDENCYPART_ARC
(4,3),3.72057 # DEPENDENCYPART_ARC
(4,5),2.87348 # DEPENDENCYPART_ARC
(4,6),-0.523207 # DEPENDENCYPART_ARC
(4,7),0.614904 # DEPENDENCYPART_ARC
(4,8),1.00211 # DEPENDENCYPART_ARC
(4,9),0.257059 # DEPENDENCYPART_ARC
(4,10),0.27958 # DEPENDENCYPART_ARC
(4,11),-1.19705 # DEPENDENCYPART_ARC
(4,12),0.543958 # DEPENDENCYPART_ARC
(4,13),-0.309396 # DEPENDENCYPART_ARC
(4,14),-1.04026 # DEPENDENCYPART_ARC
(4,15),-0.77709 # DEPENDENCYPART_ARC
(4,16),-0.557516 # DEPENDENCYPART_ARC
(4,17),-0.545803 # DEPENDENCYPART_ARC
(4,18),-1.10296 # DEPENDENCYPART_ARC
(4,19),-3.51027 # DEPENDENCYPART_ARC
(4,20),-0.886645 # DEPENDENCYPART_ARC
(4,21),-1.23365 # DEPENDENCYPART_ARC
(4,22),-2.65519 # DEPENDENCYPART_ARC
(4,23),-3.26769 # DEPENDENCYPART_ARC
(4,24),-1.08739 # DEPENDENCYPART_ARC
(4,25),-1.70304 # DEPENDENCYPART_ARC
(4,26),-1.4121 # DEPENDENCYPART_ARC
(4,27),-1.6873 # DEPENDENCYPART_ARC
(4,28),-1.52994 # DEPENDENCYPART_ARC
(4,29),-0.761394 # DEPENDENCYPART_ARC
(4,30),-1.59523 # DEPENDENCYPART_ARC
(4,31),-4.718 # DEPENDENCYPART_ARC
(5,1),-1.13494 # DEPENDENCYPART_ARC
(5,2),-1.8131 # DEPENDENCYPART_ARC
(5,3),-0.630414 # DEPENDENCYPART_ARC
(5,4),-1.08376 # DEPENDENCYPART_ARC
(5,6),1.41265 # DEPENDENCYPART_ARC
(5,7),2.72156 # DEPENDENCYPART_ARC
(5,8),0.0447872 # DEPENDENCYPART_ARC
(5,9),0.700491 # DEPENDENCYPART_ARC
(5,10),0.0233907 # DEPENDENCYPART_ARC
(5,11),-0.753869 # DEPENDENCYPART_ARC
(5,12),-1.55425 # DEPENDENCYPART_ARC
(5,13),-1.67598 # DEPENDENCYPART_ARC
(5,14),-1.92875 # DEPENDENCYPART_ARC
(5,15),-2.75124 # DEPENDENCYPART_ARC
(5,16),-1.62068 # DEPENDENCYPART_ARC
(5,17),-1.16522 # DEPENDENCYPART_ARC
(5,18),-0.829486 # DEPENDENCYPART_ARC
(5,19),-0.900244 # DEPENDENCYPART_ARC
(5,20),-1.13923 # DEPENDENCYPART_ARC
(5,21),-0.88718 # DEPENDENCYPART_ARC
(5,22),-1.25701 # DEPENDENCYPART_ARC
(5,23),-1.52713 # DEPENDENCYPART_ARC
(5,24),-0.361572 # DEPENDENCYPART_ARC
(5,25),-2.21964 # DEPENDENCYPART_ARC
(5,26),-1.9512 # DEPENDENCYPART_ARC
(5,27),-6.01588 # DEPENDENCYPART_ARC
(5,28),-6.64136 # DEPENDENCYPART_ARC
(5,29),-1.66966 # DEPENDENCYPART_ARC
(5,30),-7.43737 # DEPENDENCYPART_ARC
(5,31),-2.14169 # DEPENDENCYPART_ARC
(6,1),-1.66897 # DEPENDENCYPART_ARC
(6,2),-2.39106 # DEPENDENCYPART_ARC
(6,3),-1.46882 # DEPENDENCYPART_ARC
(6,4),-2.30426 # DEPENDENCYPART_ARC
(6,5),-0.00549023 # DEPENDENCYPART_ARC
(6,7),1.58407 # DEPENDENCYPART_ARC
(6,8),0.276804 # DEPENDENCYPART_ARC
(6,9),0.557036 # DEPENDENCYPART_ARC
(6,10),-0.160853 # DEPENDENCYPART_ARC
(6,11),-1.60062 # DEPENDENCYPART_ARC
(6,12),-1.21101 # DEPENDENCYPART_ARC
(6,13),-1.24371 # DEPENDENCYPART_ARC
(6,14),-1.02196 # DEPENDENCYPART_ARC
(6,15),-0.665251 # DEPENDENCYPART_ARC
(6,16),-1.34461 # DEPENDENCYPART_ARC
(6,17),-0.639163 # DEPENDENCYPART_ARC
(6,18),-0.954167 # DEPENDENCYPART_ARC
(6,19),-1.53549 # DEPENDENCYPART_ARC
(6,20),-0.821593 # DEPENDENCYPART_ARC
(6,21),-1.06788 # DEPENDENCYPART_ARC
(6,22),-1.08854 # DEPENDENCYPART_ARC
(6,23),-1.36072 # DEPENDENCYPART_ARC
(6,24),-0.385543 # DEPENDENCYPART_ARC
(6,25),-1.41366 # DEPENDENCYPART_ARC
(6,26),-1.28328 # DEPENDENCYPART_ARC
(6,27),-1.23859 # DEPENDENCYPART_ARC
(6,28),-1.23656 # DEPENDENCYPART_ARC
(6,29),-0.848503 # DEPENDENCYPART_ARC
(6,30),-1.20763 # DEPENDENCYPART_ARC
(6,31),-2.58954 # DEPENDENCYPART_ARC
(7,1),-0.611284 # DEPENDENCYPART_ARC
(7,2),-1.52351 # DEPENDENCYPART_ARC
(7,3),0.548562 # DEPENDENCYPART_ARC
(7,4),-1.14523 # DEPENDENCYPART_ARC
(7,5),0.580589 # DEPENDENCYPART_ARC
(7,6),3.68392 # DEPENDENCYPART_ARC
(7,8),2.67643 # DEPENDENCYPART_ARC
(7,9),1.38639 # DEPENDENCYPART_ARC
(7,10),0.641678 # DEPENDENCYPART_ARC
(7,11),-1.0766 # DEPENDENCYPART_ARC
(7,12),0.95915 # DEPENDENCYPART_ARC
(7,13),-0.668376 # DEPENDENCYPART_ARC
(7,14),-1.11898 # DEPENDENCYPART_ARC
(7,15),-0.609556 # DEPENDENCYPART_ARC
(7,16),-0.675419 # DEPENDENCYPART_ARC
(7,17),-0.412322 # DEPENDENCYPART_ARC
(7,18),-0.758691 # DEPENDENCYPART_ARC
(7,19),-2.75069 # DEPENDENCYPART_ARC
(7,20),-0.955245 # DEPENDENCYPART_ARC
(7,21),-0.812694 # DEPENDENCYPART_ARC
(7,22),-1.96425 # DEPENDENCYPART_ARC
(7,23),-2.30721 # DEPENDENCYPART_ARC
(7,24),-0.718277 # DEPENDENCYPART_ARC
(7,25),-1.21792 # DEPENDENCYPART_ARC
(7,26),-1.04227 # DEPENDENCYPART_ARC
(7,27),-1.41165 # DEPENDENCYPART_ARC
(7,28),-1.6141 # DEPENDENCYPART_ARC
(7,29),-0.319436 # DEPENDENCYPART_ARC
(7,30),-0.86935 # DEPENDENCYPART_ARC
(7,31),-3.98963 # DEPENDENCYPART_ARC
(8,1),-1.63661 # DEPENDENCYPART_ARC
(8,2),-2.41805 # DEPENDENCYPART_ARC
(8,3),-1.60268 # DEPENDENCYPART_ARC
(8,4),-1.87513 # DEPENDENCYPART_ARC
(8,5),-0.843014 # DEPENDENCYPART_ARC
(8,6),-1.21195 # DEPENDENCYPART_ARC
(8,7),-0.518538 # DEPENDENCYPART_ARC
(8,9),4.59777 # DEPENDENCYPART_ARC
(8,10),0.436896 # DEPENDENCYPART_ARC
(8,11),-0.447574 # DEPENDENCYPART_ARC
(8,12),-0.51958 # DEPENDENCYPART_ARC
(8,13),-1.20794 # DEPENDENCYPART_ARC
(8,14),-0.899222 # DEPENDENCYPART_ARC
(8,15),-1.79163 # DEPENDENCYPART_ARC
(8,16),-0.657599 # DEPENDENCYPART_ARC
(8,17),-1.90843 # DEPENDENCYPART_ARC
(8,18),-1.02624 # DEPENDENCYPART_ARC
(8,19),-0.948341 # DEPENDENCYPART_ARC
(8,20),-2.00185 # DEPENDENCYPART_ARC
(8,21),-1.33972 # DEPENDENCYPART_ARC
(8,22),-1.29208 # DEPENDENCYPART_ARC
(8,23),-1.5857 # DEPENDENCYPART_ARC
(8,24),-0.0913821 # DEPENDENCYPART_ARC
(8,25),-2.1817 # DEPENDENCYPART_ARC
(8,26),-1.61793 # DEPENDENCYPART_ARC
(8,27),-4.90562 # DEPENDENCYPART_ARC
(8,28),-5.22636 # DEPENDENCYPART_ARC
(8,29),-1.90646 # DEPENDENCYPART_ARC
(8,30),-5.9298 # DEPENDENCYPART_ARC
(8,31),-2.12209 # DEPENDENCYPART_ARC
(9,1),-1.89974 # DEPENDENCYPART_ARC
(9,2),-2.65528 # DEPENDENCYPART_ARC
(9,3),-0.930474 # DEPENDENCYPART_ARC
(9,4),-2.50471 # DEPENDENCYPART_ARC
(9,5),-1.28495 # DEPENDENCYPART_ARC
(9,6),-0.781652 # DEPENDENCYPART_ARC
(9,7),-2.07774 # DEPENDENCYPART_ARC
(9,8),0.670144 # DEPENDENCYPART_ARC
(9,10),2.04843 # DEPENDENCYPART_ARC
(9,11),-0.864191 # DEPENDENCYPART_ARC
(9,12),0.322993 # DEPENDENCYPART_ARC
(9,13),-0.92002 # DEPENDENCYPART_ARC
(9,14),-1.21664 # DEPENDENCYPART_ARC
(9,15),-0.954576 # DEPENDENCYPART_ARC
(9,16),-1.03949 # DEPENDENCYPART_ARC
(9,17),-1.24344 # DEPENDENCYPART_ARC
(9,18),-1.08252 # DEPENDENCYPART_ARC
(9,19),-2.69006 # DEPENDENCYPART_ARC
(9,20),-1.791 # DEPENDENCYPART_ARC
(9,21),-1.28201 # DEPENDENCYPART_ARC
(9,22),-1.80455 # DEPENDENCYPART_ARC
(9,23),-2.23898 # DEPENDENCYPART_ARC
(9,24),-1.32693 # DEPENDENCYPART_ARC
(9,25),-1.75228 # DEPENDENCYPART_ARC
(9,26),-1.27456 # DEPENDENCYPART_ARC
(9,27),-2.16614 # DEPENDENCYPART_ARC
(9,28),-1.73334 # DEPENDENCYPART_ARC
(9,29),-0.120863 # DEPENDENCYPART_ARC
(9,30),-0.82895 # DEPENDENCYPART_ARC
(9,31),-3.4495 # DEPENDENCYPART_ARC
(10,1),-1.61076 # DEPENDENCYPART_ARC
(10,2),-2.40375 # DEPENDENCYPART_ARC
(10,3),-1.42694 # DEPENDENCYPART_ARC
(10,4),-1.9929 # DEPENDENCYPART_ARC
(10,5),-1.25833 # DEPENDENCYPART_ARC
(10,6),-1.69704 # DEPENDENCYPART_ARC
(10,7),-1.39754 # DEPENDENCYPART_ARC
(10,8),-0.647038 # DEPENDENCYPART_ARC
(10,9),-0.36639 # DEPENDENCYPART_ARC
(10,11),-0.197911 # DEPENDENCYPART_ARC
(10,12),-0.636509 # DEPENDENCYPART_ARC
(10,13),-1.20005 # DEPENDENCYPART_ARC
(10,14),-1.4405 # DEPENDENCYPART_ARC
(10,15),-1.49494 # DEPENDENCYPART_ARC
(10,16),-1.73823 # DEPENDENCYPART_ARC
(10,17),-1.67147 # DEPENDENCYPART_ARC
(10,18),-1.43087 # DEPENDENCYPART_ARC
(10,19),-0.839287 # DEPENDENCYPART_ARC
(10,20),-1.7671 # DEPENDENCYPART_ARC
(10,21),-1.51839 # DEPENDENCYPART_ARC
(10,22),-0.753596 # DEPENDENCYPART_ARC
(10,23),-0.666232 # DEPENDENCYPART_ARC
(10,24),-0.691186 # DEPENDENCYPART_ARC
(10,25),-1.98383 # DEPENDENCYPART_ARC
(10,26),-1.68955 # DEPENDENCYPART_ARC
(10,27),-1.8919 # DEPENDENCYPART_ARC
(10,28),-1.90698 # DEPENDENCYPART_ARC
(10,29),-1.74827 # DEPENDENCYPART_ARC
(10,30),-1.99617 # DEPENDENCYPART_ARC
(10,31),-1.46422 # DEPENDENCYPART_ARC
(11,1),-1.78779 # DEPENDENCYPART_ARC
